task,setting,mode,repr,model,run,trial_index,rho,best_so_far
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,0,0.10552900408111991,0.10552900408111991
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,1,0.5594719160121303,0.5594719160121303
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,2,0.5872144795858327,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,3,0.5747225082580969,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,4,0.5491336643804665,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,5,0.5750481224827162,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,6,0.5810395565792179,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,7,0.5853448450643904,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,8,0.008453395307038052,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,9,0.5754414075497488,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,10,0.3162533997134853,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,11,0.35092530987107007,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,12,0.23777007250158103,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,13,0.08520751786124704,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,14,0.3275377972694456,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,15,0.030365999103145854,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,16,0.5606921420825406,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,17,0.5704099397800975,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,18,-0.09946935471782078,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,19,0.16931526044249168,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,20,0.4630414619363742,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,21,0.5292935330203151,0.5872144795858327
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,22,0.5882503894742177,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,23,0.5631095960642037,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,24,0.4771274207844263,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,25,0.39957481538061734,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,26,0.2615284273049452,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,27,0.32998222031544455,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,28,0.26052976511218867,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,29,0.055700280224013334,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,30,0.562518923918934,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,31,0.48135560752738726,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,32,0.46496966730919614,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,33,0.35422810027472434,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,34,0.341788714136779,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,35,0.5641253205179325,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,36,0.37695736675702085,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,37,0.11398538991412453,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,38,0.5684732962337716,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,39,0.45508509159415134,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,40,0.37753844254810986,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,41,0.4947628724987177,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,42,0.28023488569627836,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,43,0.35686276655669436,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,44,0.062463000271945394,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,45,0.3814502293404718,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,46,0.46456844043180706,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,47,0.5124175169213707,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,48,0.38155004950447174,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,49,-0.09997514876490479,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,50,0.17266496482217744,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,51,0.2865888303446809,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,52,0.45890510237566107,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,53,0.3400090867993778,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,54,0.47817209975508007,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,55,0.38732027109166645,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,56,0.3935496285901003,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,57,0.3659490248765215,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,58,0.4805925319156269,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,59,0.11099640526950583,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,60,0.394624420258356,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,61,0.4372365346352921,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,62,0.38588280341712744,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,63,0.4242449261686456,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,64,0.33649086481141777,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,65,0.2960432246654115,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,66,0.022819964787689054,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,67,0.580959642112505,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,68,0.48896866002607087,0.5882503894742177
