number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
0,0.10552900408111991,2025-12-23 03:51:34.659682,2025-12-23 03:52:02.004652,0 days 00:00:27.344970,32,0.9108845496016611,0.04815661557574074,768,0.002127028913784539,8,2,9.426315064110833e-10,COMPLETE
1,0.5594719160121303,2025-12-23 03:52:02.004943,2025-12-23 03:52:15.348829,0 days 00:00:13.343886,64,1.594601337939039,0.12990934160819007,384,1.819170330792445e-05,4,4,1.300540201550782e-05,COMPLETE
2,0.5872144795858327,2025-12-23 03:52:15.349117,2025-12-23 03:52:31.914006,0 days 00:00:16.564889,32,0.6143744664461125,0.16037384413167396,256,0.00021789862957516894,8,4,6.622608562707928e-05,COMPLETE
3,0.5747225082580969,2025-12-23 03:52:31.914256,2025-12-23 03:52:47.058014,0 days 00:00:15.143758,64,0.7245038734648399,0.09183496665799762,256,0.002315760147638105,4,1,7.410872044685631e-05,COMPLETE
4,0.5491336643804665,2025-12-23 03:52:47.058268,2025-12-23 03:53:03.300912,0 days 00:00:16.242644,64,0.2570708465627373,0.2993936622450181,512,1.1728404334152621e-05,4,2,0.0013832657665076387,COMPLETE
5,0.5750481224827162,2025-12-23 03:53:03.301161,2025-12-23 03:53:22.954305,0 days 00:00:19.653144,32,0.7623632554339261,0.33179767257890086,256,5.516660869477117e-05,8,3,2.024248091509924e-06,COMPLETE
6,0.5810395565792179,2025-12-23 03:53:22.954559,2025-12-23 03:53:47.611227,0 days 00:00:24.656668,16,0.27191155442587117,0.2071035346190728,384,9.580876159529959e-05,8,3,3.5547596963166257e-06,COMPLETE
7,0.5853448450643904,2025-12-23 03:53:47.611495,2025-12-23 03:54:08.285370,0 days 00:00:20.673875,32,0.3907204860952965,0.06592177886856919,768,0.00017057338957411497,8,3,1.3553243289872507e-10,COMPLETE
8,0.008453395307038052,2025-12-23 03:54:08.285640,2025-12-23 03:54:08.805877,0 days 00:00:00.520237,128,1.3308378451757803,0.3294280095524104,256,1.6118869082449673e-05,4,3,1.1306599914521741e-10,PRUNED
9,0.5754414075497488,2025-12-23 03:54:08.806031,2025-12-23 03:54:20.198091,0 days 00:00:11.392060,32,0.23996139717068132,0.2127090507547235,512,5.272874484577644e-05,8,3,8.896441402987593e-08,COMPLETE
10,0.3162533997134853,2025-12-23 03:54:20.198348,2025-12-23 03:54:21.289710,0 days 00:00:01.091362,16,0.11777042954627218,0.15013580025279943,256,0.0005898421704677759,8,4,4.393236368119399e-08,PRUNED
11,0.35092530987107007,2025-12-23 03:54:21.289862,2025-12-23 03:54:22.915475,0 days 00:00:01.625613,32,0.4100223338822377,0.015509942240172686,768,0.0002775280552992379,8,4,0.0007817694578671217,PRUNED
12,0.23777007250158103,2025-12-23 03:54:22.915630,2025-12-23 03:54:23.888587,0 days 00:00:00.972957,32,0.45211532965665374,0.07664001653585,768,0.0003211776364778711,8,4,4.2855362474810074e-08,PRUNED
13,0.08520751786124704,2025-12-23 03:54:23.888738,2025-12-23 03:54:24.583021,0 days 00:00:00.694283,128,0.44958702279095164,0.2481116426040661,768,0.0007734910522700203,8,2,0.00012030804360634301,PRUNED
14,0.3275377972694456,2025-12-23 03:54:24.583170,2025-12-23 03:54:25.345707,0 days 00:00:00.762537,32,0.1615238067954251,0.3915215415893185,256,0.00013393427585925956,8,4,3.1923184165670098e-09,PRUNED
15,0.030365999103145854,2025-12-23 03:54:25.345851,2025-12-23 03:54:26.173310,0 days 00:00:00.827459,32,0.5486499625160264,0.1493949527494039,768,0.0008258705026850091,8,3,0.004694078031286747,PRUNED
16,0.5606921420825406,2025-12-23 03:54:26.173464,2025-12-23 03:54:39.503078,0 days 00:00:13.329614,32,1.1179375487501142,0.11056182575193782,512,0.00025279692549586474,8,1,3.794319142000944e-05,COMPLETE
17,0.5704099397800975,2025-12-23 03:54:39.503348,2025-12-23 03:54:56.403069,0 days 00:00:16.899721,16,0.35403762054023585,0.027405021768765005,384,6.371264616850673e-05,8,4,2.471135533452685e-07,COMPLETE
18,-0.09946935471782078,2025-12-23 03:54:56.403353,2025-12-23 03:54:56.972893,0 days 00:00:00.569540,128,0.6211944018028877,0.1745479633543884,256,3.1716793215845566e-05,4,3,5.352409792875458e-09,PRUNED
19,0.16931526044249168,2025-12-23 03:54:56.973051,2025-12-23 03:54:57.669777,0 days 00:00:00.696726,32,0.15527495383278284,0.06984469602108334,768,0.0005141542594885562,8,2,0.00034867130747234245,PRUNED
20,0.4630414619363742,2025-12-23 03:54:57.669938,2025-12-23 03:54:59.304998,0 days 00:00:01.635060,32,1.9290748299285165,0.1816488193202033,768,0.00015605391466069367,8,4,1.4281735222236794e-10,PRUNED
21,0.5292935330203151,2025-12-23 03:54:59.305157,2025-12-23 03:55:06.753268,0 days 00:00:07.448111,16,0.2659288272108661,0.2344988851533141,384,9.77183231090846e-05,8,3,3.4309055168050677e-06,PRUNED
