number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
0,0.5427633397482036,2025-12-23 03:51:12.437619,2025-12-23 04:11:55.281017,0 days 00:20:42.843398,16,0.6848962227246925,0.17837369591070812,768,0.00048018700475689575,4,1,5.332443856272927e-09,COMPLETE
1,0.5996460600639822,2025-12-23 04:11:55.281337,2025-12-23 04:36:21.370095,0 days 00:24:26.088758,128,0.24357621574549163,0.10998472623647199,768,0.00013110437936297587,8,1,2.47370020677847e-07,COMPLETE
2,0.5540579177103042,2025-12-23 04:36:21.370397,2025-12-23 04:51:41.854624,0 days 00:15:20.484227,32,0.26897980210338374,0.022955034114103202,768,2.578680859431247e-05,8,1,6.511572895678255e-08,COMPLETE
3,0.5953806460849749,2025-12-23 04:51:41.854915,2025-12-23 05:04:39.891377,0 days 00:12:58.036462,16,0.8684841094809387,0.2868856227206567,256,0.00013013297616121513,4,3,0.00040591313414111834,COMPLETE
4,0.5563516118139108,2025-12-23 05:04:39.891697,2025-12-23 05:27:10.376526,0 days 00:22:30.484829,128,1.2900266131526834,0.37276507790071267,256,7.453520170168587e-05,8,2,1.4517741438801808e-08,COMPLETE
5,0.45656226832047325,2025-12-23 05:27:10.376861,2025-12-23 05:28:40.517036,0 days 00:01:30.140175,32,0.38804885298824,0.38515339158455597,768,0.0001328113351649361,8,2,2.928902648746723e-07,PRUNED
6,0.42628080724840517,2025-12-23 05:28:40.517231,2025-12-23 05:30:16.632392,0 days 00:01:36.115161,64,1.0034132143836214,0.2738038040711865,256,0.00019375889622656335,4,1,9.501767940113984e-10,PRUNED
7,0.17424380529031155,2025-12-23 05:30:16.632579,2025-12-23 05:31:05.932189,0 days 00:00:49.299610,64,0.8986457317449366,0.38825964093651544,256,0.0020809138515493516,4,3,2.5274668519145376e-09,PRUNED
8,0.45606061063295,2025-12-23 05:31:05.932372,2025-12-23 05:32:33.595304,0 days 00:01:27.662932,16,1.8599333395132913,0.36803122688192147,512,1.8481806356323657e-05,8,3,1.6839884674164134e-08,PRUNED
9,-0.015871115914960585,2025-12-23 05:32:33.595477,2025-12-23 05:33:29.137632,0 days 00:00:55.542155,128,0.8247132791883783,0.12156897372931824,768,0.0011085611682629271,4,4,1.525109680461553e-09,PRUNED
10,0.010082293702046852,2025-12-23 05:33:29.137833,2025-12-23 05:34:26.902083,0 days 00:00:57.764250,128,0.11410580821659964,0.013249138818580614,384,1.0392785469565923e-05,8,2,0.0001861042070536054,PRUNED
11,0.5993889439536882,2025-12-23 05:34:26.902271,2025-12-23 05:51:47.505841,0 days 00:17:20.603570,16,0.19628254701230308,0.27188684217309006,384,5.208212461424332e-05,4,4,2.5842665865740476e-05,COMPLETE
12,0.5787579406455285,2025-12-23 05:51:47.506189,2025-12-23 06:06:15.307730,0 days 00:14:27.801541,16,0.17296534173020858,0.11584895834045572,384,4.9049853728599334e-05,4,4,9.404821176343004e-06,COMPLETE
