number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
0,0.11085706192706293,2025-12-23 03:48:13.276748,2025-12-23 03:48:28.463891,0 days 00:00:15.187143,64,0.24708830070931093,0.15044767405569415,384,0.0016153315375345065,4,4,5.95454841439311e-08,COMPLETE
1,0.5502437054396374,2025-12-23 03:48:28.464217,2025-12-23 03:48:43.672715,0 days 00:00:15.208498,128,0.31280290215612666,0.23735307116892615,384,0.00023145039287342695,4,1,0.009254993568439672,COMPLETE
2,0.546557046782819,2025-12-23 03:48:43.672968,2025-12-23 03:49:03.572239,0 days 00:00:19.899271,16,0.12674247262986407,0.3305998346711304,768,4.849459525343942e-05,8,4,3.0249599642331435e-07,COMPLETE
3,0.5424695113014172,2025-12-23 03:49:03.572546,2025-12-23 03:49:15.515382,0 days 00:00:11.942836,128,1.3210134503791027,0.2826731625249325,256,0.00016411926096119203,4,4,9.585588011344067e-07,COMPLETE
4,0.5435603715079405,2025-12-23 03:49:15.515686,2025-12-23 03:49:37.840789,0 days 00:00:22.325103,128,0.3872803774546868,0.2622504560040792,512,2.2466939413150376e-05,4,4,3.128499166879127e-05,COMPLETE
5,0.45872277831848063,2025-12-23 03:49:37.841063,2025-12-23 03:49:41.700928,0 days 00:00:03.859865,16,1.1048714939157116,0.006550424679310752,256,0.0010529156252585825,4,2,1.5731176703675308e-07,PRUNED
6,-0.13437448365297622,2025-12-23 03:49:41.701102,2025-12-23 03:49:42.748228,0 days 00:00:01.047126,64,1.2130432222370495,0.34031582010251626,256,3.204044269996291e-05,8,2,0.0011081134547877025,PRUNED
7,-0.11361007623251594,2025-12-23 03:49:42.748390,2025-12-23 03:49:43.409237,0 days 00:00:00.660847,64,0.5411459749559265,0.06762264750817755,512,1.1268690866683551e-05,8,2,1.3926341065945515e-09,PRUNED
8,0.171405828841021,2025-12-23 03:49:43.409384,2025-12-23 03:49:44.790640,0 days 00:00:01.381256,32,0.28107584192548507,0.0021510548854883904,512,0.001038296722790142,8,3,0.002408745065610371,PRUNED
9,0.5437471686671455,2025-12-23 03:49:44.790798,2025-12-23 03:49:55.315467,0 days 00:00:10.524669,64,1.0994315346028016,0.0024719981276780435,256,0.00019283723068222968,4,1,1.6046134419828038e-07,COMPLETE
