number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
0,0.5217590088326708,2025-12-23 03:50:51.684646,2025-12-23 04:08:39.442210,0 days 00:17:47.757564,128,1.9398826643818516,0.10444454710469793,768,0.0014525722211043098,8,1,0.0027326904158458784,COMPLETE
1,0.09592097211577134,2025-12-23 04:08:39.442538,2025-12-23 04:20:50.694715,0 days 00:12:11.252177,64,1.01472412889369,0.2442705468272459,384,0.0027388133724444963,4,4,4.368126970479542e-09,COMPLETE
2,0.559116900532191,2025-12-23 04:20:50.695051,2025-12-23 04:37:54.754381,0 days 00:17:04.059330,64,1.3918055170230033,0.20401540917406347,768,0.00031332756970911725,4,2,0.000493479664234298,COMPLETE
3,0.5768703313640525,2025-12-23 04:37:54.754695,2025-12-23 04:54:09.111306,0 days 00:16:14.356611,16,0.7037398702018655,0.16430662769055482,768,0.000657577559506255,8,1,3.3209159985473103e-07,COMPLETE
4,0.5440904001964266,2025-12-23 04:54:09.111592,2025-12-23 05:04:33.559852,0 days 00:10:24.448260,64,0.9561109836474087,0.20023488441872234,384,0.0001559691455471194,8,2,1.211051755219731e-09,COMPLETE
5,0.3483599803812608,2025-12-23 05:04:33.560145,2025-12-23 05:05:05.430791,0 days 00:00:31.870646,16,0.3862393152211435,0.15063506898235485,384,2.1297241925772282e-05,8,2,6.537260589821769e-10,PRUNED
6,-0.07242427290066564,2025-12-23 05:05:05.430973,2025-12-23 05:05:41.058354,0 days 00:00:35.627381,64,1.3536606779983176,0.12039167075812812,384,1.655216239949313e-05,4,2,1.2044982555517736e-05,PRUNED
7,0.0027581733660703538,2025-12-23 05:05:41.058553,2025-12-23 05:06:19.117324,0 days 00:00:38.058771,64,0.6516200918229744,0.3104297585275583,384,1.2628700256543667e-05,4,3,0.0004157599166602853,PRUNED
8,0.23289840872211431,2025-12-23 05:06:19.117517,2025-12-23 05:06:56.304235,0 days 00:00:37.186718,64,1.3680335051430113,0.26752621287360695,512,0.0028611274453279084,4,3,2.3067441906193264e-08,PRUNED
9,-0.06430772731400838,2025-12-23 05:06:56.304411,2025-12-23 05:07:33.077965,0 days 00:00:36.773554,64,1.0698572562884048,0.36249431203890253,256,5.469179233742515e-05,8,2,3.075625530499625e-05,PRUNED
