number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_cv_mean_best_epoch,user_attrs_cv_mean_rmse,user_attrs_cv_mean_score,user_attrs_cv_mean_spearman,user_attrs_cv_std_score,state
0,0.4772777619837771,2025-12-25 17:01:22.703879,2025-12-25 17:05:30.458563,0 days 00:04:07.754684,64,0.19451723690748296,0.002730299438108833,9.826177885496439e-09,11.2,1.1199297547340392,0.4772777619837771,0.4772777619837771,0.06617315283259703,COMPLETE
1,0.6022640385887712,2025-12-25 17:05:30.459569,2025-12-25 17:09:08.361146,0 days 00:03:37.901577,32,0.3968511218258193,0.0005223201015148789,1.896771895719707e-08,11.0,1.015779709815979,0.6022640385887712,0.6022640385887712,0.09157618002606331,COMPLETE
2,0.5414783589011257,2025-12-25 17:09:08.361955,2025-12-25 17:12:29.488490,0 days 00:03:21.126535,32,0.2385368720081945,0.0010075408929481192,2.443273790576229e-10,8.8,1.1132433414459229,0.5414783589011257,0.5414783589011257,0.061571838991670236,COMPLETE
3,0.6104516605113128,2025-12-25 17:12:29.489435,2025-12-25 17:16:33.265901,0 days 00:04:03.776466,16,0.19886793241581002,0.0003231725901425068,1.4140902440759206e-05,14.6,1.0129814624786377,0.6104516605113128,0.6104516605113128,0.08672502201667819,COMPLETE
4,0.5982105744998243,2025-12-25 17:16:33.266398,2025-12-25 17:20:48.945673,0 days 00:04:15.679275,32,0.04875009104534522,0.0007499397979355293,3.628435011850203e-08,16.8,1.0765025854110717,0.5982105744998243,0.5982105744998243,0.05625790361539629,COMPLETE
5,0.6467068234447426,2025-12-25 17:20:48.946847,2025-12-25 17:21:41.938600,0 days 00:00:52.991753,32,0.01915297722614928,0.0002391817863272999,3.8498056563551545e-10,,,,,,PRUNED
6,0.48109512897529527,2025-12-25 17:21:41.939147,2025-12-25 17:22:35.336444,0 days 00:00:53.397297,16,0.04384196930278483,2.814441701254566e-05,0.004357500442066578,,,,,,PRUNED
7,0.48862293326936107,2025-12-25 17:22:35.337337,2025-12-25 17:23:45.761080,0 days 00:01:10.423743,64,0.05909518996927038,7.049229869089949e-05,2.9655970998610825e-07,,,,,,PRUNED
8,0.565269667899849,2025-12-25 17:23:45.761957,2025-12-25 17:24:38.316850,0 days 00:00:52.554893,16,0.3924211701124486,6.684629203833448e-05,5.508973480754118e-05,,,,,,PRUNED
9,0.3801541168503222,2025-12-25 17:24:38.317530,2025-12-25 17:25:08.085318,0 days 00:00:29.767788,32,0.4919567822865226,0.002199676272460055,1.2726623021354035e-09,,,,,,PRUNED
10,0.6723697926290578,2025-12-25 17:25:08.085726,2025-12-25 17:25:58.377165,0 days 00:00:50.291439,16,0.1607337603749674,0.00019429932144547754,2.2326599822856914e-05,,,,,,PRUNED
11,0.6131967823108008,2025-12-25 17:25:58.378027,2025-12-25 17:29:41.883046,0 days 00:03:43.505019,16,0.3434553008311322,0.0005077432257018779,2.6361102512139857e-05,10.6,1.0205706834793091,0.6131967823108008,0.6131967823108008,0.07345486547029413,COMPLETE
12,0.6292920138174898,2025-12-25 17:29:41.883544,2025-12-25 17:33:35.213741,0 days 00:03:53.330197,16,0.32290443097235205,0.0003459715565046304,2.4491579732468526e-05,13.4,0.9963838815689087,0.6292920138174898,0.6292920138174898,0.08171185157947139,COMPLETE
13,0.6183064708807671,2025-12-25 17:33:35.214902,2025-12-25 17:34:24.302002,0 days 00:00:49.087100,16,0.37163095893721604,8.373752679183825e-05,0.0008576205532541083,,,,,,PRUNED
14,0.6104364936642437,2025-12-25 17:34:24.302963,2025-12-25 17:35:06.983913,0 days 00:00:42.680950,16,0.31058796314575776,0.001032150209773525,1.5857045549911864e-06,,,,,,PRUNED
15,0.431137882296495,2025-12-25 17:35:06.984667,2025-12-25 17:35:58.160280,0 days 00:00:51.175613,16,0.3161886355738407,1.4149831715544204e-05,0.0002789148283775537,,,,,,PRUNED
