number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_cv_mean_best_epoch,user_attrs_cv_mean_rmse,user_attrs_cv_mean_score,user_attrs_cv_mean_spearman,user_attrs_cv_std_score,state
0,0.47127251131012515,2025-12-25 17:10:05.189552,2025-12-25 17:15:32.411324,0 days 00:05:27.221772,64,0.04823506669853295,0.0005013797243398801,0.0002081532394593802,16.8,35.86819019317627,0.47127251131012515,0.47127251131012515,0.08445262506301757,COMPLETE
1,0.46408998057953676,2025-12-25 17:15:32.412572,2025-12-25 17:20:12.227701,0 days 00:04:39.815129,64,0.08692203072513133,0.0005059094562081697,0.0005149421855416604,14.6,36.20279026031494,0.46408998057953676,0.46408998057953676,0.104744092734524,COMPLETE
2,0.3649485349028213,2025-12-25 17:20:12.228359,2025-12-25 17:23:53.474792,0 days 00:03:41.246433,16,0.07766633752829483,7.776532861443593e-05,0.00016147434927086274,14.6,36.117526054382324,0.3649485349028213,0.3649485349028213,0.1653187614872173,COMPLETE
3,0.28623536542967376,2025-12-25 17:23:53.476044,2025-12-25 17:28:52.676998,0 days 00:04:59.200954,64,0.1868640988289227,4.7469467988900374e-05,6.512971616397782e-07,14.2,37.09088401794433,0.28623536542967376,0.28623536542967376,0.2069745804605082,COMPLETE
4,0.5189061495741709,2025-12-25 17:28:52.678061,2025-12-25 17:32:48.678005,0 days 00:03:55.999944,32,0.1754995876974249,0.0021589431891492045,1.4981986044563856e-07,13.4,35.10589656829834,0.5189061495741709,0.5189061495741709,0.04443295672352163,COMPLETE
5,0.36030808734778513,2025-12-25 17:32:48.679207,2025-12-25 17:33:35.915781,0 days 00:00:47.236574,32,0.2429619122108218,3.518216381551529e-05,5.6195614353531324e-05,,,,,,PRUNED
6,0.24568015832451065,2025-12-25 17:33:35.916733,2025-12-25 17:34:26.024312,0 days 00:00:50.107579,32,0.060911431598432375,1.3583679087427935e-05,1.6414285258957378e-05,,,,,,PRUNED
7,0.4710677770191694,2025-12-25 17:34:26.025323,2025-12-25 17:38:34.265846,0 days 00:04:08.240523,32,0.053275719033673286,0.0017209639800495927,1.583458366936417e-05,13.6,35.58690757751465,0.4710677770191694,0.4710677770191694,0.08441417593989933,COMPLETE
8,0.3733106584011715,2025-12-25 17:38:34.266856,2025-12-25 17:39:40.271049,0 days 00:01:06.004193,64,0.4968572122003278,0.00010167007306854577,1.4822255556655648e-06,,,,,,PRUNED
9,0.4760055680273642,2025-12-25 17:39:40.272031,2025-12-25 17:43:09.000159,0 days 00:03:28.728128,32,0.054004126656099605,0.000976797896526782,1.855327899157279e-05,9.0,35.1509204864502,0.4760055680273642,0.4760055680273642,0.13715788399100798,COMPLETE
10,0.40800265049627626,2025-12-25 17:43:09.000947,2025-12-25 17:46:34.757556,0 days 00:03:25.756609,16,0.39699725503640565,0.002456336051353761,1.4193791115223822e-09,8.6,35.340324020385744,0.40800265049627626,0.40800265049627626,0.13189776719788232,COMPLETE
11,0.5221558796701995,2025-12-25 17:46:34.758685,2025-12-25 17:47:26.169812,0 days 00:00:51.411127,32,0.17234520807414244,0.000778281549360157,1.964756129206099e-08,,,,,,PRUNED
