number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
0,0.3904681595338378,2025-12-25 19:10:04.981381,2025-12-25 19:10:25.454221,0 days 00:00:20.472840,0.08456235502200202,0.3216283879225631,189,2.953350099437062,0.10797367893825377,0.20719624152847887,12,0.07181981063671676,112,0.6777245411639548,COMPLETE
1,0.3755976317667996,2025-12-25 19:10:25.454928,2025-12-25 19:10:44.063226,0 days 00:00:18.608298,11.419467682807214,0.48712958634412096,89,8.667475302720533,2.868581627458302,0.015598539323223214,12,0.006045665946687167,755,0.7303998658901552,COMPLETE
2,0.16711855973120077,2025-12-25 19:10:44.063951,2025-12-25 19:11:02.018057,0 days 00:00:17.954106,24.10741778055775,0.6192620033336613,146,8.782656552279741,3.2497095248626966,0.004515488216850702,13,7.142954821137727,412,0.8209654151748429,COMPLETE
3,0.4018444986015755,2025-12-25 19:11:02.018639,2025-12-25 19:11:23.124983,0 days 00:00:21.106344,0.008671642919517877,0.4619576443925632,152,5.932637441861676,0.0193388094830483,0.23213001187432244,9,0.19667685005524804,1100,0.7326742302972736,COMPLETE
4,0.4736477581840027,2025-12-25 19:11:23.125588,2025-12-25 19:11:42.523242,0 days 00:00:19.397654,3.1049553653970843e-09,0.7742856479638682,29,6.185515982224132,0.00030984827182196776,0.03182460874916163,7,4.548411592104155,799,0.8192313522845281,COMPLETE
5,0.5223713841162455,2025-12-25 19:11:42.523593,2025-12-25 19:12:02.561354,0 days 00:00:20.037761,0.001637063569762531,0.6177150647484406,57,3.215833971065689,2.7096027847809324e-05,0.13459394211828563,6,7.445650958858738,842,0.8369722517317695,COMPLETE
6,0.5721131263489997,2025-12-25 19:12:02.561949,2025-12-25 19:12:06.319158,0 days 00:00:03.757209,1.8689672206411404e-05,0.6433090781654429,191,0.8231852776243398,78.5670929704388,0.08213668480685864,2,5.261968323998296,53,0.7609020764415821,PRUNED
7,0.5305059912714827,2025-12-25 19:12:06.319663,2025-12-25 19:12:29.506103,0 days 00:00:23.186440,0.0022717354707670018,0.41443339111549476,92,1.8360696402991794,1.731434032973038e-08,0.004002598912727241,9,0.004333457929433634,1192,0.8688792224066137,COMPLETE
8,0.33977771200033297,2025-12-25 19:12:29.506870,2025-12-25 19:12:33.685133,0 days 00:00:04.178263,4.870143905228657e-05,0.5625195280425148,75,8.661771343107942,2.4145119297432057e-06,0.0015089912809930208,5,97.48901858116409,1178,0.8454651659600038,PRUNED
9,0.46856966065150896,2025-12-25 19:12:33.685479,2025-12-25 19:12:59.847092,0 days 00:00:26.161613,4.170849216256018e-06,0.9629135603923653,135,6.1099025444419865,0.13315821100084488,0.002933955326867032,12,0.028566947029609942,1928,0.7596158087640597,COMPLETE
10,0.5166126652527512,2025-12-25 19:12:59.847769,2025-12-25 19:13:23.049502,0 days 00:00:23.201733,1.2343009672099343e-08,0.3313679968236263,109,0.5027048976074084,3.3544372060502493e-10,0.009428200475377202,16,0.005586309914578947,1655,0.9989820561673459,COMPLETE
11,0.33977771200033297,2025-12-25 19:13:23.050217,2025-12-25 19:13:27.002092,0 days 00:00:03.951875,0.01107683248194775,0.7743017219976831,46,3.1297931291947547,3.918753354746536e-08,0.05995387299914766,5,365.6759405904707,1281,0.9381437139244955,PRUNED
12,0.5292734647498081,2025-12-25 19:13:27.002395,2025-12-25 19:13:46.091007,0 days 00:00:19.088612,5.972015710301231e-07,0.4410614220095259,64,2.980261465199894,7.501744254215971e-07,0.006993161785656187,9,0.7873193733262819,1470,0.6091201090172187,COMPLETE
13,0.5413880764346304,2025-12-25 19:13:46.091480,2025-12-25 19:14:06.787339,0 days 00:00:20.695859,2.8512504377874857e-07,0.4531694232418938,91,2.2294286717960694,4.1921095049528745e-08,0.0064946457818951,9,0.6042754894512377,1498,0.5051862369264413,COMPLETE
14,0.5010109590443034,2025-12-25 19:14:06.787727,2025-12-25 19:14:31.652455,0 days 00:00:24.864728,1.1861961842905282e-10,0.39670874775083315,101,1.7917990031250084,1.122337501948424e-10,0.0010464259283459701,8,0.0024685602861029255,1800,0.5028548280227942,COMPLETE
15,0.5029303566674341,2025-12-25 19:14:31.652880,2025-12-25 19:14:55.587236,0 days 00:00:23.934356,1.5944356191040544e-07,0.540086155912825,131,4.84186979638152,9.865786719925691e-09,0.0029153926097152416,10,0.001212581060813879,1491,0.5174420355606386,COMPLETE
16,0.5689443137200347,2025-12-25 19:14:55.587805,2025-12-25 19:15:18.826138,0 days 00:00:23.238333,0.0002606364295582327,0.7804070591372354,85,1.8900006311994162,6.923557747750054e-09,0.016643772859001378,3,0.644190301025291,1416,0.6007802627313397,COMPLETE
17,0.5395405671925715,2025-12-25 19:15:18.826777,2025-12-25 19:15:38.129529,0 days 00:00:19.302752,1.2212271454800412,0.7737537457392858,21,4.331428452091627,2.016671034776753e-09,0.024225544744312582,2,0.4112052387012658,1476,0.5868208981407045,COMPLETE
18,0.5508079510909403,2025-12-25 19:15:38.130209,2025-12-25 19:15:59.716266,0 days 00:00:21.586057,0.00017138996831766708,0.8669523760135481,77,1.6602491410159206,5.287762871328764e-07,0.012037088677525292,4,1.353239482163976,1993,0.5690621104339286,COMPLETE
19,0.35483332058846456,2025-12-25 19:15:59.716783,2025-12-25 19:16:03.420942,0 days 00:00:03.704159,0.00025482500780169107,0.9213632459449181,45,0.03301694732595273,7.122554313265653e-07,0.01644626604034256,4,36.98147055395998,1930,0.6068128549367564,PRUNED
