number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.5289957567180735,2025-12-24 07:56:36.117951,2025-12-24 08:22:56.664613,0 days 00:26:20.546662,16,512,0.2697397384794115,3,4,0.0002237456677696451,0.0005722918417016266,0.7476672887230073,0.48833034111261187,0.4517793357372284,COMPLETE
1,0.5142857142852465,2025-12-24 08:22:56.664917,2025-12-24 08:48:27.934137,0 days 00:25:31.269220,32,128,0.17532348406549175,3,4,0.0006156086365212116,2.460413929102281e-05,0.7342687783257799,0.4644808743164918,0.35590729117393494,COMPLETE
2,0.48066298342496394,2025-12-24 08:48:27.934388,2025-12-24 09:05:40.807889,0 days 00:17:12.873501,64,512,0.24813249098266327,7,1,5.225469209787768e-05,1.7421917728453563e-06,0.7280600173287124,0.47058823529364935,0.40084484219551086,COMPLETE
3,0.4807395993831948,2025-12-24 09:05:40.808144,2025-12-24 09:19:37.257592,0 days 00:13:56.449448,16,128,0.06498946845633108,5,4,0.0001471745437361907,1.2027465124070495e-05,0.7457552985870434,0.4654300168629198,0.558134138584137,COMPLETE
4,0.47267355982228304,2025-12-24 09:19:37.257829,2025-12-24 09:49:42.072384,0 days 00:30:04.814555,32,128,0.15169283687487195,3,3,1.9279222879577847e-05,1.5500885779698238e-05,0.718366768861637,0.4673913043473792,0.4193594455718994,COMPLETE
5,0.38071065989804587,2025-12-24 09:49:42.072628,2025-12-24 09:50:27.321640,0 days 00:00:45.249012,16,256,0.4487117957419683,5,3,0.0019469407706739212,1.8530320857096878e-07,0.6111953479072247,0.38071065989804587,0.5018924474716187,PRUNED
6,0.40547263681549384,2025-12-24 09:50:27.321819,2025-12-24 09:51:13.562521,0 days 00:00:46.240702,16,128,0.13871803619614403,7,4,1.6834777240120316e-05,1.3205776396817633e-07,0.6458236137030126,0.40547263681549384,0.3885468542575836,PRUNED
7,0.40963855421644846,2025-12-24 09:51:13.562692,2025-12-24 09:51:59.573819,0 days 00:00:46.011127,32,256,0.03691986043814238,3,4,2.9734047345585857e-05,5.4715451349116003e-08,0.6413789656091708,0.40963855421644846,0.4661298990249634,PRUNED
8,0.38439306358335507,2025-12-24 09:51:59.573994,2025-12-24 09:52:46.149238,0 days 00:00:46.575244,16,512,0.04777816694660081,3,4,0.0021148292648927734,8.113905037860782e-07,0.6262496667555318,0.38439306358335507,0.4972638785839081,PRUNED
9,0.4290738569749686,2025-12-24 09:52:46.149412,2025-12-24 09:54:15.971382,0 days 00:01:29.821970,64,128,0.09554122113841546,7,4,0.00011257161922932547,0.00020580306997622185,0.6790980738469742,0.4290738569749686,0.48491182923316956,PRUNED
10,0.40136054421728284,2025-12-24 09:54:15.971555,2025-12-24 09:55:02.399957,0 days 00:00:46.428402,16,512,0.40495652959337425,3,1,0.0004705255051742617,0.006718304002867674,0.6610153958944283,0.40136054421728284,0.4555847942829132,PRUNED
11,0.4263959390858631,2025-12-24 09:55:02.400132,2025-12-24 09:56:31.321638,0 days 00:01:28.921506,32,512,0.2940344200616429,3,2,0.0005273426736666473,0.0004533917404060713,0.6845882764596107,0.4263959390858631,0.5273400545120239,PRUNED
12,0.42894056847501666,2025-12-24 09:56:31.321815,2025-12-24 09:57:59.563651,0 days 00:01:28.241836,32,128,0.2569791660078129,3,3,0.0005174994086558699,0.0001851567154602567,0.6831678219141561,0.42894056847501666,0.4615907073020935,PRUNED
13,0.42228739002886273,2025-12-24 09:57:59.563829,2025-12-24 10:00:14.577962,0 days 00:02:15.014133,32,512,0.314198920712416,3,2,0.00030921132088585575,0.004660865695395074,0.6904075579845375,0.42228739002886273,0.46752727031707764,PRUNED
