number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.593059936908041,2025-12-21 19:26:04.279882,2025-12-21 19:28:20.535668,0 days 00:02:16.255786,64,512,0.4686066769504925,7,3,0.0007999625753199229,3.448134131465098e-08,0.7748392095441214,0.5217391304342857,0.5804815888404846,COMPLETE
1,0.5520833333328429,2025-12-21 19:28:20.535983,2025-12-21 19:35:19.964317,0 days 00:06:59.428334,64,256,0.27120612433305596,5,2,1.5026781285850634e-05,2.590282508509678e-07,0.7781175019994668,0.5366726296953919,0.5740402936935425,COMPLETE
2,0.5476190476185598,2025-12-21 19:35:19.964560,2025-12-21 19:39:36.454856,0 days 00:04:16.490296,64,512,0.2435419858985448,3,4,1.69019930393407e-05,1.1884737977449316e-08,0.7785673820314584,0.5400981996721853,0.5503199696540833,COMPLETE
3,0.5540540540535671,2025-12-21 19:39:36.455105,2025-12-21 19:44:25.602690,0 days 00:04:49.147585,16,256,0.11448641057983183,7,3,1.0660845595223831e-05,2.9405840919380384e-05,0.7785257264729407,0.5390070921980888,0.4899725317955017,COMPLETE
4,0.5700164744640966,2025-12-21 19:44:25.602945,2025-12-21 19:47:23.654876,0 days 00:02:58.051931,32,512,0.4824954487449784,7,1,0.0009417662649274273,7.18307411078352e-08,0.8113877965875766,0.5598650927482486,0.4023686945438385,COMPLETE
5,0.575667655785885,2025-12-21 19:47:23.655176,2025-12-21 19:50:50.484445,0 days 00:03:26.829269,16,128,0.26255715326285145,5,1,0.0005770779003850268,4.779325206869517e-07,0.7962210077312717,0.5294117647053828,0.5095183253288269,COMPLETE
6,0.5763293310458232,2025-12-21 19:50:50.484681,2025-12-21 19:55:13.238016,0 days 00:04:22.753335,16,256,0.2655214166163708,7,2,0.0001325343526461871,0.004307625105477352,0.8071805851772861,0.5550239234444978,0.2013566642999649,COMPLETE
7,0.5780346820804257,2025-12-21 19:55:13.238252,2025-12-21 19:57:51.627255,0 days 00:02:38.389003,32,256,0.049396742681488415,3,2,0.001305975061103927,0.0014306650284942118,0.8042542821914156,0.551470588234798,0.42944249510765076,COMPLETE
8,0.44654088050266894,2025-12-21 19:57:51.627511,2025-12-21 19:58:03.771824,0 days 00:00:12.144313,16,256,0.06733881293554017,5,3,0.0006668733165459811,5.79181111468684e-06,0.6791980471874167,0.44654088050266894,0.35952121019363403,PRUNED
9,0.5755693581775541,2025-12-21 19:58:03.772011,2025-12-21 20:02:44.945849,0 days 00:04:41.173838,16,512,0.2764375016221175,7,2,0.001479589969562432,0.000592439810027937,0.7973790322580646,0.5185185185180187,0.6886922717094421,COMPLETE
10,0.4466800804823974,2025-12-21 20:02:44.946085,2025-12-21 20:02:55.108728,0 days 00:00:10.162643,64,128,0.4682353322477225,7,4,0.00015344962427637476,7.383896931239666e-06,0.706903159157558,0.4466800804823974,0.7615699768066406,PRUNED
11,0.4609218436868748,2025-12-21 20:02:55.108891,2025-12-21 20:03:20.259924,0 days 00:00:25.151033,32,512,0.008591012845905653,3,3,0.0027018023563048,0.00013885041712527452,0.7240423387096774,0.4609218436868748,0.7427985072135925,PRUNED
12,0.5103189493428419,2025-12-21 20:03:20.260116,2025-12-21 20:03:44.576954,0 days 00:00:24.316838,32,512,0.37295296309047443,3,2,0.00033141623342959733,0.007965818878079511,0.7487003465742468,0.5103189493428419,0.6188762784004211,PRUNED
13,0.5411764705877491,2025-12-21 20:03:44.577131,2025-12-21 20:04:20.924705,0 days 00:00:36.347574,32,256,0.13864024717073214,3,3,0.002730807635709447,1.7956535569347852e-06,0.7752932551319649,0.5411764705877491,0.523659348487854,PRUNED
14,0.4045977011489351,2025-12-21 20:04:20.924874,2025-12-21 20:04:31.011292,0 days 00:00:10.086418,64,128,0.38085197750528776,3,1,7.487168997075284e-05,0.0006094322002373452,0.6517220407891229,0.4045977011489351,0.5863125324249268,PRUNED
15,0.5288966725038868,2025-12-21 20:04:31.011462,2025-12-21 20:05:08.412227,0 days 00:00:37.400765,32,256,0.1771894193466178,7,4,0.00034922330229741005,1.3697419682986475e-08,0.7702029458810984,0.5288966725038868,0.4677357077598572,PRUNED
16,0.4589473684205536,2025-12-21 20:05:08.412401,2025-12-21 20:05:19.161700,0 days 00:00:10.749299,64,512,0.38271446577211754,3,2,0.0013504871756577776,5.999534798475774e-05,0.7320256264996001,0.4589473684205536,0.48478907346725464,PRUNED
17,0.4483159117301357,2025-12-21 20:05:19.161873,2025-12-21 20:05:29.485647,0 days 00:00:10.323774,64,512,0.0006596056932409861,7,3,7.245433742563121e-05,0.0013477233066439978,0.7179106404958677,0.4483159117301357,0.41010648012161255,PRUNED
18,0.4567627494451813,2025-12-21 20:05:29.485816,2025-12-21 20:05:41.249886,0 days 00:00:11.764070,32,256,0.43660304121284205,3,2,0.00032532889726310333,1.0431969840541458e-06,0.721078545721141,0.4567627494451813,0.6708666682243347,PRUNED
19,0.4451127819544195,2025-12-21 20:05:41.250061,2025-12-21 20:05:51.801051,0 days 00:00:10.550990,64,128,0.3359993367131269,5,3,0.0014822412779958458,1.3142488668368694e-07,0.7219491468941616,0.4451127819544195,0.5322272181510925,PRUNED
20,0.4838012958958308,2025-12-21 20:05:51.801227,2025-12-21 20:06:16.622752,0 days 00:00:24.821525,32,512,0.19411182732206803,7,1,0.0005607482031887479,0.00015295840218176816,0.7559234204212211,0.4838012958958308,0.7732831835746765,PRUNED
21,0.4710280373826803,2025-12-21 20:06:16.622930,2025-12-21 20:06:30.092552,0 days 00:00:13.469622,16,256,0.329928769466121,7,2,0.00014258345770619922,0.006101371445790501,0.7406691548920287,0.4710280373826803,0.5542008280754089,PRUNED
22,0.4407484407479413,2025-12-21 20:06:30.092727,2025-12-21 20:06:43.865280,0 days 00:00:13.772553,16,256,0.05539063008791337,7,2,4.0668459638043715e-05,0.002134492300064197,0.7015879098906959,0.4407484407479413,0.6520127058029175,PRUNED
23,0.4590570719598718,2025-12-21 20:06:43.865452,2025-12-21 20:06:58.385660,0 days 00:00:14.520208,16,256,0.21773574223558362,7,2,0.00025233937193774945,0.0029987428657211285,0.728672354038923,0.4590570719598718,0.45393872261047363,PRUNED
24,0.45958795562551336,2025-12-21 20:06:58.385832,2025-12-21 20:07:10.432683,0 days 00:00:12.046851,16,256,0.43705569947595935,7,3,7.936219542726617e-05,0.00044058011559393247,0.7405400226606238,0.45958795562551336,0.4129107892513275,PRUNED
25,0.40552995391656094,2025-12-21 20:07:10.432855,2025-12-21 20:07:21.257050,0 days 00:00:10.824195,32,256,0.3138189667572454,3,2,3.6812305286332834e-05,2.1387254389908224e-05,0.651059717408691,0.40552995391656094,0.5976510643959045,PRUNED
26,0.4750830564779208,2025-12-21 20:07:21.257223,2025-12-21 20:07:43.431646,0 days 00:00:22.174423,64,256,0.1420670290291386,7,1,0.0009628498373407218,3.646149749699824e-08,0.7506414956011731,0.4750830564779208,0.5811207890510559,PRUNED
27,0.44186046511579086,2025-12-21 20:07:43.431824,2025-12-21 20:07:55.848048,0 days 00:00:12.416224,16,256,0.09540370799017261,7,3,0.00021999954800665727,0.00028463180930151895,0.7046912490002666,0.44186046511579086,0.7823070883750916,PRUNED
28,0.4687045123721733,2025-12-21 20:07:55.848217,2025-12-21 20:08:06.041992,0 days 00:00:10.193775,64,128,0.42238402619365734,3,4,0.0019398753590689484,2.1868898834307036e-06,0.742701946147694,0.4687045123721733,0.45244646072387695,PRUNED
29,0.4280936454845497,2025-12-21 20:08:06.042159,2025-12-21 20:08:17.630620,0 days 00:00:11.588461,32,512,0.1769313270493213,5,2,0.00012102550376070415,0.00120972080708648,0.6997675619834711,0.4280936454845497,0.34104830026626587,PRUNED
30,0.5836575875481387,2025-12-21 20:08:17.630791,2025-12-21 20:12:46.481258,0 days 00:04:28.850467,64,256,0.2888394342770207,5,2,0.0008541882417699072,0.008972716449086444,0.8007052286057053,0.5414551607440137,0.444241464138031,COMPLETE
31,0.5040128410910134,2025-12-21 20:12:46.481484,2025-12-21 20:13:07.556530,0 days 00:00:21.075046,64,256,0.29057438067941843,5,2,0.0007631899616377823,0.009688494705659738,0.7686158691015729,0.5040128410910134,0.319964736700058,PRUNED
32,0.4967320261433526,2025-12-21 20:13:07.556704,2025-12-21 20:13:29.974631,0 days 00:00:22.417927,64,256,0.23840491844278341,5,2,0.0004296471205527404,0.004120011513809732,0.7526659557451346,0.4967320261433526,0.4828779697418213,PRUNED
33,0.46692607003841113,2025-12-21 20:13:29.974807,2025-12-21 20:13:40.535950,0 days 00:00:10.561143,64,256,0.23177305000590598,5,2,0.0010082145772421277,0.0015215860060733381,0.7356996467608637,0.46692607003841113,0.5259702801704407,PRUNED
34,0.44536652835362944,2025-12-21 20:13:40.536130,2025-12-21 20:13:51.443407,0 days 00:00:10.907277,64,256,0.3059861731962426,5,3,0.00045746175694334876,6.731327434285811e-05,0.7206994801386297,0.44536652835362944,0.3823738992214203,PRUNED
35,0.5109983079521355,2025-12-21 20:13:51.443580,2025-12-21 20:14:13.276134,0 days 00:00:21.832554,64,256,0.4977128199300104,5,1,0.002044080545537564,0.003888506055641419,0.7597140762463342,0.5109983079521355,0.41638049483299255,PRUNED
36,0.578710644677194,2025-12-21 20:14:13.276305,2025-12-21 20:18:01.858694,0 days 00:03:48.582389,16,512,0.3572074195851429,7,2,0.00021861151512724488,4.792927478182535e-07,0.8091383964276193,0.5636363636358945,0.02363174594938755,COMPLETE
37,0.4561824729887775,2025-12-21 20:18:01.858923,2025-12-21 20:18:12.430488,0 days 00:00:10.571565,64,512,0.3571746629912878,3,1,0.001061337597004226,3.7855560665349075e-07,0.7362536656891496,0.4561824729887775,0.44732800126075745,PRUNED
38,0.43930635838104304,2025-12-21 20:18:12.430664,2025-12-21 20:18:25.088387,0 days 00:00:12.657723,16,512,0.40692119985330216,7,3,0.0007123199195572896,1.1099384566092476e-07,0.6911365302585978,0.43930635838104304,0.5909686088562012,PRUNED
39,0.4090909090904172,2025-12-21 20:18:25.088558,2025-12-21 20:18:36.151504,0 days 00:00:11.062946,32,512,0.4681772944026,5,2,1.8502000300400536e-05,3.529366792137604e-08,0.6524468475073314,0.4090909090904172,0.6512858271598816,PRUNED
40,0.5247148288968401,2025-12-21 20:18:36.151687,2025-12-21 20:19:17.726132,0 days 00:00:41.574445,16,512,0.3528987512777565,7,3,0.00021027508577781443,1.0497144984179593e-08,0.7655375233271128,0.5247148288968401,0.4574752151966095,PRUNED
41,0.480898876404001,2025-12-21 20:19:17.726308,2025-12-21 20:19:44.785904,0 days 00:00:27.059596,16,512,0.2642913575167895,7,2,0.00010751705228522465,6.269549687618442e-07,0.7441015729138896,0.480898876404001,0.7298238277435303,PRUNED
42,0.5430894308938277,2025-12-21 20:19:44.786088,2025-12-21 20:20:23.860556,0 days 00:00:39.074468,16,512,0.2818941707320146,7,2,0.0005229879216633529,2.996060347397973e-06,0.7704737070114636,0.5430894308938277,0.37603190541267395,PRUNED
43,0.46622516556247273,2025-12-21 20:20:23.860734,2025-12-21 20:20:37.338437,0 days 00:00:13.477703,16,128,0.20644684218785708,7,2,0.0018911906395224173,2.1782276062858205e-07,0.7277101106371634,0.46622516556247273,0.5122736096382141,PRUNED
44,0.4519999999995,2025-12-21 20:20:37.338604,2025-12-21 20:20:50.098489,0 days 00:00:12.759885,16,256,0.2547287338009192,7,2,4.88521575956272e-05,1.4967528127168714e-05,0.7188874633431084,0.4519999999995,0.5560194253921509,PRUNED
45,0.4848484848480156,2025-12-21 20:20:50.098657,2025-12-21 20:21:14.469507,0 days 00:00:24.370850,32,512,0.039458788661439335,3,3,0.0007491911778071221,2.6542797223790882e-08,0.7406733204478806,0.4848484848480156,0.34075477719306946,PRUNED
46,0.46715328467107087,2025-12-21 20:21:14.469681,2025-12-21 20:21:24.744500,0 days 00:00:10.274819,64,256,0.29925098806536793,7,2,0.0012684074162235988,0.0007451915783216318,0.7339501133031191,0.46715328467107087,0.41550594568252563,PRUNED
47,0.4581673306767909,2025-12-21 20:21:24.744681,2025-12-21 20:21:37.552368,0 days 00:00:12.807687,16,512,0.32905423825173113,3,1,0.0002878320302718206,0.007047070915970254,0.7348956944814717,0.4581673306767909,0.5259312987327576,PRUNED
48,0.43155452436146036,2025-12-21 20:21:37.552539,2025-12-21 20:21:49.800671,0 days 00:00:12.248132,32,128,0.4081029872727795,7,4,0.002921144634631533,6.129341538077394e-06,0.6813891295654492,0.43155452436146036,0.7117669582366943,PRUNED
49,0.4295154185018056,2025-12-21 20:21:49.800843,2025-12-21 20:22:00.133574,0 days 00:00:10.332731,64,256,0.13172262297949652,5,2,0.00020399388842554594,6.936051007394898e-08,0.6946064382831245,0.4295154185018056,0.4164966940879822,PRUNED
50,0.45811518324563477,2025-12-21 20:22:00.133751,2025-12-21 20:22:13.909869,0 days 00:00:13.776118,16,512,0.46361296040566,3,3,0.0004185116249874956,0.002298733950216576,0.7313258131165022,0.45811518324563477,0.31596639752388,PRUNED
51,0.4916540212438401,2025-12-21 20:22:13.910046,2025-12-21 20:22:40.269568,0 days 00:00:26.359522,16,128,0.2682073187437185,5,1,0.0006777244722317127,1.1951084702637798e-06,0.7619176552919221,0.4916540212438401,0.46694421768188477,PRUNED
52,0.5665399239538742,2025-12-21 20:22:40.269739,2025-12-21 20:26:05.937794,0 days 00:03:25.668055,16,128,0.16792431995169854,5,1,0.001428710625553151,3.246894801624254e-07,0.8186150359904025,0.5638297872335498,0.5251333117485046,COMPLETE
53,0.4454545454540535,2025-12-21 20:26:05.938044,2025-12-21 20:26:18.665526,0 days 00:00:12.727482,16,128,0.2479233778117264,5,1,0.00015215189312092975,3.597215063535231e-06,0.713759664089576,0.4454545454540535,0.6538709402084351,PRUNED
54,0.5731707317068468,2025-12-21 20:26:18.665698,2025-12-21 20:29:19.187400,0 days 00:03:00.521702,16,128,0.36333629621133556,5,2,0.000561126171020487,0.004828270231014279,0.769494801386297,0.5007587253409569,0.20595386624336243,COMPLETE
55,0.5471698113202568,2025-12-21 20:29:19.187630,2025-12-21 20:29:56.552540,0 days 00:00:37.364910,32,256,0.3129763660346224,7,2,0.0008446794719210013,1.968853880691773e-08,0.7634255865102638,0.5471698113202568,0.5073869228363037,PRUNED
56,0.5825932504435568,2025-12-21 20:29:56.552713,2025-12-21 20:31:52.943737,0 days 00:01:56.391024,64,128,0.223308129256442,7,3,0.0011480221661205993,5.111971984037476e-05,0.8033940949080245,0.5770609318991479,0.6489054560661316,COMPLETE
57,0.448202959830368,2025-12-21 20:31:52.943978,2025-12-21 20:32:03.791534,0 days 00:00:10.847556,64,256,0.09097908870284627,7,3,0.001704494650982857,0.0001699443581253574,0.7092400359904025,0.448202959830368,0.5666040778160095,PRUNED
58,0.43235294117600725,2025-12-21 20:32:03.791704,2025-12-21 20:32:14.387550,0 days 00:00:10.595846,64,128,0.21938407348749073,7,3,0.0011590791939762287,0.0008870555341082095,0.6994134897360703,0.43235294117600725,0.48942330479621887,PRUNED
59,0.44012944983770724,2025-12-21 20:32:14.387717,2025-12-21 20:32:25.596429,0 days 00:00:11.208712,64,512,0.39732788682639064,7,3,0.0022838425816584266,3.919509725464011e-05,0.6933234470807784,0.44012944983770724,0.512871503829956,PRUNED
60,0.4643799472291112,2025-12-21 20:32:25.596602,2025-12-21 20:32:36.707093,0 days 00:00:11.110491,64,256,0.3390978826300152,7,3,9.736559067106572e-05,0.0004315035574282678,0.7403942282058118,0.4643799472291112,0.40705642104148865,PRUNED
61,0.46762589928008136,2025-12-21 20:32:36.707264,2025-12-21 20:32:47.987409,0 days 00:00:11.280145,64,128,0.02178476382665201,7,2,0.0005762819448072263,6.422210716286977e-08,0.7364661090375899,0.46762589928008136,0.5156583786010742,PRUNED
