number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.4485006518900448,2025-12-24 08:50:52.746789,2025-12-24 08:50:56.332456,0 days 00:00:03.585667,0.2017392740222077,balanced,0.8338034081971507,3695,3.058139871991871e-05,0.39592542202430275,0.7107937883231139,0.4551829397678375,COMPLETE
1,0.3387978142073688,2025-12-24 08:50:56.332634,2025-12-24 08:50:56.403238,0 days 00:00:00.070604,0.0007961684493051504,,0.22978265247064267,4480,1.291288888050285e-06,0.20394736842105263,0.5,0.21880704164505005,COMPLETE
2,0.4517704517700295,2025-12-24 08:50:56.403361,2025-12-24 08:50:57.385263,0 days 00:00:00.981902,19.700440698562932,balanced,0.024872927597505257,2080,0.0005611504902535684,0.3889076079995658,0.7230488536390295,0.3505925238132477,COMPLETE
3,0.3387978142073688,2025-12-24 08:50:57.385383,2025-12-24 08:50:57.411899,0 days 00:00:00.026516,0.0033234243049383824,balanced,0.8434402547236363,3122,0.0008525705130707982,0.20394736842105263,0.5,0.5,COMPLETE
4,0.46423751686865045,2025-12-24 08:50:57.412098,2025-12-24 08:50:58.601571,0 days 00:00:01.189473,126.98840171415954,,0.11988263554831968,2694,0.0010603279456033914,0.3964739951324507,0.7245567848573714,0.16499340534210205,COMPLETE
5,0.45510455104508646,2025-12-24 08:50:58.601683,2025-12-24 08:51:00.386849,0 days 00:00:01.785166,140.82861237135273,balanced,0.9373345278163155,3749,5.4253673391447316e-05,0.3892792041147539,0.72417771927486,0.36017894744873047,COMPLETE
6,0.43765903307844845,2025-12-24 08:51:00.387005,2025-12-24 08:51:00.642487,0 days 00:00:00.255482,0.05959399869798294,balanced,0.3413720834681321,505,0.0003440171826524439,0.37819208864157416,0.6929402159424154,0.4702426493167877,COMPLETE
7,0.459016393442193,2025-12-24 08:51:00.642603,2025-12-24 08:51:01.513142,0 days 00:00:00.870539,7.870736437699155,balanced,0.3195270547892193,1821,2.732405160522081e-06,0.39104709134013127,0.7252149426819515,0.3803870975971222,COMPLETE
8,0.426666666666224,2025-12-24 08:51:01.513258,2025-12-24 08:51:01.614437,0 days 00:00:00.101179,0.09844702383290845,,0.7166247707271197,204,1.797519018323741e-06,0.36513037759133893,0.6835343908291123,0.2201819270849228,COMPLETE
9,0.44072164948410114,2025-12-24 08:51:01.614539,2025-12-24 08:51:02.768897,0 days 00:00:01.154358,0.1780189733060119,,0.9498473968135593,4303,1.2635409058225931e-05,0.38431229803871375,0.7026959477472674,0.20516212284564972,COMPLETE
10,0.4579560155234969,2025-12-24 08:51:02.768998,2025-12-24 08:51:03.024013,0 days 00:00:00.255015,742.0581526699062,,0.04348488294062372,1437,0.007511220334156267,0.3978364816341128,0.7173253798986936,0.16048510372638702,COMPLETE
11,0.4617380025935972,2025-12-24 08:51:03.024107,2025-12-24 08:51:03.348655,0 days 00:00:00.324548,5.328367426452032,,0.4491107445614823,2111,0.003707471060140271,0.3960933695496468,0.7198580378565715,0.16441191732883453,COMPLETE
12,0.46601941747527686,2025-12-24 08:51:03.348745,2025-12-24 08:51:03.687161,0 days 00:00:00.338416,5.692912151639013,,0.5436840657636051,2605,0.006337559861155744,0.3977518706156653,0.7195997733937616,0.18273258209228516,COMPLETE
13,0.4633204633200287,2025-12-24 08:51:03.687252,2025-12-24 08:51:04.325568,0 days 00:00:00.638316,71.30356572065071,,0.618418875111479,2822,0.002054018821828185,0.3997809751348168,0.7225739802719274,0.153705894947052,COMPLETE
14,0.4649122807012921,2025-12-24 08:51:04.325671,2025-12-24 08:51:04.501102,0 days 00:00:00.175431,1.508058764718613,,0.548178568843738,1101,0.009083016264475852,0.38720355359100345,0.7137554985337244,0.20573513209819794,COMPLETE
15,0.4661654135333669,2025-12-24 08:51:04.501195,2025-12-24 08:51:04.708945,0 days 00:00:00.207750,1.3720255733068198,,0.5468189921207954,1138,0.00859955693235356,0.38934473274174886,0.7154008930951745,0.21635054051876068,COMPLETE
16,0.3757575757571553,2025-12-24 08:51:04.709037,2025-12-24 08:51:04.801551,0 days 00:00:00.092514,0.01659767065820553,,0.6568379695922567,1022,0.0002468600889670648,0.3158527022369109,0.6179393828312449,0.2209165096282959,COMPLETE
17,0.46857142857097095,2025-12-24 08:51:04.801649,2025-12-24 08:51:05.145716,0 days 00:00:00.344067,1.341891104794591,,0.46458972327772324,3210,0.002474666654171875,0.39522673480565895,0.718787490002666,0.19702020287513733,COMPLETE
18,0.4670658682630062,2025-12-24 08:51:05.145807,2025-12-24 08:51:05.391851,0 days 00:00:00.246044,0.9986333961925151,,0.38179464169454425,4877,0.002586362273784685,0.3944721857708921,0.7165005998400427,0.21516014635562897,COMPLETE
