number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.5092250922504261,2025-12-24 07:56:37.378266,2025-12-24 08:19:51.483494,0 days 00:23:14.105228,16,0.03098557215629527,256,0.0006720549356537987,0.005084129189099403,0.7678660690482538,0.4999999999995114,0.44185131788253784,COMPLETE
1,0.43222506393818577,2025-12-24 08:19:51.483760,2025-12-24 08:30:16.036166,0 days 00:10:24.552406,32,0.4996936428635953,2048,2.8794261234320623e-05,1.1072961258618731e-05,0.680531025059984,0.42465753424612673,0.532005786895752,COMPLETE
2,0.49837133550440443,2025-12-24 08:30:16.036395,2025-12-24 08:56:34.279638,0 days 00:26:18.243243,32,0.4599509979705015,256,0.0006596868725505788,1.053956125830206e-08,0.730963409757398,0.48250460405106915,0.6095001101493835,COMPLETE
3,0.4753086419748362,2025-12-24 08:56:34.279884,2025-12-24 09:13:02.043111,0 days 00:16:27.763227,32,0.43032146319725106,2048,0.0010960788131626597,5.677455245997917e-07,0.7170379565449214,0.4600938967131401,0.5730823278427124,COMPLETE
4,0.4719101123590965,2025-12-24 09:13:02.043350,2025-12-24 09:45:24.577385,0 days 00:32:22.534035,64,0.42880863579751843,1024,0.00010581964719370887,2.1979183870780747e-08,0.7206474106904825,0.4654939106896758,0.33693036437034607,COMPLETE
5,0.41850220264277477,2025-12-24 09:45:24.577640,2025-12-24 09:46:53.864652,0 days 00:01:29.287012,64,0.14427300913356222,1024,4.8461725491188184e-05,0.0026426418746911375,0.6523260463876299,0.41850220264277477,0.4922695457935333,PRUNED
6,0.5096660808430935,2025-12-24 09:46:53.864840,2025-12-24 10:13:59.494757,0 days 00:27:05.629917,64,0.22910698101504967,512,0.002328275436535488,0.0010820479321893015,0.7413897960543855,0.48648648648599213,0.5244746208190918,COMPLETE
7,0.3954545454541407,2025-12-24 10:13:59.494999,2025-12-24 10:14:44.299880,0 days 00:00:44.804881,32,0.045091926795765624,256,4.874602403838916e-05,1.3498419744414475e-06,0.6317440349240203,0.3954545454541407,0.4539957642555237,PRUNED
8,0.42455242966708606,2025-12-24 10:14:44.300057,2025-12-24 10:16:21.399196,0 days 00:01:37.099139,16,0.3676904896958659,2048,0.0012825183163232329,4.9285205866114486e-05,0.6746201013063182,0.42455242966708606,0.4192879796028137,PRUNED
9,0.41952506596262046,2025-12-24 10:16:21.399366,2025-12-24 10:17:49.718293,0 days 00:01:28.318927,64,0.18073869334051124,2048,0.001964115555176668,0.00031401965484756844,0.6733704345507865,0.41952506596262046,0.5246613621711731,PRUNED
10,0.39588100686458205,2025-12-24 10:17:49.718466,2025-12-24 10:18:33.635594,0 days 00:00:43.917128,64,0.29479310309608353,512,1.0161444080181712e-05,0.00035413896654856893,0.6328895627832578,0.39588100686458205,0.4969412684440613,PRUNED
11,0.44513137557912535,2025-12-24 10:18:33.635762,2025-12-24 10:40:13.029820,0 days 00:21:39.394058,16,0.012496439669221981,512,0.0002563908713894052,0.007794625178111276,0.7182418021860838,0.44513137557912535,0.3945282995700836,PRUNED
12,0.5119999999995212,2025-12-24 10:40:13.030005,2025-12-24 11:04:31.179714,0 days 00:24:18.149709,16,0.12418632936502724,512,0.00045732988615101734,0.0007449020324175635,0.7397610637163423,0.4936479128851674,0.665155827999115,COMPLETE
13,0.3915094339618503,2025-12-24 11:04:31.179972,2025-12-24 11:06:56.722799,0 days 00:02:25.542827,16,0.19761834401892575,512,0.0002677931719713499,0.00036768060602896313,0.6476814516129032,0.3915094339618503,0.3748760223388672,PRUNED
14,0.4865831842571092,2025-12-24 11:06:56.722979,2025-12-24 11:27:10.044590,0 days 00:20:13.321611,64,0.1018649386761398,512,0.002419663469976851,6.031887061434002e-05,0.7446430951746201,0.4744186046506894,0.40091031789779663,COMPLETE
