number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.44052863436073775,2025-12-21 17:57:51.453276,2025-12-21 18:02:35.543393,0 days 00:04:44.090117,16,0.10997170062281236,256,1.1293157072491464e-05,2.7216030727768114e-07,0.6979472140762463,0.4347826086951613,0.6173363327980042,COMPLETE
1,0.5473684210521399,2025-12-21 18:02:35.543668,2025-12-21 18:07:17.891757,0 days 00:04:42.348089,32,0.141808862766295,512,0.0002572898880523759,1.719542853743146e-08,0.7858612703279125,0.5428571428566493,0.5004622936248779,COMPLETE
2,0.5478927203060145,2025-12-21 18:07:17.892011,2025-12-21 18:10:24.785185,0 days 00:03:06.893174,32,0.14645426390488203,2048,0.0003898551993616384,1.8992597275987323e-06,0.7874733404425487,0.5177195685665539,0.43934375047683716,COMPLETE
3,0.5200698080274322,2025-12-21 18:10:24.785443,2025-12-21 18:19:54.012526,0 days 00:09:29.227083,32,0.2715379923052211,1024,2.1229090946582808e-05,4.33356521574065e-08,0.759828629032258,0.5144804088581151,0.51600182056427,COMPLETE
4,0.5438596491223154,2025-12-21 18:19:54.012753,2025-12-21 18:25:51.652155,0 days 00:05:57.639402,32,0.14208783081212467,2048,4.6071080857282404e-05,6.754189978127206e-05,0.7716733870967741,0.5310344827581311,0.457999587059021,COMPLETE
5,0.5619223659884127,2025-12-21 18:25:51.652414,2025-12-21 18:31:24.020322,0 days 00:05:32.367908,16,0.44427872852356415,1024,0.00036795309647746796,3.711735479582503e-07,0.8059392495334579,0.5528756957323417,0.49613893032073975,COMPLETE
6,0.5630397236609955,2025-12-21 18:31:24.020549,2025-12-21 18:34:04.875725,0 days 00:02:40.855176,32,0.45707230613981364,2048,0.0010326559353405341,0.004738972666211285,0.802852572647294,0.5382165605090762,0.4014069736003876,COMPLETE
7,0.5634920634915636,2025-12-21 18:34:04.875961,2025-12-21 18:36:44.600273,0 days 00:02:39.724312,64,0.03636457241379315,1024,0.001098051361197001,0.0031071394052824474,0.7918263463076513,0.5290102389073615,0.32880303263664246,COMPLETE
8,0.38500851788707585,2025-12-21 18:36:44.600497,2025-12-21 18:36:54.677836,0 days 00:00:10.077339,64,0.13360187118894357,2048,2.9575041036226657e-05,0.001155546375140285,0.6334144228205811,0.38500851788707585,0.5235634446144104,PRUNED
9,0.41393442622900833,2025-12-21 18:36:54.678015,2025-12-21 18:37:08.043404,0 days 00:00:13.365389,16,0.17503678078892415,1024,6.113910953893158e-05,7.542441590049724e-05,0.6564749400159957,0.41393442622900833,0.570845365524292,PRUNED
