number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.4551083591326539,2025-12-27 07:00:33.197440,2025-12-27 07:00:34.992951,0 days 00:00:01.795511,115.28606131256669,balanced,0.0007942765050953659,poly,4490,0.0003791696878767901,0.39619242282318673,0.700577762596641,0.5304772257804871,COMPLETE
1,0.3716814159288609,2025-12-27 07:00:34.993169,2025-12-27 07:00:35.179654,0 days 00:00:00.186485,0.47919249226553673,balanced,0.0007070450325656487,poly,2083,1.3163472776446834e-05,0.2938096613126797,0.6065799120234604,0.511553943157196,COMPLETE
2,0.4178628389149923,2025-12-27 07:00:35.179790,2025-12-27 07:00:45.346571,0 days 00:00:10.166781,8.677620257986707,balanced,4.048601701836424,poly,2368,0.0002260003133133346,0.3445258441714264,0.6728872300719808,0.5269703269004822,COMPLETE
3,0.4677187948345487,2025-12-27 07:00:45.346753,2025-12-27 07:01:34.939890,0 days 00:00:49.593137,47.5167058639174,balanced,,linear,4372,0.0016379486465227036,0.39022167712916156,0.7230384397494002,0.5124106407165527,COMPLETE
4,0.36831275720126605,2025-12-27 07:01:34.940206,2025-12-27 07:01:35.130179,0 days 00:00:00.189973,0.03347281715161211,balanced,5.978072915769733e-05,sigmoid,262,6.05670916424653e-06,0.2875466554778935,0.6048886963476406,0.5004904866218567,COMPLETE
5,0.3502906976741231,2025-12-27 07:01:35.130320,2025-12-27 07:01:35.257021,0 days 00:00:00.126701,0.0012424783589957042,,0.00047225847135975155,rbf,1003,0.00032727953858553975,0.2211678120747992,0.5344637263396428,0.2187153846025467,COMPLETE
6,0.48710601719151886,2025-12-27 07:01:35.257156,2025-12-27 07:01:37.148715,0 days 00:00:01.891559,2.4210955376276835,,,linear,2093,0.0029131530243637046,0.43384820198065643,0.7458302785923753,0.201421856880188,COMPLETE
7,0.46666666666619755,2025-12-27 07:01:37.148857,2025-12-27 07:01:37.448754,0 days 00:00:00.299897,80.65342368532437,,0.00011719488823698147,rbf,2675,0.00012313037179830633,0.38600926105886346,0.719428985603839,0.21282663941383362,COMPLETE
8,0.3387978142073688,2025-12-27 07:01:37.448892,2025-12-27 07:01:37.621515,0 days 00:00:00.172623,0.017374438860185058,balanced,0.28945605882697184,sigmoid,3482,2.8205422405150624e-06,0.20394736842105263,0.5,0.5006105303764343,COMPLETE
9,0.3577235772353954,2025-12-27 07:01:37.621650,2025-12-27 07:01:37.804350,0 days 00:00:00.182700,0.0165445364402617,balanced,0.03962511255285361,sigmoid,3994,9.501064036290125e-06,0.2237835842515561,0.5551540422553984,0.49903976917266846,COMPLETE
10,0.4835924006903566,2025-12-27 07:01:37.804478,2025-12-27 07:01:39.272479,0 days 00:00:01.468001,2.160505356293193,,,linear,1329,0.0065325410844205446,0.43247816115843035,0.7448888629698748,0.24464023113250732,COMPLETE
11,0.48450704225306646,2025-12-27 07:01:39.272665,2025-12-27 07:01:40.357607,0 days 00:00:01.084942,1.4952632638138534,,,linear,1661,0.009365944900727181,0.43010251484295786,0.7432726272993868,0.19598791003227234,COMPLETE
12,0.47696476964725015,2025-12-27 07:01:40.357750,2025-12-27 07:01:40.812632,0 days 00:00:00.454882,0.36907540352865836,,,linear,1578,0.009287730160887873,0.4154576129425459,0.7329399660090643,0.18566443026065826,COMPLETE
13,0.413223140495418,2025-12-27 07:01:40.812769,2025-12-27 07:07:16.139203,0 days 00:05:35.326434,766.3012308457767,,,linear,2764,0.0022098325480825087,0.3574789236494376,0.6762988203145828,0.22545848786830902,COMPLETE
14,0.48671328671283365,2025-12-27 07:07:16.139518,2025-12-27 07:07:20.012106,0 days 00:00:03.872588,4.666751656934281,,,linear,571,0.0016939256151046057,0.4247917241023564,0.7468133497733938,0.19954073429107666,COMPLETE
15,0.48179271708638133,2025-12-27 07:07:20.012367,2025-12-27 07:07:32.966177,0 days 00:00:12.953810,14.637077436210115,,,linear,238,0.0010218880455646557,0.42356358538232264,0.7413335610503866,0.19810642302036285,COMPLETE
16,0.465256797582613,2025-12-27 07:07:32.966341,2025-12-27 07:07:33.625473,0 days 00:00:00.659132,0.11674864725067816,,,linear,904,4.6568522864891736e-05,0.4009725355130591,0.7254190549186882,0.20730504393577576,COMPLETE
17,0.4828496042211956,2025-12-27 07:07:33.625630,2025-12-27 07:07:38.831662,0 days 00:00:05.206032,5.394355842759134,,,linear,3088,0.0007836049805874176,0.423333489480351,0.7446368468408424,0.1901109367609024,COMPLETE
18,0.3387978142073688,2025-12-27 07:07:38.831844,2025-12-27 07:07:38.973224,0 days 00:00:00.141380,0.17913418692186886,,1.2492193824288164e-06,rbf,2013,0.0035376669508636956,0.20394736842105263,0.5,0.21883997321128845,COMPLETE
19,0.40148698884715794,2025-12-27 07:07:38.973356,2025-12-27 07:09:25.709607,0 days 00:01:46.736251,422.5408257234618,,,linear,858,7.61584868937941e-05,0.3429055564953887,0.6608966775526526,0.19934898614883423,COMPLETE
