number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.3387978142073688,2025-12-16 22:31:00.194381,2025-12-16 22:31:02.073392,0 days 00:00:01.879011,36.5233390556368,,0.4579776933442381,sigmoid,3509,6.4633713438664086e-06,0.20394736842105263,0.5,0.21883997321128845,COMPLETE
1,0.4778481012653459,2025-12-16 22:31:02.073588,2025-12-16 22:31:06.275948,0 days 00:00:04.202360,0.0073540833101672,,1.4832128398357856,poly,2695,0.000905230845792945,0.41258922492997796,0.7311633564382831,0.23049411177635193,COMPLETE
2,0.4689165186495959,2025-12-16 22:31:06.276126,2025-12-16 22:31:13.870208,0 days 00:00:07.594082,113.4012690607643,balanced,,linear,3433,0.0068744416663659505,0.4242112426691981,0.7195789456145029,0.5790221095085144,COMPLETE
3,0.3387978142073688,2025-12-16 22:31:13.870575,2025-12-16 22:31:14.129470,0 days 00:00:00.258895,0.0019814808397119214,balanced,1.1512093132864878e-06,rbf,3859,0.00019020934231526196,0.1835393522380443,0.41862170087976536,0.4992750585079193,COMPLETE
4,0.4678522571814942,2025-12-16 22:31:14.129628,2025-12-16 22:31:17.606388,0 days 00:00:03.476760,248.68760223381892,balanced,3.146469164223922,poly,3739,0.0036088849931675934,0.4070342012793649,0.7302302719274859,0.440455824136734,COMPLETE
5,0.5338078291810016,2025-12-16 22:31:17.606572,2025-12-16 22:31:17.880679,0 days 00:00:00.274107,0.08400303388140576,balanced,,linear,3214,0.00014150298194828435,0.46857469399563156,0.7681493268461743,0.5437554121017456,COMPLETE
6,0.3387978142073688,2025-12-16 22:31:17.880854,2025-12-16 22:31:18.051015,0 days 00:00:00.170161,57.63156271100437,,2.9285179141700046e-06,poly,802,3.7673601454997074e-06,0.20394736842105263,0.5,0.21883997321128845,COMPLETE
7,0.5167286245348189,2025-12-16 22:31:18.051166,2025-12-16 22:31:18.412645,0 days 00:00:00.361479,0.1573125288151188,,,linear,4609,0.00014203036137019567,0.49250269769807953,0.7534553285790456,0.24750570952892303,COMPLETE
8,0.3387978142073688,2025-12-16 22:31:18.412814,2025-12-16 22:31:18.634142,0 days 00:00:00.221328,2.263064564522156,balanced,2.4772605446801808,sigmoid,4898,1.3051661522066644e-06,0.20394736842105263,0.5,0.5007019639015198,COMPLETE
9,0.3387978142073688,2025-12-16 22:31:18.634291,2025-12-16 22:31:18.854739,0 days 00:00:00.220448,0.3620110226196642,balanced,3.1434250183018793e-06,poly,590,4.348490409397439e-05,0.20394736842105263,0.5,0.4991108477115631,COMPLETE
10,0.4747663551396895,2025-12-16 22:31:18.854896,2025-12-16 22:31:19.108932,0 days 00:00:00.254036,0.025844728844287953,balanced,,linear,1760,2.5721328724128342e-05,0.4313874015871394,0.7410607171420955,0.5758479833602905,COMPLETE
