number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.5364120781522602,2025-12-21 20:20:43.970179,2025-12-21 20:23:44.446659,0 days 00:03:00.476480,64,384,0.28718412966107987,256,2,2.9236720271074018e-05,8,3.7866538637820474e-07,0.7803918954945348,0.5219941348968979,0.30666083097457886,COMPLETE
1,0.52348993288542,2025-12-21 20:23:44.446947,2025-12-21 20:26:29.922764,0 days 00:02:45.475817,32,384,0.24520052376384255,256,3,0.00011357070594726863,4,0.0020576036153444033,0.7445472873900294,0.47107438016483943,0.06949856132268906,COMPLETE
2,0.549800796812249,2025-12-21 20:26:29.923024,2025-12-21 20:29:37.985266,0 days 00:03:08.062242,32,384,0.36004265592045503,512,1,0.00015657761020622176,4,2.80105927551949e-07,0.7719733071181019,0.5039999999995,0.6424679756164551,COMPLETE
3,0.4248120300746903,2025-12-21 20:29:37.985512,2025-12-21 20:32:26.026994,0 days 00:02:48.041482,16,384,0.1292566868723276,1536,3,0.000880361579190544,8,4.551715393688025e-08,0.49663423087176756,0.3387978142073688,0.5107751488685608,COMPLETE
4,0.5534591194963796,2025-12-21 20:32:26.027235,2025-12-21 20:37:03.303428,0 days 00:04:37.276193,32,128,0.36964767001582155,256,2,2.0240819737572265e-05,8,2.404855721066729e-05,0.7912223407091443,0.5412667946252209,0.5626256465911865,COMPLETE
5,0.4070021881833111,2025-12-21 20:37:03.303685,2025-12-21 20:37:13.489175,0 days 00:00:10.185490,64,384,0.48047128600641065,1024,2,2.0572765669823343e-05,4,0.0006785785306494344,0.6451029725406559,0.4070021881833111,0.6651516556739807,PRUNED
6,0.5387453874533781,2025-12-21 20:37:13.489376,2025-12-21 20:39:43.013186,0 days 00:02:29.523810,32,128,0.29009765066476234,1024,2,0.00012120154122202509,8,1.0422167582247818e-05,0.756289989336177,0.5068027210879475,0.5547764301300049,COMPLETE
7,0.4291091593471246,2025-12-21 20:39:43.013439,2025-12-21 20:39:54.503130,0 days 00:00:11.489691,32,256,0.4926361111258474,1536,2,0.00025741463484270073,8,3.624635733883436e-05,0.7030375233271127,0.4291091593471246,0.41528797149658203,PRUNED
8,0.49675324675276566,2025-12-21 20:39:54.503306,2025-12-21 20:40:41.080937,0 days 00:00:46.577631,32,384,0.13903935308487864,1536,1,0.00016769571564920937,8,1.4210652032747107e-05,0.7502874233537723,0.49675324675276566,0.5558945536613464,PRUNED
9,0.4750430292594074,2025-12-21 20:40:41.081106,2025-12-21 20:41:23.406655,0 days 00:00:42.325549,64,384,0.016056251223052487,256,3,0.000314151787441731,4,1.6682091360327855e-08,0.6972474006931485,0.4750430292594074,0.3108134865760803,PRUNED
10,0.42154566744681987,2025-12-21 20:41:23.406826,2025-12-21 20:41:38.156281,0 days 00:00:14.749455,16,128,0.3843215460446133,512,4,1.4669173262465374e-05,8,0.00017947072085182475,0.6664056251666222,0.42154566744681987,0.6499547958374023,PRUNED
11,0.4799999999995048,2025-12-21 20:41:38.156458,2025-12-21 20:42:25.179170,0 days 00:00:47.022712,32,128,0.3488439670011244,512,1,3.841821022136584e-05,4,5.361748099856353e-07,0.7413772993868303,0.4799999999995048,0.546436607837677,PRUNED
12,0.4208144796375165,2025-12-21 20:42:25.179346,2025-12-21 20:42:37.531003,0 days 00:00:12.351657,32,256,0.3970464266253322,512,1,0.001830894495854327,4,7.072722984852354e-07,0.6684009264196215,0.4208144796375165,0.7671463489532471,PRUNED
13,0.5476190476185598,2025-12-21 20:42:37.531169,2025-12-21 20:46:55.274377,0 days 00:04:17.743208,32,128,0.39848981540356626,512,1,6.050529845025848e-05,4,2.5435026460466863e-06,0.7892312050119968,0.5303030303025611,0.4072377681732178,COMPLETE
14,0.5662431941918825,2025-12-21 20:46:55.274608,2025-12-21 20:51:43.037300,0 days 00:04:47.762692,32,128,0.2107651189161974,256,1,0.000554661874322479,8,0.009857111925043904,0.7962001799520128,0.5387453874533781,0.25797945261001587,COMPLETE
15,0.4328018223229709,2025-12-21 20:51:43.037541,2025-12-21 20:51:54.333591,0 days 00:00:11.296050,16,128,0.19643303949606447,256,2,0.0006392778895057276,8,0.008503501701418255,0.7017003798986936,0.4328018223229709,0.7169588208198547,PRUNED
16,0.40086206896501964,2025-12-21 20:51:54.333763,2025-12-21 20:52:06.350787,0 days 00:00:12.017024,32,128,0.035413580568021824,256,4,1.02672880035566e-05,8,0.0001456619404161076,0.6347598973607038,0.40086206896501964,0.6041696667671204,PRUNED
17,0.43146067415681,2025-12-21 20:52:06.350962,2025-12-21 20:52:19.522648,0 days 00:00:13.171686,32,128,0.17662817463392153,256,1,0.0025919124305485717,8,0.007957692323829929,0.7018336776859504,0.43146067415681,0.5006163120269775,PRUNED
18,0.42391304347781406,2025-12-21 20:52:19.522819,2025-12-21 20:52:30.718442,0 days 00:00:11.195623,64,128,0.08585587687003399,256,2,0.0008004730058212507,8,9.015376172525328e-05,0.685500533191149,0.42391304347781406,0.3804600238800049,PRUNED
19,0.5413533834581489,2025-12-21 20:52:30.718614,2025-12-21 20:55:13.136054,0 days 00:02:42.417440,16,256,0.24143157000558715,256,3,6.451491448632797e-05,8,0.00104841310978422,0.6999300186616901,0.47484909456690444,0.7435752153396606,COMPLETE
20,0.48062015503826044,2025-12-21 20:55:13.136313,2025-12-21 20:55:48.480988,0 days 00:00:35.344675,32,128,0.332329964082956,1024,1,0.0004661857055964021,8,3.944781255050115e-06,0.7514204545454546,0.48062015503826044,0.6425438523292542,PRUNED
21,0.5075757575752593,2025-12-21 20:55:48.481168,2025-12-21 20:56:35.633101,0 days 00:00:47.151933,32,128,0.44591225987014915,512,1,0.0013467614318381207,4,8.693238553104119e-08,0.7252815915755798,0.5075757575752593,0.370231956243515,PRUNED
22,0.440154440153941,2025-12-21 20:56:35.633288,2025-12-21 20:56:46.968567,0 days 00:00:11.335279,32,384,0.30684756577876016,512,1,0.0003224692340466662,4,1.3711739532361317e-07,0.7009464142895228,0.440154440153941,0.6187723875045776,PRUNED
23,0.4325396825391827,2025-12-21 20:56:46.968745,2025-12-21 20:56:58.778410,0 days 00:00:11.809665,32,256,0.2085237229603998,256,2,6.70138646980605e-05,4,3.460697261675977e-06,0.7067656958144495,0.4325396825391827,0.5971779823303223,PRUNED
24,0.5733113673800768,2025-12-21 20:56:58.778589,2025-12-21 21:02:56.147642,0 days 00:05:57.369053,32,128,0.4345114483654927,256,1,0.00021138375920925744,8,3.472500713701834e-05,0.7801898660357238,0.5432098765427177,0.6455873250961304,COMPLETE
25,0.4969325153369519,2025-12-21 21:02:56.147874,2025-12-21 21:03:45.318391,0 days 00:00:49.170517,32,128,0.44074490816414685,256,2,0.00022601676791528228,8,3.503733335574931e-05,0.7517245401226339,0.4969325153369519,0.3141691982746124,PRUNED
26,0.42013129102795005,2025-12-21 21:03:45.318566,2025-12-21 21:03:57.157130,0 days 00:00:11.838564,32,128,0.4485789674355053,256,1,0.0004805943474031069,8,0.00037085258644691606,0.6917655291922153,0.42013129102795005,0.5940625667572021,PRUNED
27,0.43356643356602254,2025-12-21 21:03:57.157307,2025-12-21 21:04:11.073296,0 days 00:00:13.915989,32,128,0.31768306833658866,256,1,0.0004868544050925143,8,3.5049545720114174e-05,0.7059596607571315,0.43356643356602254,0.26864126324653625,PRUNED
28,0.41575492341307035,2025-12-21 21:04:11.073471,2025-12-21 21:04:23.426790,0 days 00:00:12.353319,64,128,0.2784303379648084,256,2,0.000997706851673797,8,0.002704401931541997,0.6556126699546788,0.41575492341307035,0.5328624844551086,PRUNED
29,0.4253393665153446,2025-12-21 21:04:23.426963,2025-12-21 21:04:37.458987,0 days 00:00:14.032024,16,128,0.3713145889460967,256,2,2.768289807314037e-05,8,1.0542402600277305e-06,0.685867102106105,0.4253393665153446,0.5377361178398132,PRUNED
30,0.41880341880292055,2025-12-21 21:04:37.459158,2025-12-21 21:04:47.936968,0 days 00:00:10.477810,64,128,0.42120383584311666,256,3,9.706484143284552e-05,8,0.00031310012313561793,0.6877665955745135,0.41880341880292055,0.6034983396530151,PRUNED
31,0.4425385934815008,2025-12-21 21:04:47.937146,2025-12-21 21:04:59.249754,0 days 00:00:11.312608,32,384,0.3640908887795222,512,1,0.0001792645912998366,8,3.021677668858314e-07,0.7167172087443349,0.4425385934815008,0.4029563367366791,PRUNED
32,0.43601895734548696,2025-12-21 21:04:59.249923,2025-12-21 21:05:11.457783,0 days 00:00:12.207860,32,384,0.26095656069420614,1024,1,3.991284529174257e-05,4,1.6451617313355239e-06,0.6791897160757131,0.43601895734548696,0.6407970190048218,PRUNED
33,0.5651376146784031,2025-12-21 21:05:11.457954,2025-12-21 21:08:26.859592,0 days 00:03:15.401638,32,384,0.4114485789932143,1536,1,0.00013747837031664084,8,2.0337396118015313e-08,0.7892728605705146,0.5152542372876482,0.5920289158821106,COMPLETE
34,0.4739195230993849,2025-12-21 21:08:26.859848,2025-12-21 21:09:01.121381,0 days 00:00:34.261533,32,384,0.4175041298035655,1536,1,8.556550605314066e-05,8,1.1908360280300107e-08,0.7244859704078913,0.4739195230993849,0.5263594388961792,PRUNED
35,0.4916820702397992,2025-12-21 21:09:01.121552,2025-12-21 21:09:49.114526,0 days 00:00:47.992974,32,256,0.4753485103980861,1536,1,0.0001271726663983698,8,7.750234149966803e-06,0.7470216275659823,0.4916820702397992,0.5566235184669495,PRUNED
36,0.40677966101646185,2025-12-21 21:09:49.114696,2025-12-21 21:10:00.284045,0 days 00:00:11.169349,32,384,0.2353798085415329,1536,2,0.0003627525373144468,8,0.0027506803932472027,0.6769028259130899,0.40677966101646185,0.6237336993217468,PRUNED
37,0.48958333333284293,2025-12-21 21:10:00.284224,2025-12-21 21:10:37.261427,0 days 00:00:36.977203,32,128,0.4694623920091594,1536,1,0.00020777880004841428,8,3.3357930218809234e-08,0.7535823780325247,0.48958333333284293,0.35629162192344666,PRUNED
38,0.41995841995792044,2025-12-21 21:10:37.261606,2025-12-21 21:10:50.072585,0 days 00:00:12.810979,32,384,0.13532034493603964,1536,3,2.007099347753641e-05,8,7.819119487019637e-05,0.6771236003732338,0.41995841995792044,0.5868463516235352,PRUNED
39,0.4789272030646353,2025-12-21 21:10:50.072764,2025-12-21 21:11:31.514740,0 days 00:00:41.441976,16,128,0.3486040882300364,1024,2,0.00012556708638492323,8,1.9688758757853448e-05,0.7514246201013064,0.4789272030646353,0.5277014970779419,PRUNED
40,0.4188235294112787,2025-12-21 21:11:31.514914,2025-12-21 21:11:42.506592,0 days 00:00:10.991678,64,384,0.1731705689647274,256,1,4.4078892670748966e-05,8,7.0348887649960986e-06,0.6837843241802187,0.4188235294112787,0.4960159659385681,PRUNED
41,0.4781144781139917,2025-12-21 21:11:42.506765,2025-12-21 21:12:15.208525,0 days 00:00:32.701760,32,384,0.4197168821928924,1536,1,0.0001430780094571735,4,2.213488962748226e-07,0.7255981738203147,0.4781144781139917,0.5097655653953552,PRUNED
42,0.4389140271488287,2025-12-21 21:12:15.208704,2025-12-21 21:12:27.090332,0 days 00:00:11.881628,32,384,0.28470527859241057,512,1,8.990166520908075e-05,4,3.828913051833182e-08,0.7045329578778993,0.4389140271488287,0.6004975438117981,PRUNED
43,0.5507745266776518,2025-12-21 21:12:27.090505,2025-12-21 21:15:09.195238,0 days 00:02:42.104733,32,384,0.3777282722743083,256,1,0.00016760610150296548,8,7.722999391471289e-08,0.7249191882164755,0.4752791068575761,0.552645206451416,COMPLETE
