number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.3387978142073688,2025-12-24 08:54:38.580082,2025-12-24 08:54:40.012607,0 days 00:00:01.432525,1.0270463901535673e-05,0.3068871187938298,113,2.9417312699653686,4.209812154252455,0.0033360900930845807,14,347,938,0.5967931189412681,0.20394736842105263,0.5,0.218627467751503,COMPLETE
1,0.4426751592351909,2025-12-24 08:54:40.012871,2025-12-24 08:54:40.991379,0 days 00:00:00.978508,0.029534925623023026,0.7242537519781806,128,1.3279407365644413,0.00023353499307439713,0.03604911076861986,7,190,1166,0.6457420698493131,0.3787358480508799,0.68782907891229,0.2557026445865631,COMPLETE
2,0.3387978142073688,2025-12-24 08:54:40.991543,2025-12-24 08:54:41.300713,0 days 00:00:00.309170,5.1781870899985846e-08,0.7186640859843306,166,7.073066707113435,0.6976400401898878,0.00419781819218191,10,360,848,0.8443159566970314,0.20394736842105263,0.5,0.2188018262386322,COMPLETE
3,0.4357142857137923,2025-12-24 08:54:41.300861,2025-12-24 08:54:41.992866,0 days 00:00:00.692005,28.10259649903127,0.5174378663835415,178,1.4459208453064876,0.007422311225379332,0.135381382127476,3,66,954,0.5358184506481973,0.40098780725696725,0.6965642495334577,0.28257670998573303,COMPLETE
4,0.4355108877717086,2025-12-24 08:54:41.993039,2025-12-24 08:54:42.620756,0 days 00:00:00.627717,0.00015143557975791266,0.48124550221898865,22,0.22564711199775433,1.451292049580581,0.013385962423543953,8,128,570,0.9112545770604302,0.41283179124615743,0.7004715409224207,0.26454201340675354,COMPLETE
5,0.47562776957117525,2025-12-24 08:54:42.620878,2025-12-24 08:54:42.874165,0 days 00:00:00.253287,2.1187511815055173e-05,0.7561130840787782,89,3.3595290090734165,2.9551719461564506e-06,0.09824156809813937,14,56,151,0.8294730987470949,0.43288709684618326,0.7399485137296721,0.20023763179779053,COMPLETE
6,0.46301369862968833,2025-12-24 08:54:42.874285,2025-12-24 08:54:43.223726,0 days 00:00:00.349441,1.930530576414997e-06,0.9764059312043976,158,4.508696532850491,0.1964448098895681,0.07887701846996212,8,122,331,0.8945045710436148,0.42191816004636695,0.7270686150359904,0.1945999413728714,COMPLETE
7,0.3387978142073688,2025-12-24 08:54:43.223844,2025-12-24 08:54:43.482277,0 days 00:00:00.258433,0.015181039100006139,0.9772957915812435,182,7.981823720671563,0.00014405306924235962,0.16774139422960468,8,392,1045,0.8846050053327179,0.20394736842105263,0.5,0.21883589029312134,COMPLETE
8,0.4271570014139717,2025-12-24 08:54:43.482397,2025-12-24 08:54:44.273670,0 days 00:00:00.791273,5.62297278029252,0.32948521853459156,131,4.210885101666956,0.10443298513116335,0.007752003005988336,5,132,761,0.7937023659400575,0.3949704741605513,0.6800394894694748,0.23279614746570587,COMPLETE
9,0.46129032258016517,2025-12-24 08:54:44.273803,2025-12-24 08:54:44.724274,0 days 00:00:00.450471,8.41124864838311e-08,0.5890792104031766,114,3.8673659717476596,0.03859643865697748,0.035959367653375915,15,9,1031,0.9215376659447985,0.43443678658064067,0.737199246867502,0.2231353223323822,COMPLETE
