number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.4329896907211604,2025-12-16 22:31:23.995762,2025-12-16 22:31:25.451938,0 days 00:00:01.456176,2.326641715275167e-06,0.4671869734025659,43,9.359144467975774,0.008254521619776418,0.05802307733123406,13,353,1037,0.9717445405860019,0.3962416241515225,0.712260063982938,0.2462441623210907,COMPLETE
1,0.41850220264277477,2025-12-16 22:31:25.452198,2025-12-16 22:31:26.530482,0 days 00:00:01.078284,5.739413038626162e-06,0.49314154741540744,93,4.3542030614185565,6.978564531021391e-06,0.005928577459942847,4,351,1185,0.8970406357798189,0.390515081258087,0.6899451812849907,0.17732630670070648,COMPLETE
2,0.4277588168369101,2025-12-16 22:31:26.530647,2025-12-16 22:31:27.567520,0 days 00:00:01.036873,7.380474181755493,0.6456851285771299,110,5.013952383068519,4.906176986714869e-07,0.008781352391794417,13,324,1129,0.8406608606812043,0.3940637922667458,0.6974223540389229,0.1775835156440735,COMPLETE
3,0.532423208190638,2025-12-16 22:31:27.567674,2025-12-16 22:31:27.874939,0 days 00:00:00.307265,9.52500914997848e-05,0.9869366620828282,162,2.4791429508920295,1.4356911724187817,0.2459760544695273,6,12,1454,0.9265367329260441,0.5482230888581174,0.7896061050386562,0.2017563134431839,COMPLETE
4,0.5479999999995,2025-12-16 22:31:27.875081,2025-12-16 22:31:28.486818,0 days 00:00:00.611737,0.015824969075815303,0.6828215971886521,53,6.114851214054307,0.0010905237384083773,0.038744453128565594,8,31,1290,0.510585679817897,0.5251839369092373,0.7876941149026927,0.30645912885665894,COMPLETE
5,0.3387978142073688,2025-12-16 22:31:28.486959,2025-12-16 22:31:28.645462,0 days 00:00:00.158503,3.2849825053000896e-07,0.9863549308521438,73,5.290299510026184,7.432641577398517e-08,0.05059704472707021,10,460,1299,0.6998677816038512,0.20394736842105263,0.5,0.21902750432491302,COMPLETE
6,0.44690265486676145,2025-12-16 22:31:28.645601,2025-12-16 22:31:29.471669,0 days 00:00:00.826068,0.06929669734270774,0.5689012918508584,81,9.854664001584796,4.4917678343476356e-08,0.003919176970633577,2,30,897,0.6792363536025317,0.45011034225031055,0.7099398493735003,0.27317747473716736,COMPLETE
7,0.5314685314680402,2025-12-16 22:31:29.471798,2025-12-16 22:31:29.897268,0 days 00:00:00.425470,0.09121212485341378,0.5946020242558282,46,3.7048646457840473,0.0028942485418791326,0.04113738394339422,5,3,761,0.9599784713218824,0.5320782220372564,0.7904475473207145,0.21473194658756256,COMPLETE
8,0.3387978142073688,2025-12-16 22:31:29.897390,2025-12-16 22:31:30.216325,0 days 00:00:00.318935,0.006288261830763985,0.5584903679779434,123,0.47019800148664803,0.005601465760051659,0.002632421199486754,4,357,1155,0.6284400530883136,0.20394736842105263,0.5,0.21886955201625824,COMPLETE
9,0.4018691588780305,2025-12-16 22:31:30.216451,2025-12-16 22:31:30.356449,0 days 00:00:00.139998,37.92262527240668,0.44638920393578735,24,9.841970680508117,25.8623563907583,0.07495159198387744,8,256,834,0.8155713002641178,0.3740610984723078,0.664593608371101,0.2261628955602646,COMPLETE
