number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.7314702308622054,2025-12-15 20:49:16.063822,2025-12-15 21:23:28.646371,0 days 00:34:12.582549,32,128,0.11283183685987569,5,1,5.744912040281409e-05,2.214426636211667e-06,0.9381793815583437,0.7283653846148939,0.6581921577453613,COMPLETE
1,0.7352587244279084,2025-12-15 21:23:28.646680,2025-12-15 21:52:19.744086,0 days 00:28:51.097406,16,512,0.2595671115547856,5,4,8.215349811441194e-05,3.81804865086597e-08,0.9356521525469627,0.7175234936424176,0.5130857229232788,COMPLETE
2,0.7349177330890871,2025-12-15 21:52:19.744339,2025-12-15 22:10:56.754518,0 days 00:18:37.010179,16,256,0.07444777639733136,7,1,0.0017874682757404474,0.0012298709790167122,0.9307400015254491,0.715208455665983,0.5639090538024902,COMPLETE
3,0.7305605786613534,2025-12-15 22:10:56.754766,2025-12-15 23:08:27.157094,0 days 00:57:30.402328,16,512,0.049136780633676436,3,1,3.1272958580605295e-05,0.0007591803137339942,0.9379897242059602,0.7279322853683113,0.7460494041442871,COMPLETE
4,0.7354758961676149,2025-12-15 23:08:27.157407,2025-12-15 23:37:18.326991,0 days 00:28:51.169584,16,256,0.10635850533500574,5,3,6.749820167390556e-05,0.00037102551288065123,0.937743246432215,0.7309334960336746,0.6808141469955444,COMPLETE
5,0.7253396337856898,2025-12-15 23:37:18.327230,2025-12-15 23:39:21.786217,0 days 00:02:03.458987,32,128,0.18802331444644155,7,4,6.331453676373431e-05,0.0030639620601730804,0.9358241494981118,0.7253396337856898,0.7905364036560059,PRUNED
6,0.7359813084107277,2025-12-15 23:39:21.786395,2025-12-16 00:03:39.889885,0 days 00:24:18.103490,32,128,0.13756653816776498,7,2,0.0013782156528225785,0.005324752023476819,0.931761745318586,0.7134894091411027,0.571809709072113,COMPLETE
7,0.723744292236959,2025-12-16 00:03:39.890130,2025-12-16 00:05:39.678600,0 days 00:01:59.788470,32,128,0.39492558433625663,3,2,0.0001698504753273945,0.0034060330871568544,0.9350271279119826,0.723744292236959,0.6343362331390381,PRUNED
8,0.726309593878264,2025-12-16 00:05:39.678776,2025-12-16 00:07:38.652485,0 days 00:01:58.973709,32,512,0.10160526220186122,7,3,2.4740716522224722e-05,3.957604000876082e-07,0.9358221019153602,0.726309593878264,0.7299237847328186,PRUNED
9,0.7179190751440229,2025-12-16 00:07:38.652655,2025-12-16 00:09:44.944354,0 days 00:02:06.291699,16,128,0.022814858124099946,3,3,2.0771344633782776e-05,0.008937122548171129,0.9326995382189001,0.7179190751440229,0.7144875526428223,PRUNED
10,0.7279069767436994,2025-12-16 00:09:44.944525,2025-12-16 00:15:47.653180,0 days 00:06:02.708655,64,128,0.31401582846670084,7,2,0.001783583374862248,3.728031174274669e-05,0.9377232825003853,0.7279069767436994,0.7344752550125122,PRUNED
11,0.7241379310339933,2025-12-16 00:15:47.653355,2025-12-16 00:17:48.705566,0 days 00:02:01.052211,64,256,0.18249301130075507,5,3,0.0005271060354729415,0.00010749057428590921,0.9371397214161287,0.7241379310339933,0.7727551460266113,PRUNED
12,0.7314984709475194,2025-12-16 00:17:48.705744,2025-12-16 00:23:48.428002,0 days 00:05:59.722258,32,256,0.17563344339896997,5,2,0.0005523047777410659,0.0002105301639260908,0.9384450554203867,0.7314984709475194,0.6782561540603638,PRUNED
13,0.7217125382258068,2025-12-16 00:23:48.428175,2025-12-16 00:25:50.539461,0 days 00:02:02.111286,16,256,0.4888656792067101,7,3,0.0003903773640852582,7.4651852902888475e-06,0.9343765084926055,0.7217125382258068,0.7342582941055298,PRUNED
14,0.7254672897191389,2025-12-16 00:25:50.539631,2025-12-16 00:27:50.769973,0 days 00:02:00.230342,64,256,0.13497680524929198,5,2,0.00020163917671865665,0.00039467684377680326,0.936357032909262,0.7254672897191389,0.693381130695343,PRUNED
15,0.6620562471180446,2025-12-16 00:27:50.770145,2025-12-16 00:29:52.525392,0 days 00:02:01.755247,16,128,0.003222500459790223,7,4,0.002393310206412515,3.441196414065105e-05,0.8649184063868202,0.6620562471180446,0.6580966711044312,PRUNED
16,0.7137073452858068,2025-12-16 00:29:52.525566,2025-12-16 00:31:51.651572,0 days 00:01:59.126006,32,256,0.25755064246645987,5,2,1.1525475395950562e-05,0.0061105890533330355,0.9311587321981877,0.7137073452858068,0.6925665140151978,PRUNED
17,0.7279193835205541,2025-12-16 00:31:51.651746,2025-12-16 00:33:54.763449,0 days 00:02:03.111703,16,256,0.3430567857563066,7,3,0.0010031019777659252,8.763548473106805e-05,0.9359633851252327,0.7279193835205541,0.6443223357200623,PRUNED
18,0.7220596840252586,2025-12-16 00:33:54.763628,2025-12-16 00:35:56.119931,0 days 00:02:01.356303,32,128,0.22082958645393552,5,2,0.00016001254205887935,0.0009257679244324179,0.9356122246833029,0.7220596840252586,0.6535753011703491,PRUNED
19,0.7210144927531317,2025-12-16 00:35:56.120107,2025-12-16 00:37:55.757286,0 days 00:01:59.637179,64,512,0.13411606524801112,3,3,0.00027905889518753364,9.52078607092287e-06,0.935851024021729,0.7210144927531317,0.7809188365936279,PRUNED
20,0.7266009852211816,2025-12-16 00:37:55.757459,2025-12-16 00:40:04.155089,0 days 00:02:08.397630,16,128,0.06714054572673929,7,4,0.0009388372939082469,9.075384257179828e-07,0.935832595776963,0.7266009852211816,0.8141735792160034,PRUNED
