number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.7117172969616882,2025-12-24 08:02:44.984725,2025-12-24 08:02:49.015230,0 days 00:00:04.030505,6.865195297909672,,0.47313421965913205,3990,0.0004692045842521931,0.7331761458491537,0.9302828786761149,0.40485066175460815,COMPLETE
1,0.7317365269456173,2025-12-24 08:02:49.015397,2025-12-24 08:02:49.819838,0 days 00:00:00.804441,0.051971076130893495,,0.22276641783643003,1419,0.00021684816226761922,0.7418676407427733,0.9351110788048056,0.38957127928733826,COMPLETE
2,0.722588376272727,2025-12-24 08:02:49.819990,2025-12-24 08:02:50.909917,0 days 00:00:01.089927,0.8194694122166456,,0.3642075778099001,2152,0.001027971683995044,0.7379844713720418,0.9327845129030986,0.3824564516544342,COMPLETE
3,0.7180428134551647,2025-12-24 08:02:50.910101,2025-12-24 08:02:51.954636,0 days 00:00:01.044535,2.500658024694476,,0.5626388291934702,2208,2.9422702887223967e-05,0.7343505416127184,0.9314382272438052,0.3968859910964966,COMPLETE
4,0.71385359951554,2025-12-24 08:02:51.954791,2025-12-24 08:02:52.875691,0 days 00:00:00.920900,101.19598608623257,balanced,0.10757017338350905,4421,0.0010031731511416717,0.7283463336877394,0.9299378609824406,0.7018905282020569,COMPLETE
5,0.7114093959726617,2025-12-24 08:02:52.875855,2025-12-24 08:02:54.803818,0 days 00:00:01.927963,10.239127060431196,,0.21810373620519963,3941,0.0008704449467803177,0.731440766540353,0.9301513214843131,0.39054837822914124,COMPLETE
6,0.7252747252742328,2025-12-24 08:02:54.804072,2025-12-24 08:02:55.452293,0 days 00:00:00.648221,0.04162692882920587,balanced,0.544599453696725,4495,2.48820226748526e-06,0.73796721108221,0.9343217356539953,0.7087382078170776,COMPLETE
7,0.7250900360139151,2025-12-24 08:02:55.452445,2025-12-24 08:02:55.747994,0 days 00:00:00.295549,101.84407361224683,,0.09590412713316432,602,1.7126603410890797e-06,0.7302634271577477,0.9313496692897908,0.3840966820716858,COMPLETE
8,0.7274895646983771,2025-12-24 08:02:55.748157,2025-12-24 08:02:55.955301,0 days 00:00:00.207144,1.8036846727225937,balanced,0.5874007687838808,1266,0.0024476627779317136,0.7357913785835526,0.932854642612347,0.6926781535148621,COMPLETE
9,0.7105590062106858,2025-12-24 08:02:55.955446,2025-12-24 08:02:58.212852,0 days 00:00:02.257406,6.044377982976281,,0.815425485847863,4328,2.068533103285247e-05,0.7345577275079826,0.9303975433102145,0.4069311022758484,COMPLETE
10,0.34608904933786055,2025-12-24 08:02:58.213039,2025-12-24 08:02:58.258331,0 days 00:00:00.045292,0.00013763130343663585,balanced,0.8750030947902032,3053,0.008164161742883636,0.20925494761350408,0.5,0.5000001192092896,COMPLETE
11,0.7147806004614081,2025-12-24 08:02:58.258449,2025-12-24 08:02:58.299397,0 days 00:00:00.040948,0.023528567345172766,balanced,0.709886438998064,788,0.009656496903113976,0.7310496639920353,0.9319132664422176,0.6750191450119019,COMPLETE
12,0.727053140096127,2025-12-24 08:02:58.299519,2025-12-24 08:02:59.061923,0 days 00:00:00.762404,0.051457723177451085,balanced,0.3075184754843379,1345,0.0001383805157881105,0.7398404608466796,0.9348141793057977,0.7049412727355957,COMPLETE
13,0.6943396226410348,2025-12-24 08:02:59.062075,2025-12-24 08:02:59.190668,0 days 00:00:00.128593,0.003355545361249538,balanced,0.9867548262489132,1470,0.00014774440686700355,0.6918079578352362,0.9178059331781607,0.6423670649528503,COMPLETE
14,0.7281494876426674,2025-12-24 08:02:59.190798,2025-12-24 08:02:59.327036,0 days 00:00:00.136238,0.21151989619030498,,0.6712804032109311,271,0.0029342832198119514,0.7398553265045957,0.9350163781025358,0.3919392228126526,COMPLETE
15,0.6980821917803445,2025-12-24 08:02:59.327169,2025-12-24 08:02:59.448318,0 days 00:00:00.121149,0.0017855536882401299,,0.6941638183310119,270,2.5797797490352073e-05,0.6957860481438815,0.9199671567726615,0.33692610263824463,COMPLETE
16,0.728043609932882,2025-12-24 08:02:59.448441,2025-12-24 08:02:59.641905,0 days 00:00:00.193464,0.1710237725110497,,0.4067341159838302,2989,0.003290902626466376,0.7376821108434559,0.934546457861003,0.3957439363002777,COMPLETE
17,0.7260606060601142,2025-12-24 08:02:59.642039,2025-12-24 08:02:59.760243,0 days 00:00:00.118204,788.5252929862672,,0.21512081970358923,222,0.0003383224677842853,0.7321190212639946,0.9322685220496507,0.3995148241519928,COMPLETE
18,0.7155742633789439,2025-12-24 08:02:59.760363,2025-12-24 08:03:00.105948,0 days 00:00:00.345585,0.003363821536710618,,0.02756095232257355,1881,9.349289378669984e-06,0.7313407143984416,0.9329713548291985,0.40126293897628784,COMPLETE
19,0.7317939609231344,2025-12-24 08:03:00.106109,2025-12-24 08:03:00.537169,0 days 00:00:00.431060,0.1983489994529693,,0.72676133782583,833,6.80222502972407e-05,0.7446479262445708,0.9353851989456996,0.381049782037735,COMPLETE
20,0.34608904933786055,2025-12-24 08:03:00.537320,2025-12-24 08:03:00.592986,0 days 00:00:00.055666,0.00022132169879106504,,0.829999611871033,937,6.524871955252307e-05,0.20925494761350408,0.5,0.2097763866186142,COMPLETE
21,0.7316784869971472,2025-12-24 08:03:00.593106,2025-12-24 08:03:01.083302,0 days 00:00:00.490196,0.18163480303442492,,0.7217033316654408,936,7.326438525234022e-05,0.743843039959619,0.9353834073107918,0.3780728578567505,COMPLETE
22,0.7109515260318257,2025-12-24 08:03:01.083451,2025-12-24 08:03:01.401572,0 days 00:00:00.318121,0.012684869561912896,,0.7538023525798391,1725,6.793380402824583e-05,0.7227047602321497,0.9288935937790339,0.38785839080810547,COMPLETE
23,0.7303634232117047,2025-12-24 08:03:01.401721,2025-12-24 08:03:01.944235,0 days 00:00:00.542514,0.20888083276782576,,0.9340298192856158,1025,6.939650722365768e-06,0.7444797710852495,0.935373681292721,0.37278762459754944,COMPLETE
24,0.7259786476863435,2025-12-24 08:03:01.944383,2025-12-24 08:03:03.197119,0 days 00:00:01.252736,0.6930827994082539,,0.6161675375057043,2598,0.00023293057301780905,0.7396806902030983,0.9333870141278091,0.37464281916618347,COMPLETE
25,0.7314148681050251,2025-12-24 08:03:03.197276,2025-12-24 08:03:04.110297,0 days 00:00:00.913021,0.09383868347004803,,0.47255032006929704,1660,4.568909058879455e-05,0.742996142735294,0.9353450151341961,0.3866007328033447,COMPLETE
26,0.7099463966641916,2025-12-24 08:03:04.110454,2025-12-24 08:03:04.433769,0 days 00:00:00.323315,0.011532494287986058,,0.768721862719186,4991,1.0832351202318132e-05,0.7195367615841995,0.928094012714465,0.3850610852241516,COMPLETE
27,0.6921420882664793,2025-12-24 08:03:04.433930,2025-12-24 08:03:04.513081,0 days 00:00:00.079151,0.0010089841368397445,,0.6372559215737286,704,0.00010638612982830397,0.6887181520893031,0.9172146936585851,0.3177330791950226,COMPLETE
28,0.7290930506473327,2025-12-24 08:03:04.513236,2025-12-24 08:03:05.097053,0 days 00:00:00.583817,0.48956046629108485,,0.26537707211648565,1110,0.0002257764860808488,0.7376050078290044,0.9334837624128306,0.37265458703041077,COMPLETE
29,0.723277909738228,2025-12-24 08:03:05.097324,2025-12-24 08:03:05.390382,0 days 00:00:00.293058,14.332094817918618,,0.45779905648285707,592,0.00043150046331042266,0.7316253599175184,0.9316107360906424,0.3730490505695343,COMPLETE
30,0.7089593767385294,2025-12-24 08:03:05.390534,2025-12-24 08:03:05.625688,0 days 00:00:00.235154,0.009294833270616257,,0.8920719056310548,2097,5.0613702709194156e-05,0.7131017448936251,0.9255329985876798,0.34892240166664124,COMPLETE
31,0.7317365269456173,2025-12-24 08:03:05.625846,2025-12-24 08:03:06.571821,0 days 00:00:00.945975,0.0884663117897657,,0.4744975151583874,1712,6.110635123485601e-05,0.7428110004781096,0.9353368248031889,0.3863544464111328,COMPLETE
32,0.7311827956984346,2025-12-24 08:03:06.571983,2025-12-24 08:03:07.341980,0 days 00:00:00.769997,0.08350959582667729,,0.36749555513907317,1373,1.4771464973709556e-05,0.7431755272319727,0.9352032200286355,0.38188159465789795,COMPLETE
33,0.7197149643700569,2025-12-24 08:03:07.342140,2025-12-24 08:03:08.482004,0 days 00:00:01.139864,1.15111475903315,,0.5176815867394549,2429,3.870268828737274e-05,0.7369140138735254,0.9324144123207149,0.3712731599807739,COMPLETE
