number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.7167561121044593,2025-12-16 22:26:50.869278,2025-12-16 22:26:53.490530,0 days 00:00:02.621252,405.892157505966,,0.8975610386031355,1193,1.3222560633970017e-05,0.7505039804367761,0.9345305890946765,0.3514631390571594,COMPLETE
1,0.723549488054124,2025-12-16 22:26:53.490702,2025-12-16 22:26:53.555344,0 days 00:00:00.064642,2.6069128610416987,balanced,0.840018191099294,2934,0.007719524077068146,0.7322763048405074,0.9348039413920389,0.6451396942138672,COMPLETE
2,0.7102914931583444,2025-12-16 22:26:53.555482,2025-12-16 22:26:54.285391,0 days 00:00:00.729909,0.016819035507112726,,0.16741669147974936,2452,2.8595416535696576e-05,0.7359365097324804,0.9320402165728275,0.41640472412109375,COMPLETE
3,0.5807787903889768,2025-12-16 22:26:54.285551,2025-12-16 22:26:54.384735,0 days 00:00:00.099184,0.0007146513319684827,,0.19375249194547706,222,0.000906227107765948,0.3800359495969093,0.8062643746707872,0.27511242032051086,COMPLETE
4,0.6742237555441456,2025-12-16 22:26:54.384883,2025-12-16 22:26:54.734231,0 days 00:00:00.349348,0.003915599129897121,,0.247028028272122,3525,2.3835397856760173e-06,0.6821662511523487,0.9130299464096404,0.368662029504776,COMPLETE
5,0.7238572323100873,2025-12-16 22:26:54.734387,2025-12-16 22:26:56.463811,0 days 00:00:01.729424,4.221554365019882,balanced,0.6464380257627986,3087,0.0003464256335971723,0.7551926675348781,0.9366063261092907,0.715351402759552,COMPLETE
6,0.729618768327958,2025-12-16 22:26:56.463968,2025-12-16 22:26:57.123292,0 days 00:00:00.659324,0.27301089026292946,,0.11285330557689666,4029,0.0007572222150624097,0.7475477027576838,0.9369523675943411,0.36438804864883423,COMPLETE
7,0.7242026266411561,2025-12-16 22:26:57.123445,2025-12-16 22:26:58.078185,0 days 00:00:00.954740,5.241814050309353,,0.6198421256427026,1798,3.2599425104578647e-06,0.7561163125311485,0.9364942209536309,0.4100261926651001,COMPLETE
8,0.7105882352936295,2025-12-16 22:26:58.078338,2025-12-16 22:26:59.559522,0 days 00:00:01.481184,287.3186578055379,,0.9963094243149625,3043,0.0003058323245329742,0.7433063598328179,0.9329083916595811,0.3254982829093933,COMPLETE
9,0.7233782129738033,2025-12-16 22:26:59.559685,2025-12-16 22:27:00.510475,0 days 00:00:00.950790,5.918189626011631,,0.2754823460666781,1821,2.9899964864935156e-06,0.7568448404336723,0.9368530598308799,0.39096084237098694,COMPLETE
