number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.7298461538456604,2025-12-26 07:54:44.455909,2025-12-26 09:54:45.175650,0 days 02:00:00.719741,64,0.41633588633458846,1024,0.0008184065548608377,1.3866743866257381e-05,0.9360744664895166,0.7278177458028666,0.6150290966033936,COMPLETE
1,0.729811778991615,2025-12-26 09:54:45.176087,2025-12-26 11:28:03.829067,0 days 01:33:18.652980,32,0.42579276320603576,512,0.0014099883121337223,6.563073121093982e-08,0.9358341314640267,0.7261146496810427,0.7885647416114807,COMPLETE
2,0.7265209686941363,2025-12-26 11:28:03.829427,2025-12-26 14:28:46.457254,0 days 03:00:42.627827,32,0.4854236527074264,1024,0.0003194011862163211,9.622698030647746e-08,0.9336373311192139,0.719200887901851,0.6624826192855835,COMPLETE
3,0.7296969696964779,2025-12-26 14:28:46.457621,2025-12-26 16:45:31.557808,0 days 02:16:45.100187,32,0.1533953029419574,256,6.638391913570618e-05,0.006016915990708152,0.9344747924646908,0.7271627344217709,0.7258864641189575,COMPLETE
4,0.7281553398053333,2025-12-26 16:45:31.558197,2025-12-26 20:32:43.029609,0 days 03:47:11.471412,16,0.10375433782037091,512,1.9340674294783022e-05,3.928294556287064e-07,0.9339562421328029,0.7263980757661959,0.691081702709198,COMPLETE
5,0.7276190476185513,2025-12-26 20:32:43.030002,2025-12-26 22:50:09.287029,0 days 02:17:26.257027,32,0.109506894628499,256,0.0002932217190928982,0.002470207180705418,0.93267957428707,0.7171129220018415,0.7103824019432068,COMPLETE
6,0.7293092719347886,2025-12-26 22:50:09.287365,2025-12-27 00:21:57.798438,0 days 01:31:48.511073,32,0.3971275426323709,256,0.00027826582219011225,0.002081134008193515,0.9318456962114088,0.7157513578751876,0.7088394165039062,COMPLETE
7,0.7309334960336746,2025-12-27 00:21:57.798672,2025-12-27 01:19:28.367789,0 days 00:57:30.569117,16,0.2968021063367276,1024,0.0025187608651027755,6.300480100602664e-07,0.9348008700179112,0.7229064039403933,0.7549123167991638,COMPLETE
8,0.7321991178318925,2025-12-27 01:19:28.368035,2025-12-27 02:55:20.774935,0 days 01:35:52.406900,64,0.3326783784857718,256,0.0009594020954059963,0.0032269325368303515,0.9350086996672166,0.7210300429179619,0.7086992263793945,COMPLETE
9,0.7123919308352494,2025-12-27 02:55:20.775200,2025-12-27 03:01:38.310345,0 days 00:06:17.535145,32,0.3861276337937374,512,0.0001186220045895165,2.8876119942804833e-06,0.9318119110960046,0.7123919308352494,0.6976494789123535,PRUNED
10,0.7284027346172806,2025-12-27 03:01:38.310536,2025-12-27 04:49:39.355192,0 days 01:48:01.044656,64,0.24381837659301173,2048,0.0007167999374587561,3.5202071270141216e-05,0.9321758689301329,0.7133757961778578,0.800265371799469,COMPLETE
11,0.7333333333328378,2025-12-27 04:49:39.355447,2025-12-27 06:44:26.382048,0 days 01:54:47.026601,16,0.2835159069937528,1024,0.0024839553405099526,0.00018765939863473686,0.936373925466964,0.7236765561368024,0.6909868121147156,COMPLETE
12,0.7159437996329834,2025-12-27 06:44:26.382293,2025-12-27 06:50:48.387543,0 days 00:06:22.005250,64,0.2596253562604433,2048,0.002007824084950937,0.00018206037850895717,0.9340767935673141,0.7159437996329834,0.7466446757316589,PRUNED
13,0.7153451226464071,2025-12-27 06:50:48.387720,2025-12-27 06:57:09.546803,0 days 00:06:21.159083,16,0.30195943544253157,256,0.0008028192567577499,0.00021577161493736274,0.9342306182215413,0.7153451226464071,0.658650279045105,PRUNED
14,0.7134312126150757,2025-12-27 06:57:09.546982,2025-12-27 07:03:29.328732,0 days 00:06:19.781750,64,0.19829166434414222,1024,0.0024101830370066458,0.0003441986587506157,0.9328382619503326,0.7134312126150757,0.6570268273353577,PRUNED
15,0.7144638403985079,2025-12-27 07:03:29.328913,2025-12-27 07:09:51.978539,0 days 00:06:22.649626,16,0.33942064486700363,256,0.0010204617675797186,0.0006597738233546536,0.9328945704760067,0.7144638403985079,0.7012733817100525,PRUNED
16,0.7142857142852237,2025-12-27 07:09:51.978726,2025-12-27 07:16:15.100205,0 days 00:06:23.121479,16,0.008900409078029331,1024,0.0005447763957290758,4.0843685050612044e-05,0.9340693710798388,0.7142857142852237,0.7739047408103943,PRUNED
17,0.7084708470842302,2025-12-27 07:16:15.100390,2025-12-27 07:22:37.262813,0 days 00:06:22.162423,64,0.33708050794424527,2048,5.089510818145339e-05,0.009279862146273443,0.9290686621043109,0.7084708470842302,0.6126699447631836,PRUNED
18,0.6968421052626874,2025-12-27 07:22:37.263008,2025-12-27 07:28:58.087143,0 days 00:06:20.824135,16,0.19986237911391794,256,1.2172597637754194e-05,1.3755621991901612e-08,0.9214516542676999,0.6968421052626874,0.6247046589851379,PRUNED
19,0.7145260796405731,2025-12-27 07:28:58.087319,2025-12-27 07:35:22.473156,0 days 00:06:24.385837,64,0.46133382317023275,1024,0.0029411099964454335,0.0011260968045469855,0.9323650143868283,0.7145260796405731,0.549894392490387,PRUNED
