number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.5333333333328422,2025-12-16 22:27:42.690816,2025-12-16 22:27:45.664612,0 days 00:00:02.973796,0.018081003454736927,balanced,0.0005445800999864012,rbf,1860,0.0026083017391239074,0.39813450804440625,0.9381302627877888,0.585502564907074,COMPLETE
1,0.5333333333328422,2025-12-16 22:27:45.664793,2025-12-16 22:27:45.888761,0 days 00:00:00.223968,0.012421976320907495,,8.543509616765697e-06,rbf,339,0.0003754084455553728,0.37882138704532303,0.9417899014321366,0.6460171937942505,COMPLETE
2,0.5333333333328422,2025-12-16 22:27:45.888926,2025-12-16 22:27:46.123852,0 days 00:00:00.234926,0.012310856395184576,,0.0016121562323093833,sigmoid,4208,0.00020468154490672213,0.3851092614291027,0.9528885111883801,0.6001086235046387,COMPLETE
3,0.7647058823524412,2025-12-16 22:27:46.124013,2025-12-16 22:27:46.378698,0 days 00:00:00.254685,0.10533378693501504,balanced,0.01623368732589055,rbf,4638,2.4238641493719317e-05,0.8519178487583097,0.9992638829873184,0.5704683661460876,COMPLETE
4,0.01376936316689672,2025-12-16 22:27:46.378857,2025-12-16 22:28:32.238996,0 days 00:00:45.860139,323.17177968007553,,,linear,364,1.2869843166066744e-06,0.002992158769604124,0.5217723064401262,0.6325171589851379,COMPLETE
5,0.6923076923072397,2025-12-16 22:28:32.239352,2025-12-16 22:28:32.525965,0 days 00:00:00.286613,87.27585158597479,balanced,2.618640623183715e-06,sigmoid,1803,0.00015276444479625368,0.7537723926780016,0.9989048015177177,0.6280896067619324,COMPLETE
6,0.5333333333328422,2025-12-16 22:28:32.526126,2025-12-16 22:28:32.787107,0 days 00:00:00.260981,0.05789081457540216,balanced,1.6759029180151734e-05,sigmoid,3254,1.4561821497405506e-06,0.34924291725551765,0.9200594878301305,0.4966432750225067,COMPLETE
7,0.0034472270100340723,2025-12-16 22:28:32.787249,2025-12-16 22:28:32.999700,0 days 00:00:00.212451,1.0019976710873646,,0.7806238149955008,sigmoid,1759,1.6073564628223577e-05,0.0017265894779605931,0.5,0.4885488748550415,COMPLETE
8,0.5925925925921262,2025-12-16 22:28:32.999835,2025-12-16 22:28:33.223756,0 days 00:00:00.223921,650.079031523403,,3.1420993890855264e-05,poly,473,1.900515488060339e-05,0.6024522534288694,0.908482102781086,0.6300520896911621,COMPLETE
9,0.2727272727269215,2025-12-16 22:28:33.223908,2025-12-16 22:31:15.928973,0 days 00:02:42.705065,82.85431400873544,balanced,0.0016569964030230054,sigmoid,2274,2.013323865377958e-05,0.10779311500632682,0.8503049200146027,0.7746476531028748,COMPLETE
10,0.7428571428566431,2025-12-16 22:31:15.929356,2025-12-16 22:31:16.337429,0 days 00:00:00.408073,1.0462245274560633,balanced,0.38129622556061854,rbf,4464,0.008217118787278068,0.5279855234272299,0.86803755992172,0.48131898045539856,COMPLETE
11,0.7272727272722276,2025-12-16 22:31:16.337592,2025-12-16 22:31:16.731615,0 days 00:00:00.394023,0.9988471342041048,balanced,0.4357935734577927,rbf,4948,0.007935252191476247,0.5259982418341739,0.8611431957053856,0.49878403544425964,COMPLETE
12,0.8333333333328348,2025-12-16 22:31:16.731764,2025-12-16 22:31:17.052519,0 days 00:00:00.320755,0.5973381809175706,balanced,0.0617412343637264,rbf,3845,0.0012528533921360946,0.8526393181043919,0.9914777997881419,0.6202147603034973,COMPLETE
13,0.7999999999995111,2025-12-16 22:31:17.052664,2025-12-16 22:31:17.435483,0 days 00:00:00.382819,0.229219673961853,balanced,0.030199153239351385,rbf,3365,0.000913554671346437,0.8542070762936623,0.9977377867415153,0.4926297664642334,COMPLETE
14,0.006476683937816521,2025-12-16 22:31:17.435633,2025-12-16 22:31:52.944591,0 days 00:00:35.508958,9.033748704353238,balanced,0.030179794367087426,poly,3443,0.0006433478846848379,0.00221174443681516,0.6212588199385971,0.49599790573120117,COMPLETE
15,0.8484848484843489,2025-12-16 22:31:52.944807,2025-12-16 22:31:53.247917,0 days 00:00:00.303110,0.002377216681743037,balanced,,linear,3430,0.0016540147923873028,0.8846818867407104,0.9994314543397989,0.5770044922828674,COMPLETE
16,0.8124999999995018,2025-12-16 22:31:53.248104,2025-12-16 22:31:53.538993,0 days 00:00:00.290889,0.0010448939833641406,balanced,,linear,3845,0.001603295601168702,0.8577905044656964,0.9993416839723986,0.5824899077415466,COMPLETE
17,0.799999999999509,2025-12-16 22:31:53.539148,2025-12-16 22:31:53.896340,0 days 00:00:00.357192,0.0010261216617782375,balanced,,linear,2677,0.0029780599187043764,0.8562317584376408,0.9993416839723985,0.5916880965232849,COMPLETE
18,0.1652892561981056,2025-12-16 22:31:53.896473,2025-12-16 22:32:55.281363,0 days 00:01:01.384890,8.60578312932715,balanced,,linear,2833,6.436774657268639e-05,0.08087308347589256,0.9853764071505089,0.7165625095367432,COMPLETE
19,0.49122807017502,2025-12-16 22:32:55.281737,2025-12-16 22:33:06.051454,0 days 00:00:10.769717,5.178014809453235,balanced,,linear,3916,0.003979830537685558,0.33622256312925347,0.9978814193293556,0.6609089374542236,COMPLETE
20,0.0034472270100340723,2025-12-16 22:33:06.051626,2025-12-16 22:33:06.326704,0 days 00:00:00.275078,0.003573594525422784,balanced,0.0002493078500871699,poly,1021,0.0008616362931418687,0.0017265894779605931,0.4553871197476854,0.5002177953720093,COMPLETE
21,0.8124999999995018,2025-12-16 22:33:06.326836,2025-12-16 22:33:06.596781,0 days 00:00:00.269945,0.0011662704474568652,balanced,,linear,3864,0.001330701772599136,0.8588456886251002,0.9993177452077585,0.5833606123924255,COMPLETE
22,0.8235294117642058,2025-12-16 22:33:06.596919,2025-12-16 22:33:06.876796,0 days 00:00:00.279877,0.001955552189111865,balanced,,linear,3739,0.0017475679980347922,0.8756956633053297,0.9993895615016787,0.5723209977149963,COMPLETE
23,0.8235294117642058,2025-12-16 22:33:06.876928,2025-12-16 22:33:07.225098,0 days 00:00:00.348170,0.005940847782157736,balanced,,linear,3082,0.0004271478087597843,0.8861980972174794,0.999491301251399,0.5838280320167542,COMPLETE
24,0.8571428571423575,2025-12-16 22:33:07.225235,2025-12-16 22:33:07.792616,0 days 00:00:00.567381,0.10906466430170589,balanced,,linear,3651,0.004269674049824942,0.9026208819269691,0.9997486429712794,0.6048973798751831,COMPLETE
25,0.7647058823524412,2025-12-16 22:33:07.792770,2025-12-16 22:33:08.538478,0 days 00:00:00.745708,0.2802568060863335,balanced,,linear,2350,0.0046887723030081385,0.6650571710584686,0.9993356992812386,0.6920307874679565,COMPLETE
26,0.8235294117642058,2025-12-16 22:33:08.538624,2025-12-16 22:33:08.861413,0 days 00:00:00.322789,0.05482325142435685,,,linear,4155,0.009659083518926543,0.8871511292979626,0.9996648572950393,0.5933845043182373,COMPLETE
27,0.0034503754820343065,2025-12-16 22:33:08.861551,2025-12-16 22:33:09.483485,0 days 00:00:00.621934,2.547060949570087,balanced,5.764362768305125,rbf,3526,8.122826493913754e-05,0.0017281691572633934,0.5004578288737409,0.49961036443710327,COMPLETE
28,0.0076965365585393505,2025-12-16 22:33:09.483626,2025-12-16 22:33:51.368092,0 days 00:00:41.884466,0.30909614346300346,balanced,3.7353535694500435,poly,2970,0.0002684646858311688,0.0027484170093559058,0.6927758793007486,0.5218251347541809,COMPLETE
29,0.799999999999509,2025-12-16 22:33:51.368459,2025-12-16 22:33:51.635663,0 days 00:00:00.267204,0.034318218164818684,balanced,0.009560274811705929,rbf,4339,0.002536309633738582,0.7950789012695662,0.9989466943558378,0.581166684627533,COMPLETE
30,0.45714285714235753,2025-12-16 22:33:51.635818,2025-12-16 22:37:31.598950,0 days 00:03:39.963132,32.220093430464175,balanced,,linear,4931,0.0005502860318106393,0.3085611662815057,0.9941230332808676,0.7441287040710449,COMPLETE
31,0.8235294117642058,2025-12-16 22:37:31.599342,2025-12-16 22:37:31.897729,0 days 00:00:00.298387,0.004403532208840467,balanced,,linear,3621,0.0020410375350701777,0.8803562387349559,0.9994673624867589,0.580353856086731,COMPLETE
32,0.8421052631574001,2025-12-16 22:37:31.897885,2025-12-16 22:37:32.205481,0 days 00:00:00.307596,0.015429413712766736,balanced,,linear,3858,0.0038038624907132134,0.8976154703367416,0.9996528879127192,0.5273752808570862,COMPLETE
33,0.8421052631574001,2025-12-16 22:37:32.205635,2025-12-16 22:37:32.504701,0 days 00:00:00.299066,0.017763798205772726,balanced,,linear,3139,0.00462732567574149,0.890419596035604,0.9996469032215592,0.5262280106544495,COMPLETE
34,0.8421052631574001,2025-12-16 22:37:32.504863,2025-12-16 22:37:32.772046,0 days 00:00:00.267183,0.01368276463407235,,,linear,2427,0.00495679509403914,0.8936226451364859,0.9996109950745992,0.5148096084594727,COMPLETE
35,0.8421052631574001,2025-12-16 22:37:32.772193,2025-12-16 22:37:33.102038,0 days 00:00:00.329845,0.0250839753942347,balanced,,linear,4094,0.0052238844639890415,0.8907442713602793,0.9996528879127193,0.5298810005187988,COMPLETE
36,0.8333333333328348,2025-12-16 22:37:33.102186,2025-12-16 22:37:33.369687,0 days 00:00:00.267501,0.010588061304409745,,,linear,3176,0.0029744636906126123,0.8906671532524707,0.9995691022364791,0.5339398384094238,COMPLETE
37,0.8387096774188595,2025-12-16 22:37:33.369829,2025-12-16 22:37:33.870876,0 days 00:00:00.501047,0.14757977017053292,balanced,,linear,2843,0.006377984063400406,0.8888321880437944,0.9997187195154794,0.6824573874473572,COMPLETE
38,0.8333333333328348,2025-12-16 22:37:33.870989,2025-12-16 22:37:34.184894,0 days 00:00:00.313905,0.008073570133614132,balanced,,linear,1998,2.689864429414602e-06,0.8947334194670746,0.999527209398359,0.5451863408088684,COMPLETE
39,0.8571428571423575,2025-12-16 22:37:34.185030,2025-12-16 22:37:34.577641,0 days 00:00:00.392611,0.08080732355685172,,,linear,3290,0.002999903358586251,0.8997050279459551,0.9997366735889595,0.5886085629463196,COMPLETE
40,0.5333333333328422,2025-12-16 22:37:34.577761,2025-12-16 22:37:34.799863,0 days 00:00:00.222102,0.06220415542891875,,1.2871134456979065e-06,sigmoid,4478,0.00013365975400939794,0.37803941186884643,0.9419125876009169,0.645818293094635,COMPLETE
41,0.8333333333328348,2025-12-16 22:37:34.800022,2025-12-16 22:37:35.075348,0 days 00:00:00.275326,0.020755097683061188,,,linear,3272,0.003327009523446521,0.8893771648028614,0.9996469032215592,0.552660346031189,COMPLETE
42,0.8571428571423575,2025-12-16 22:37:35.075461,2025-12-16 22:37:35.556122,0 days 00:00:00.480661,0.1121969752442979,,,linear,3553,0.0022297569863837336,0.9026208819269691,0.9997486429712794,0.5986553430557251,COMPLETE
43,0.8571428571423575,2025-12-16 22:37:35.556235,2025-12-16 22:37:36.032033,0 days 00:00:00.475798,0.09965147610337746,,,linear,3504,0.0009819570132781799,0.9008394578949057,0.9997486429712794,0.5955790281295776,COMPLETE
44,0.8571428571423575,2025-12-16 22:37:36.032147,2025-12-16 22:37:36.554284,0 days 00:00:00.522137,0.09823592529097812,,,linear,3505,0.0003036509052540702,0.9012165318013914,0.9997486429712794,0.5951175093650818,COMPLETE
45,0.5333333333328422,2025-12-16 22:37:36.554394,2025-12-16 22:37:36.779965,0 days 00:00:00.225571,0.09936858902105487,,0.00012621403777779604,sigmoid,4087,0.00027721422014867324,0.37877301156199444,0.9431214952152394,0.6460700035095215,COMPLETE
46,0.8387096774188595,2025-12-16 22:37:36.780077,2025-12-16 22:37:37.616784,0 days 00:00:00.836707,0.1478235339826697,,,linear,3625,4.570400624434344e-05,0.8939816289661492,0.9997127348243194,0.670066773891449,COMPLETE
47,0.003962703962700008,2025-12-16 22:37:37.616909,2025-12-16 22:37:37.894973,0 days 00:00:00.278064,0.7585258285213101,,7.237580669000669e-05,poly,2577,0.0006273625321437931,0.001985285530771926,0.5652660494455184,0.48851707577705383,COMPLETE
48,0.7428571428566431,2025-12-16 22:37:37.895095,2025-12-16 22:37:39.310948,0 days 00:00:01.415853,0.45301093398308584,,,linear,4748,0.0009252677461371322,0.6275035422094245,0.9993716074281986,0.6873871684074402,COMPLETE
49,0.810810810810314,2025-12-16 22:37:39.311082,2025-12-16 22:37:39.660631,0 days 00:00:00.349549,0.040074745083637335,,,linear,3358,0.0003581196746396989,0.8903919148484366,0.9996618649494593,0.5726687908172607,COMPLETE
50,0.0034472270100340723,2025-12-16 22:37:39.660752,2025-12-16 22:37:39.874967,0 days 00:00:00.214215,0.09603860195636263,,0.17320603422843456,sigmoid,2987,0.0010357372968695462,0.0017265894779605931,0.5,0.48854926228523254,COMPLETE
51,0.6122448979587305,2025-12-16 22:37:39.875091,2025-12-16 22:37:44.560952,0 days 00:00:04.685861,1.842562851765971,,,linear,3515,0.0019089540215501822,0.4082158597909372,0.9985636741215969,0.627962589263916,COMPLETE
52,0.8124999999995018,2025-12-16 22:37:44.561101,2025-12-16 22:37:45.162342,0 days 00:00:00.601241,0.17244420735973284,,,linear,3415,0.0019833128126425454,0.8590515401351315,0.9996289491480792,0.6730782389640808,COMPLETE
53,0.8571428571423575,2025-12-16 22:37:45.162489,2025-12-16 22:37:45.621624,0 days 00:00:00.459135,0.07437666839745541,,,linear,2821,0.0001721022889277699,0.8977258097371476,0.9997127348243193,0.5857784152030945,COMPLETE
54,0.7647058823524412,2025-12-16 22:37:45.621748,2025-12-16 22:37:47.673210,0 days 00:00:02.051462,0.41300265868845715,,,linear,2775,3.519253256400419e-05,0.6630092968165626,0.9993955461928388,0.6845025420188904,COMPLETE
55,0.8333333333328348,2025-12-16 22:37:47.673420,2025-12-16 22:37:48.188813,0 days 00:00:00.515393,0.06939565136210775,,,linear,3693,0.00019875163420063704,0.890824093498925,0.9996947807508394,0.5828242897987366,COMPLETE
56,0.8205128205123287,2025-12-16 22:37:48.188955,2025-12-16 22:37:48.523437,0 days 00:00:00.334482,0.032536385124132886,,,linear,3229,0.0001269811010794932,0.8884812083341496,0.9996648572950393,0.5284003019332886,COMPLETE
57,0.7894736842100317,2025-12-16 22:37:48.523581,2025-12-16 22:37:49.397560,0 days 00:00:00.873979,0.2227233823322193,,,linear,2155,0.00041334426704896416,0.7963195825502327,0.9995451634718391,0.6061363220214844,COMPLETE
58,0.0077632217370126495,2025-12-16 22:37:49.397690,2025-12-16 22:38:22.568989,0 days 00:00:33.171299,0.08154732841864912,,1.5969570882714357,poly,1333,0.0013704804905634684,0.0027488124681857963,0.692880611396049,0.4709363281726837,COMPLETE
59,0.8333333333328348,2025-12-16 22:38:22.569149,2025-12-16 22:38:22.941643,0 days 00:00:00.372494,0.050063508667278246,,,linear,2587,0.0006806887871147441,0.8966694015516199,0.9996828113685192,0.5777208805084229,COMPLETE
60,0.8235294117642058,2025-12-16 22:38:22.941792,2025-12-16 22:38:23.233790,0 days 00:00:00.291998,1.7744601162515992,,0.004645141985829514,rbf,3003,1.3196472202699924e-05,0.8627616229395318,0.9994194849574788,0.6183417439460754,COMPLETE
61,0.8235294117642058,2025-12-16 22:38:23.233953,2025-12-16 22:38:23.481563,0 days 00:00:00.247610,0.0030236172527788804,,,linear,3970,0.006639046238786858,0.8759531414375705,0.9993985385384186,0.5681772828102112,COMPLETE
62,0.8571428571423575,2025-12-16 22:38:23.481718,2025-12-16 22:38:24.140412,0 days 00:00:00.658694,0.11601103225047266,,,linear,3452,0.00018371680152254837,0.9026208819269691,0.9997486429712795,0.6016632318496704,COMPLETE
63,0.8571428571423575,2025-12-16 22:38:24.140574,2025-12-16 22:38:24.789279,0 days 00:00:00.648705,0.11763486874371616,,,linear,3672,0.00019231358807420159,0.9026208819269691,0.9997486429712795,0.6010211110115051,COMPLETE
64,0.7894736842100317,2025-12-16 22:38:24.789443,2025-12-16 22:38:26.008274,0 days 00:00:01.218831,0.26390077026319386,,,linear,4291,9.240827128410335e-05,0.7965213474667256,0.999557132854159,0.6136560440063477,COMPLETE
65,0.7179487179482261,2025-12-16 22:38:26.008445,2025-12-16 22:38:28.063126,0 days 00:00:02.054681,0.5287825347369725,,,linear,3315,0.00025794750818629845,0.5826003293131321,0.9992519136049984,0.660333514213562,COMPLETE
66,0.8124999999995018,2025-12-16 22:38:28.063292,2025-12-16 22:38:28.947244,0 days 00:00:00.883952,0.16027807250422438,,,linear,3528,6.553249624685553e-05,0.8663921698850228,0.9996588726038792,0.6714803576469421,COMPLETE
67,0.8205128205123287,2025-12-16 22:38:28.947417,2025-12-16 22:38:29.260414,0 days 00:00:00.312997,0.028046265423811778,,,linear,2886,0.0023327439195577225,0.8881041344276638,0.9996588726038793,0.5236812233924866,COMPLETE
68,0.0034472270100340723,2025-12-16 22:38:29.260581,2025-12-16 22:38:29.479676,0 days 00:00:00.219095,0.0462549571868277,,0.11354247767589212,sigmoid,3795,0.00012543462401263202,0.0017265894779605931,0.5,0.48854926228523254,COMPLETE
69,0.8571428571423575,2025-12-16 22:38:29.479830,2025-12-16 22:38:29.920926,0 days 00:00:00.441096,0.08410219146095861,,,linear,3974,0.0013141938423543071,0.8997050279459551,0.9997366735889595,0.5893007516860962,COMPLETE
70,0.0034472270100340723,2025-12-16 22:38:29.921089,2025-12-16 22:38:30.146883,0 days 00:00:00.225794,0.3054596376549685,,4.798533182550679e-06,poly,3515,0.0004803257546234943,0.0017265894779605931,0.5,0.48854535818099976,COMPLETE
71,0.8571428571423575,2025-12-16 22:38:30.147038,2025-12-16 22:38:30.784650,0 days 00:00:00.637612,0.12337444811414734,,,linear,3110,0.00018174025615893608,0.9026208819269691,0.9997486429712794,0.6053978800773621,COMPLETE
72,0.810810810810314,2025-12-16 22:38:30.784800,2025-12-16 22:38:31.642936,0 days 00:00:00.858136,0.18870278571119645,,,linear,3751,0.00017590572926297064,0.8117625007123518,0.999551148162999,0.6105341911315918,COMPLETE
73,0.8571428571423575,2025-12-16 22:38:31.643101,2025-12-16 22:38:32.230853,0 days 00:00:00.587752,0.11117584277640565,,,linear,3344,0.0003141318677580931,0.9026208819269691,0.9997486429712795,0.5999799966812134,COMPLETE
74,0.7647058823524412,2025-12-16 22:38:32.231009,2025-12-16 22:38:33.449971,0 days 00:00:01.218962,0.3608370417637164,,,linear,3629,0.0007291888480290966,0.679904541824957,0.9994164926118988,0.6909651160240173,COMPLETE
75,0.7499999999995021,2025-12-16 22:38:33.450130,2025-12-16 22:38:33.690186,0 days 00:00:00.240056,0.8085758830579761,,0.00036925195599531093,rbf,2731,0.00023923763632796783,0.812002017702398,0.9992459289138383,0.5676936507225037,COMPLETE
76,0.8571428571423575,2025-12-16 22:38:33.690341,2025-12-16 22:38:34.278821,0 days 00:00:00.588480,0.07234632660354572,,,linear,4012,0.00015234811487710236,0.8938473352704377,0.9997097424787393,0.5833829641342163,COMPLETE
77,0.8205128205123287,2025-12-16 22:38:34.278986,2025-12-16 22:38:34.573431,0 days 00:00:00.294445,0.02656649134371852,,,linear,3179,0.0028346043690713795,0.8881041344276639,0.9996588726038793,0.5229625105857849,COMPLETE
78,0.8235294117642058,2025-12-16 22:38:34.573599,2025-12-16 22:38:34.864269,0 days 00:00:00.290670,0.009341570055821175,,,linear,3611,7.960710425222809e-05,0.8879369252473872,0.9995511481629991,0.5741240978240967,COMPLETE
79,0.8205128205123287,2025-12-16 22:38:34.864434,2025-12-16 22:38:35.202336,0 days 00:00:00.337902,0.03822926584049014,,,linear,4196,0.0011086992021893355,0.8922519473990063,0.9996648572950393,0.5256341695785522,COMPLETE
80,0.810810810810314,2025-12-16 22:38:35.202495,2025-12-16 22:38:36.186193,0 days 00:00:00.983698,0.20956320842413229,,,linear,625,0.0001110290068880347,0.7980433489798815,0.9995481558174191,0.6080463528633118,COMPLETE
81,0.8571428571423575,2025-12-16 22:38:36.186370,2025-12-16 22:38:36.709716,0 days 00:00:00.523346,0.10292558183731175,,,linear,3875,0.0013172779078270804,0.9012165318013914,0.9997486429712795,0.5966327786445618,COMPLETE
82,0.8333333333328348,2025-12-16 22:38:36.709879,2025-12-16 22:38:37.100921,0 days 00:00:00.391042,0.06433749228789912,,,linear,3976,0.0015876298793426622,0.8862511104595554,0.9996828113685194,0.5824254751205444,COMPLETE
83,0.8571428571423575,2025-12-16 22:38:37.101082,2025-12-16 22:38:37.636650,0 days 00:00:00.535568,0.13180240321411346,,,linear,3452,0.004040819115883481,0.9009158520889469,0.9997426582801194,0.6082546710968018,COMPLETE
84,0.8333333333328348,2025-12-16 22:38:37.636810,2025-12-16 22:38:38.006940,0 days 00:00:00.370130,0.019398046769197635,,,linear,3778,0.0005356413983887034,0.8890524894781862,0.9996409185303993,0.5501007437705994,COMPLETE
85,0.8333333333328348,2025-12-16 22:38:38.007095,2025-12-16 22:38:38.354712,0 days 00:00:00.347617,0.04633318126696205,,,linear,3045,0.0024448701035070085,0.8927138962725852,0.9996648572950393,0.5768113732337952,COMPLETE
86,0.005730659025771861,2025-12-16 22:38:38.354869,2025-12-16 22:45:25.785745,0 days 00:06:47.430876,310.12343774017745,,,linear,3256,0.0008162813604026302,0.0023972110926749664,0.5998306332401716,0.5941826701164246,COMPLETE
87,0.588235294117147,2025-12-16 22:45:25.786027,2025-12-16 22:45:26.036928,0 days 00:00:00.250901,0.06491657026662331,,0.0008050869645745111,sigmoid,4406,0.00033066588568232246,0.5371491504858393,0.9906459277169002,0.5487129092216492,COMPLETE
88,0.7894736842100317,2025-12-16 22:45:26.037070,2025-12-16 22:45:26.724917,0 days 00:00:00.687847,0.2509971372446723,,,linear,3680,0.006088985600788078,0.7961131842014195,0.999554140508579,0.6080483198165894,COMPLETE
89,0.5333333333328422,2025-12-16 22:45:26.725059,2025-12-16 22:45:26.944771,0 days 00:00:00.219712,0.09408089944181726,,4.775127226085702e-05,rbf,3426,0.0031599144046434483,0.3786950687439637,0.9425888577019983,0.6461319327354431,COMPLETE
90,0.0034472270100340723,2025-12-16 22:45:26.944892,2025-12-16 22:45:27.159623,0 days 00:00:00.214731,0.5845258457824847,,1.0350941985300546e-06,poly,4260,4.626204366737173e-05,0.0017265894779605931,0.5,0.48854681849479675,COMPLETE
91,0.8387096774188595,2025-12-16 22:45:27.159738,2025-12-16 22:45:27.870033,0 days 00:00:00.710295,0.14376218787219897,,,linear,3097,0.00020293172784053006,0.8864575389612407,0.9996947807508394,0.6700277328491211,COMPLETE
92,0.8571428571423575,2025-12-16 22:45:27.870239,2025-12-16 22:45:28.514574,0 days 00:00:00.644335,0.11572160091684791,,,linear,2881,0.00018469162427272822,0.9026208819269691,0.9997486429712795,0.6013936400413513,COMPLETE
93,0.8571428571423575,2025-12-16 22:45:28.514694,2025-12-16 22:45:28.893850,0 days 00:00:00.379156,0.07866919528255349,,,linear,3534,0.008675578430377211,0.8991764867197394,0.9997306888977995,0.5874037146568298,COMPLETE
94,0.810810810810314,2025-12-16 22:45:28.893969,2025-12-16 22:45:29.780984,0 days 00:00:00.887015,0.19427637494781047,,,linear,3158,0.00014400859887643832,0.8008734600452867,0.999548155817419,0.6055541038513184,COMPLETE
95,0.8235294117642058,2025-12-16 22:45:29.781104,2025-12-16 22:45:30.107636,0 days 00:00:00.326532,0.05060541126625796,,,linear,3272,0.003722533467399171,0.8897046052337914,0.9996708419861994,0.5923556685447693,COMPLETE
96,0.8205128205123287,2025-12-16 22:45:30.110283,2025-12-16 22:45:30.422737,0 days 00:00:00.312454,0.03664919939713591,,,linear,2650,0.0015968858178865726,0.893021178168237,0.9996768266773592,0.5269894599914551,COMPLETE
97,0.7647058823524412,2025-12-16 22:45:30.422850,2025-12-16 22:45:31.925203,0 days 00:00:01.502353,0.3953990558080043,balanced,,linear,2953,0.00024143662311439034,0.652997539605317,0.9993805844649387,0.6841169595718384,COMPLETE
98,0.8571428571423575,2025-12-16 22:45:31.925330,2025-12-16 22:45:32.611923,0 days 00:00:00.686593,0.13168487487970426,,,linear,3395,9.786762621761528e-05,0.8972743955063138,0.9997396659345393,0.6074997186660767,COMPLETE
99,0.8205128205123287,2025-12-16 22:45:32.612054,2025-12-16 22:45:32.915550,0 days 00:00:00.303496,0.02476390332118948,,,linear,4024,0.0003587587984611997,0.8877412897251965,0.9996528879127192,0.5216234922409058,COMPLETE
100,0.7647058823524412,2025-12-16 22:45:32.915659,2025-12-16 22:45:34.170873,0 days 00:00:01.255214,0.3090598554384495,balanced,,linear,2412,0.00016895562657776608,0.656697757903659,0.9993237298989185,0.6882264614105225,COMPLETE
