number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.680803571428091,2025-12-16 23:17:59.632248,2025-12-16 23:18:20.165684,0 days 00:00:20.533436,0.9622930060946272,balanced,0.1822000624463841,poly,3502,0.0017269764951518241,0.6618932412825964,0.9115370026357509,0.7038264274597168,COMPLETE
1,0.6679069767437409,2025-12-16 23:18:20.166035,2025-12-16 23:18:20.849915,0 days 00:00:00.683880,0.005943187800453078,balanced,2.2768283887657534,rbf,524,2.6544715136339284e-06,0.5829774928146314,0.8883952223751653,0.5051580667495728,COMPLETE
2,0.7118451025052112,2025-12-16 23:18:20.850067,2025-12-16 23:18:21.306456,0 days 00:00:00.456389,0.009405014212359465,,0.010953443172430185,poly,2534,3.2495205586770497e-06,0.7386883874640332,0.9332380524826175,0.3415279984474182,COMPLETE
3,0.700672645739429,2025-12-16 23:18:21.306638,2025-12-16 23:18:21.859342,0 days 00:00:00.552704,0.007446529898722961,balanced,,linear,3345,0.0015438986547053409,0.6773230098740932,0.9214209405264233,0.7102304100990295,COMPLETE
4,0.6567441860460664,2025-12-16 23:18:21.859520,2025-12-16 23:18:22.505331,0 days 00:00:00.645811,0.010924850419299552,balanced,0.002676274131099895,poly,2777,1.77530754858857e-05,0.5877046117004183,0.8850591981768322,0.5375260710716248,COMPLETE
5,0.6802575107291398,2025-12-16 23:18:22.505481,2025-12-16 23:24:17.418136,0 days 00:05:54.912655,109.296888520832,,,linear,3774,1.2117795291194922e-05,0.6608635112669278,0.9131679022975414,0.34849876165390015,COMPLETE
6,0.34692400482480373,2025-12-16 23:24:17.418521,2025-12-16 23:24:17.890876,0 days 00:00:00.472355,381.5076544516058,,1.5658695009423476,sigmoid,1178,1.7236632602801517e-06,0.20986573263280794,0.5018402649981597,0.18357595801353455,COMPLETE
7,0.682713347920748,2025-12-16 23:24:17.891028,2025-12-16 23:24:25.985609,0 days 00:00:08.094581,554.2464179288352,,0.0641071007280748,rbf,3294,0.0003654527031965922,0.6843477811377763,0.9162344134161717,0.3157212734222412,COMPLETE
8,0.7132784958867034,2025-12-16 23:24:25.985848,2025-12-16 23:25:16.994892,0 days 00:00:51.009044,55.26293672536625,,0.06492268509684142,rbf,1448,1.5347881403136276e-06,0.7236805543585978,0.9288746536385801,0.2960863709449768,COMPLETE
9,0.7121484141227892,2025-12-16 23:25:16.995101,2025-12-16 23:25:17.626887,0 days 00:00:00.631786,0.027977295091836815,balanced,,linear,879,0.00011979232743604838,0.6913797455207901,0.9251442138126862,0.7638536691665649,COMPLETE
10,0.714040114612696,2025-12-16 23:25:17.627061,2025-12-16 23:25:18.182462,0 days 00:00:00.555401,15.286766501346584,,1.447201163849907e-05,rbf,4953,1.9083496170600588e-05,0.7357344420309824,0.9332393322218371,0.3625047206878662,COMPLETE
11,0.7112875779915759,2025-12-16 23:25:18.182623,2025-12-16 23:25:18.626537,0 days 00:00:00.443914,15.188311670666012,,3.6338451633002464e-06,rbf,4704,2.501986795470046e-05,0.7327541656858081,0.9326406702147862,0.3610652685165405,COMPLETE
12,0.7137931034477908,2025-12-16 23:25:18.626693,2025-12-16 23:25:19.172332,0 days 00:00:00.545639,4.401317509891804,,1.6195980136636376e-05,rbf,1773,7.152404999891796e-05,0.7351225973342406,0.9330921622115531,0.3676692545413971,COMPLETE
13,0.7161066048662578,2025-12-16 23:25:19.172485,2025-12-16 23:25:19.588453,0 days 00:00:00.415968,2.5115888205684196,,1.0997870294037526e-05,rbf,1932,9.245140866627987e-05,0.7350000327944861,0.9330238241372125,0.3809712529182434,COMPLETE
14,0.7142028985502384,2025-12-16 23:25:19.588612,2025-12-16 23:25:20.047698,0 days 00:00:00.459086,0.5660044651011995,,0.00014276389306009632,sigmoid,4913,0.0002991359221421141,0.7359054752319591,0.9331735536259362,0.3825207054615021,COMPLETE
15,0.7153623188400935,2025-12-16 23:25:20.047910,2025-12-16 23:25:20.478088,0 days 00:00:00.430178,0.1986257191373208,,0.0003847415388759758,sigmoid,2146,0.007324836357847438,0.7355329237080045,0.9330586330439928,0.378610759973526,COMPLETE
16,0.7153623188400935,2025-12-16 23:25:20.478236,2025-12-16 23:25:20.901239,0 days 00:00:00.423003,0.11725694819264663,,0.0005497895069833905,sigmoid,2030,0.009194058928079845,0.7356049609679959,0.9329754499947018,0.3970229923725128,COMPLETE
