number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.7300242130745688,2025-12-26 07:55:06.355419,2025-12-26 10:48:41.408691,0 days 02:53:35.053272,64,128,0.18131284244314,1024,3,1.947254579556353e-05,4,0.0022008970153278794,0.9355584756360689,0.7247386759577018,0.7014198899269104,COMPLETE
1,0.7273795534660219,2025-12-26 10:48:41.409038,2025-12-26 12:20:52.372345,0 days 01:32:10.963307,64,128,0.1606819540106011,512,3,0.00017745244021916639,4,1.1942396874561431e-08,0.9326181468045167,0.7166085946568886,0.6752904653549194,COMPLETE
2,0.7253694581275854,2025-12-26 12:20:52.372631,2025-12-26 14:00:39.225707,0 days 01:39:46.853076,32,384,0.29118971497439766,1024,2,1.3300004657105613e-05,4,2.6679874562823987e-07,0.9338730590835123,0.7170935080400106,0.6929610371589661,COMPLETE
3,0.7300060132286131,2025-12-26 14:00:39.225991,2025-12-26 16:32:31.997361,0 days 02:31:52.771370,32,256,0.29210940707918287,256,1,2.314178851751887e-05,8,5.647987738509533e-07,0.934333509254818,0.7221898660449412,0.7089735865592957,COMPLETE
4,0.7305882352936295,2025-12-26 16:32:31.997622,2025-12-26 17:51:51.485933,0 days 01:19:19.488311,64,384,0.11312423795318066,1536,3,2.017155369538656e-05,8,1.0331427776118103e-07,0.9345055062059673,0.7272727272722348,0.6995952725410461,COMPLETE
5,0.7134637514379498,2025-12-26 17:51:51.486193,2025-12-26 19:29:24.536830,0 days 01:37:33.050637,16,256,0.49204144715746945,1024,2,0.00018948287404605308,8,6.563023603218523e-05,0.9335574753918945,0.7134637514379498,0.759352445602417,PRUNED
6,0.6701821668260104,2025-12-26 19:29:24.537058,2025-12-26 20:08:03.655173,0 days 00:38:39.118115,64,384,0.028568137373715108,1536,3,0.0009565095483180051,8,2.239233652133781e-05,0.9022115429406257,0.6701821668260104,0.1715094894170761,PRUNED
7,0.7020229633674835,2025-12-26 20:08:03.655385,2025-12-26 20:14:29.449321,0 days 00:06:25.793936,16,128,0.4248256477798555,1536,3,0.0005486363590651204,4,1.2150052422950238e-07,0.9236689304400306,0.7020229633674835,0.6454579830169678,PRUNED
8,0.7199504337045864,2025-12-26 20:14:29.449493,2025-12-26 20:27:22.936863,0 days 00:12:53.487370,16,128,0.24214950313115163,256,4,0.0003553062629589138,4,0.006730536914923864,0.934233177699981,0.7199504337045864,0.8024005889892578,PRUNED
9,0.6722440944877316,2025-12-26 20:27:22.937050,2025-12-26 20:33:44.871851,0 days 00:06:21.934801,32,384,0.03637146276582659,512,4,0.0006933284226988459,8,4.79807970149229e-05,0.8836852701503898,0.6722440944877316,0.7432716488838196,PRUNED
10,0.7131147540978732,2025-12-26 20:33:44.872023,2025-12-26 20:40:08.107356,0 days 00:06:23.235333,64,384,0.12295388790852824,1536,1,5.4020225725662935e-05,8,4.259595591558758e-06,0.9322787599634098,0.7131147540978732,0.6920949816703796,PRUNED
11,0.7144495412839189,2025-12-26 20:40:08.107543,2025-12-26 20:46:34.316908,0 days 00:06:26.209365,64,128,0.15024851401167402,1024,3,4.75901918993346e-05,4,0.0026730953960885035,0.9303197351656468,0.7144495412839189,0.6352882385253906,PRUNED
12,0.7206295671720871,2025-12-26 20:46:34.317082,2025-12-26 20:59:25.969719,0 days 00:12:51.652637,64,384,0.21614289086950148,1536,4,4.553885308618226e-05,4,0.00033957174597499596,0.9349319153140251,0.7206295671720871,0.8023899793624878,PRUNED
13,0.6908702616119136,2025-12-26 20:59:25.969903,2025-12-26 21:05:54.374205,0 days 00:06:28.404302,64,128,0.09408419640591958,1024,2,0.0026674734577421546,8,2.6517548907860222e-06,0.9186357160883184,0.6908702616119136,0.8082445859909058,PRUNED
14,0.7106598984766751,2025-12-26 21:05:54.374383,2025-12-26 21:12:20.333631,0 days 00:06:25.959248,64,256,0.34251024670158103,1536,3,1.2607084002821532e-05,4,1.0681199319657403e-08,0.9303253660182144,0.7106598984766751,0.682396411895752,PRUNED
15,0.724035608308116,2025-12-26 21:12:20.333806,2025-12-26 21:50:57.371614,0 days 00:38:37.037808,64,384,0.2038117827629856,1024,2,9.642369694803247e-05,8,0.0006397977423870804,0.9360864960381833,0.724035608308116,0.6987228989601135,PRUNED
16,0.7064676616910633,2025-12-26 21:50:57.371790,2025-12-26 21:57:19.192877,0 days 00:06:21.821087,64,128,0.08104127745093058,256,4,2.3539458619020964e-05,4,9.669509350289834e-08,0.9297653521356033,0.7064676616910633,0.6759509444236755,PRUNED
17,0.7102371312892771,2025-12-26 21:57:19.193080,2025-12-26 22:03:51.484580,0 days 00:06:32.291500,64,128,0.17296000593407793,512,3,2.3783345911150254e-05,8,0.0003010333314892503,0.9319874913169693,0.7102371312892771,0.766345202922821,PRUNED
18,0.7099015634042619,2025-12-26 22:03:51.484756,2025-12-26 22:10:15.208873,0 days 00:06:23.724117,32,384,0.35296684354080743,1536,2,1.0518512538479218e-05,4,1.669685773253928e-06,0.9316982702532808,0.7099015634042619,0.738725483417511,PRUNED
19,0.7226493199285472,2025-12-26 22:10:15.209049,2025-12-26 22:49:30.043458,0 days 00:39:14.834409,16,256,0.06058211745031583,1024,4,8.869281145643186e-05,8,1.1860963481026048e-05,0.936007408154396,0.7226493199285472,0.7545773983001709,PRUNED
