number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.7331759149936081,2025-12-15 20:49:32.389992,2025-12-15 21:22:13.390575,0 days 00:32:41.000583,16,384,0.47427921517583227,256,4,0.00012997909572449721,8,0.003420439772668688,0.935491929196636,0.7292549969710407,0.7518458962440491,COMPLETE
1,0.7333732774111332,2025-12-15 21:22:13.390870,2025-12-15 21:57:29.238000,0 days 00:35:15.847130,16,128,0.11064596477320976,512,1,0.0001556219477758849,4,1.2836655840213101e-08,0.9328556664037229,0.718749999999514,0.7531569004058838,COMPLETE
2,0.7353463587916957,2025-12-15 21:57:29.238240,2025-12-15 22:28:34.579547,0 days 00:31:05.341307,16,384,0.19586919408067954,256,1,6.513210307909971e-05,4,3.410122701839731e-06,0.9357089729683244,0.7265306122444108,0.7110915184020996,COMPLETE
3,0.7338470657967842,2025-12-15 22:28:34.579797,2025-12-15 23:26:44.649333,0 days 00:58:10.069536,32,256,0.4263727873750272,1024,2,1.4551477208386083e-05,4,9.320674770869374e-05,0.9358743152755304,0.7272727272722387,0.7135075926780701,COMPLETE
4,0.7339449541279557,2025-12-15 23:26:44.649588,2025-12-16 00:03:04.647928,0 days 00:36:19.998340,64,256,0.3726767559958206,512,2,2.405284912390214e-05,8,5.239212671307123e-07,0.9373045518276468,0.7274924471294181,0.7055461406707764,COMPLETE
5,0.7340107591148715,2025-12-16 00:03:04.648189,2025-12-16 00:33:14.416730,0 days 00:30:09.768541,32,256,0.34785057710028694,1536,3,0.00015227450858927618,4,1.9168326973776196e-08,0.934710264481145,0.7208237986265181,0.5003842115402222,COMPLETE
6,0.6759545923627943,2025-12-16 00:33:14.416995,2025-12-16 00:35:19.627517,0 days 00:02:05.210522,16,128,0.049034472626234005,512,3,0.0012471512523737286,4,1.1060612320028319e-05,0.9084344028711205,0.6759545923627943,0.5372425317764282,PRUNED
7,0.7095631641081299,2025-12-16 00:35:19.627695,2025-12-16 00:37:20.771534,0 days 00:02:01.143839,64,256,0.28937601926353224,1536,2,1.6770482397233413e-05,4,1.373882609647231e-06,0.9302757121364836,0.7095631641081299,0.8052523732185364,PRUNED
8,0.7127725856692874,2025-12-16 00:37:20.771702,2025-12-16 00:39:31.328801,0 days 00:02:10.557099,32,256,0.22273720520298868,512,4,1.1630152846930158e-05,8,5.4724347085449884e-08,0.9317929709555506,0.7127725856692874,0.8122470378875732,PRUNED
9,0.7061452513961674,2025-12-16 00:39:31.328974,2025-12-16 00:41:33.405828,0 days 00:02:02.076854,64,128,0.1992010320984799,1536,1,2.0278383184977863e-05,8,6.638256603178869e-08,0.9302219630892495,0.7061452513961674,0.696526288986206,PRUNED
