number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.7064327485375244,2025-12-24 07:57:07.222216,2025-12-24 07:57:10.494381,0 days 00:00:03.272165,1.0951954549553815e-06,0.801701925226808,102,6.32250326838084,1.5456184761877419e-06,0.0024595687710155262,2,312,1268,0.9063089427713273,0.7342880831664964,0.930281854884739,0.3696329891681671,COMPLETE
1,0.714524207011206,2025-12-24 07:57:10.494563,2025-12-24 07:57:11.032454,0 days 00:00:00.537891,0.003024073270606039,0.40143498245218445,180,1.2486456924574196,1.7741483119687484e-08,0.20651843835175251,7,275,590,0.8206180950532725,0.7189176019299284,0.9294131679022974,0.2972550392150879,COMPLETE
2,0.7254196642680946,2025-12-24 07:57:11.032630,2025-12-24 07:57:11.868645,0 days 00:00:00.836015,2.5606367281118044e-05,0.5426234400279183,188,6.454245806753278,0.0529765556314234,0.02880915401351636,13,213,1051,0.8579457573151092,0.7357908905468953,0.9339541945500514,0.37980368733406067,COMPLETE
3,0.7192878338274038,2025-12-24 07:57:11.868821,2025-12-24 07:57:12.378801,0 days 00:00:00.509980,2.8238784500963648e-05,0.6862320134301014,72,6.986966639716584,4.4951190691942635e-08,0.05545112955439459,5,58,650,0.6208490458421024,0.7275058862655314,0.9318224049576074,0.3745187819004059,COMPLETE
4,0.711678832116296,2025-12-24 07:57:12.378970,2025-12-24 07:57:12.788038,0 days 00:00:00.409068,1.0981363299866245e-06,0.4829570192747356,64,3.244351115169551,6.080544291728255e-08,0.17014324853567955,9,344,1473,0.8469888300376065,0.7270954235944843,0.9313445503329114,0.3786531686782837,COMPLETE
5,0.7240319606633051,2025-12-24 07:57:12.788208,2025-12-24 07:57:13.366937,0 days 00:00:00.578729,6.36638440935567,0.5109851017781047,56,1.7752550866664363,1.4810960360582766,0.05990512155525873,6,350,1129,0.9905144341298708,0.7331858552356384,0.9326667768948714,0.40062493085861206,COMPLETE
6,0.7142857142852184,2025-12-24 07:57:13.367099,2025-12-24 07:57:14.456926,0 days 00:00:01.089827,0.032384860730730276,0.940098185682015,158,3.259751025474146,7.051841487792945e-05,0.007930807791543695,15,285,886,0.7096659434872281,0.739474662890269,0.933415168390646,0.4218185245990753,COMPLETE
7,0.7227086981898222,2025-12-24 07:57:14.457099,2025-12-24 07:57:14.805224,0 days 00:00:00.348125,0.00650500162595017,0.8811186643366946,71,9.775690884494106,0.02828255263649653,0.061242416320002005,9,165,615,0.955395337827007,0.7322414852732296,0.933377800005426,0.3516624867916107,COMPLETE
8,0.7171215880888359,2025-12-24 07:57:14.805386,2025-12-24 07:57:15.374048,0 days 00:00:00.568662,3.7597693052959596e-07,0.6676083864909088,194,5.53802580201662,0.40607015311392647,0.12737419599349142,13,110,746,0.8649569728167257,0.7147878813255126,0.9314715004635216,0.40960031747817993,COMPLETE
9,0.7054871220599892,2025-12-24 07:57:15.374226,2025-12-24 07:57:15.546288,0 days 00:00:00.172062,9.755039484462715e-07,0.30772813091106466,139,1.9249695882785955,7.785117144420317,0.06968842605676417,12,366,90,0.5245565222183206,0.7277001160516747,0.9299491226875752,0.32645538449287415,COMPLETE
10,0.7085455574415094,2025-12-24 07:57:15.546448,2025-12-24 07:57:15.852451,0 days 00:00:00.306003,2.327745805017912e-08,0.5724512977056316,21,8.586553534141439,0.0005909325599139534,0.014415203522463527,12,462,223,0.7373264403392924,0.7286836714359165,0.9286171701075442,0.34752821922302246,COMPLETE
