number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.7088459285290964,2025-12-16 22:26:29.031555,2025-12-16 22:26:31.402804,0 days 00:00:02.371249,0.022910114052278385,0.705981999571921,141,1.4168703053292442,1.311182250911372e-07,0.0030262270810535105,15,174,430,0.9767780868475103,0.737716737111979,0.9332603199450429,0.32821041345596313,COMPLETE
1,0.7143674871202941,2025-12-16 22:26:31.402984,2025-12-16 22:26:33.463730,0 days 00:00:02.060746,0.00030891481955280163,0.44587832882325473,101,7.051424146498534,0.02511487224371439,0.0024586294546446986,9,125,1083,0.7008065133483764,0.7397101417415942,0.9343688300572862,0.34160616993904114,COMPLETE
2,0.7092113184823506,2025-12-16 22:26:33.463894,2025-12-16 22:26:34.135211,0 days 00:00:00.671317,0.0023772425958450078,0.7028103464093207,76,7.741467658824911,0.00016637377353369325,0.0042059796651001255,3,240,377,0.8210396153859836,0.7347837351516064,0.9324046863026441,0.3549865782260895,COMPLETE
3,0.7047413793098701,2025-12-16 22:26:34.135434,2025-12-16 22:26:35.483726,0 days 00:00:01.348292,8.800682371950224,0.5985262559898841,89,4.876602749547521,0.00015289708258248738,0.009891655918112523,4,375,1198,0.5346961570301024,0.7183524063418897,0.9293788708912053,0.27339914441108704,COMPLETE
4,0.7045454545449643,2025-12-16 22:26:35.483886,2025-12-16 22:26:36.590729,0 days 00:00:01.106843,0.030138995680883116,0.9750575450530057,191,9.730402597809132,3.837674051740284e-05,0.0014677782529029968,4,254,670,0.5730595392642119,0.7259129429948773,0.9292183915930348,0.31915709376335144,COMPLETE
5,0.716300056401097,2025-12-16 22:26:36.590897,2025-12-16 22:26:38.273605,0 days 00:00:01.682708,2.3533961334648437e-06,0.6703434967315175,22,6.889683030960352,0.012952029846012065,0.007781491501664655,14,432,1210,0.9732949725252719,0.7304511289295543,0.9322864383987289,0.30283018946647644,COMPLETE
6,0.7168922895816188,2025-12-16 22:26:38.273845,2025-12-16 22:26:38.726527,0 days 00:00:00.452682,3.6697294644517644e-05,0.9405767616592884,27,2.3215025760076435,4.480681491116087,0.10471681103146144,13,236,1150,0.565380287895082,0.7166182871717881,0.9309503906531942,0.3414390981197357,COMPLETE
7,0.6900584795316913,2025-12-16 22:26:38.726686,2025-12-16 22:26:39.295005,0 days 00:00:00.568319,5.223182760599534e-06,0.5876849488838476,99,5.70143925599699,0.5379156239493321,0.0024446456103169745,9,370,347,0.6127670687387285,0.6774209395254172,0.9204071311164497,0.29053279757499695,COMPLETE
8,0.7216867469874606,2025-12-16 22:26:39.295173,2025-12-16 22:26:39.724510,0 days 00:00:00.429337,2.26599961352375e-08,0.6699797507243566,151,9.728677008859655,0.0007851098087795245,0.04062169558494535,10,88,169,0.8431896850286604,0.7437761174658508,0.9354136091563806,0.3794739842414856,COMPLETE
9,0.7196261682238118,2025-12-16 22:26:39.724682,2025-12-16 22:26:42.082864,0 days 00:00:02.358182,0.029174533968925484,0.7995761522309577,69,7.397281911283971,2.9044097396096458,0.0077304198538402525,11,206,1483,0.7784434499830706,0.7319186616564782,0.9331013763339362,0.33858680725097656,COMPLETE
