number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_huber_delta,params_kernel,params_layers,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
0,0.6444638928589775,2025-12-22 00:15:17.059168,2025-12-22 00:15:58.665247,0 days 00:00:41.606079,32,512,0.43061919709302215,0.508403800686544,3,2,huber,1.030208679999123e-05,5.084644089436173e-06,0.810725212097168,0.2266242504119873,1.3116987943649292,0.636273361947933,COMPLETE
1,0.7211732719483727,2025-12-22 00:15:58.665503,2025-12-22 00:18:43.535735,0 days 00:02:44.870232,32,512,0.43278449361479226,,7,4,mse,1.533570324613155e-05,3.435513669700285e-06,0.7781459093093872,0.2635098099708557,1.280036449432373,0.6877236461131142,COMPLETE
2,0.6306874066454047,2025-12-22 00:18:43.535996,2025-12-22 00:20:41.369203,0 days 00:01:57.833207,64,128,0.024454723069199436,,5,3,mse,2.2895357563762592e-05,1.6430758455323711e-06,0.8857150077819824,0.201637864112854,1.3327196836471558,0.6224671280434001,COMPLETE
3,0.7064018907371306,2025-12-22 00:20:41.369439,2025-12-22 00:21:53.829654,0 days 00:01:12.460215,32,128,0.3913094889023747,2.0844638993073406,5,3,huber,0.0003324542768886698,4.743034082053161e-08,0.9663084149360657,-0.1198735237121582,1.5784227848052979,0.6768326859226816,COMPLETE
4,0.7406844519192749,2025-12-22 00:21:53.829888,2025-12-22 00:22:35.272817,0 days 00:00:41.442929,16,128,0.2215304800121432,0.5193946100971235,3,1,huber,0.0008507625564600628,5.4101089139310634e-05,0.7710267901420593,0.16503119468688965,1.3629313707351685,0.6661102959810237,COMPLETE
5,0.5128568027520126,2025-12-22 00:22:35.273044,2025-12-22 00:22:38.629507,0 days 00:00:03.356463,32,512,0.43708033035752436,1.844146232353961,5,3,huber,0.001022297044371521,4.754908337746555e-09,1.3050529956817627,-0.05267822742462158,1.5303356647491455,0.5128568027520126,PRUNED
6,0.4957651016458742,2025-12-22 00:22:38.629678,2025-12-22 00:22:42.034633,0 days 00:00:03.404955,16,512,0.31165571682868115,,3,1,mse,0.0022121540706484958,4.273385359186032e-07,1.1918021440505981,-0.3936716318130493,1.7608367204666138,0.4957651016458742,PRUNED
7,0.5989234832978916,2025-12-22 00:22:42.034796,2025-12-22 00:22:45.143715,0 days 00:00:03.108919,32,512,0.3012501370054616,1.3336974762334708,5,2,huber,2.1426257802583105e-05,5.181882490298565e-10,4.151546478271484,-7.575654029846191,4.367897987365723,0.5989234832978916,PRUNED
8,0.5010403588428181,2025-12-22 00:22:45.143875,2025-12-22 00:22:48.383644,0 days 00:00:03.239769,64,128,0.24172470558252968,,5,3,mse,0.0017150097642447037,0.0002516577630677461,0.8661112785339355,0.18496912717819214,1.3465605974197388,0.5010403588428181,PRUNED
9,0.6161771440548134,2025-12-22 00:22:48.383809,2025-12-22 00:22:52.423860,0 days 00:00:04.040051,16,512,0.4745104587617956,3.881414710878993,7,2,huber,2.2920547824194266e-05,8.991212245865333e-08,0.8745508790016174,0.25334256887435913,1.2888416051864624,0.6161771440548134,PRUNED
10,0.6009959057681195,2025-12-22 00:22:52.424077,2025-12-22 00:22:56.417240,0 days 00:00:03.993163,16,256,0.14013338121742863,0.5129208115003752,3,1,huber,0.0001210317422642261,0.008010547136694768,0.9005919694900513,0.036909639835357666,1.463768482208252,0.6009959057681195,PRUNED
11,0.6060563185303508,2025-12-22 00:22:56.417402,2025-12-22 00:22:59.772532,0 days 00:00:03.355130,16,256,0.22253097969564503,,7,4,mse,0.0001455727618842944,4.301367464107424e-05,0.8369709849357605,0.13767218589782715,1.3850806951522827,0.6060563185303508,PRUNED
12,0.5939258712165761,2025-12-22 00:22:59.772725,2025-12-22 00:23:03.349487,0 days 00:00:03.576762,32,128,0.14320683532322964,,7,4,mse,0.0005123595970098785,0.00034873582001046266,0.886306881904602,0.036590397357940674,1.4640109539031982,0.5939258712165761,PRUNED
13,0.7064779126140288,2025-12-22 00:23:03.349644,2025-12-22 00:24:39.498614,0 days 00:01:36.148970,16,128,0.3533215041193393,,7,1,mse,6.85778709201022e-05,1.0053948435085716e-05,0.790311336517334,0.19348204135894775,1.3395098447799683,0.6577082259342621,COMPLETE
14,0.616352324901579,2025-12-22 00:24:39.498852,2025-12-22 00:24:42.768838,0 days 00:00:03.269986,64,256,0.1663977026078673,0.881509125583948,3,4,huber,0.0005107460204155065,0.00036866400744585545,1.0765929222106934,-0.14520609378814697,1.5961756706237793,0.616352324901579,PRUNED
15,0.6276895004564147,2025-12-22 00:24:42.769008,2025-12-22 00:24:46.045836,0 days 00:00:03.276828,32,512,0.03641702126343796,,7,2,mse,7.065148159457037e-05,0.005062677338071046,1.4692944288253784,-0.7159910202026367,1.9538731575012207,0.6276895004564147,PRUNED
16,0.7497112234762008,2025-12-22 00:24:46.045995,2025-12-22 00:26:41.082932,0 days 00:01:55.036937,16,128,0.3058903047096042,,3,4,mse,0.000272851995406727,3.0537910943840606e-05,1.1700327396392822,-0.29913485050201416,1.7000668048858643,0.7287886808341864,COMPLETE
17,0.6085980934579509,2025-12-22 00:26:41.083167,2025-12-22 00:26:44.819728,0 days 00:00:03.736561,16,128,0.2889346633582198,0.9607790278485939,3,1,huber,0.00030663893318964706,3.355875608123713e-05,1.070993185043335,0.2057066559791565,1.3293193578720093,0.6085980934579509,PRUNED
18,0.5517304242390161,2025-12-22 00:26:44.819898,2025-12-22 00:26:48.589208,0 days 00:00:03.769310,16,128,0.19740503838647255,3.9806275733513603,3,2,huber,0.0009099173371966091,8.07240670260512e-05,1.1516774892807007,0.09945118427276611,1.4154434204101562,0.5517304242390161,PRUNED
19,0.6055506077840273,2025-12-22 00:26:48.589381,2025-12-22 00:26:52.420774,0 days 00:00:03.831393,16,128,0.09410237957585915,,3,3,mse,0.0029172872702946427,0.0018229593110240553,0.8227158188819885,0.1761035919189453,1.3538644313812256,0.6055506077840273,PRUNED
20,0.5970064098804557,2025-12-22 00:26:52.420946,2025-12-22 00:26:56.435503,0 days 00:00:04.014557,16,128,0.3479508603748648,0.7403791875266512,3,4,huber,0.0011400829491175326,1.683965458728645e-05,0.8778983354568481,0.17128676176071167,1.3578163385391235,0.5970064098804557,PRUNED
21,0.6019544424768374,2025-12-22 00:26:56.435665,2025-12-22 00:26:59.871367,0 days 00:00:03.435702,16,128,0.4951433322345599,,7,4,mse,0.00023912794211196478,6.335503928707689e-07,1.1300219297409058,-0.26647722721099854,1.6785626411437988,0.6019544424768374,PRUNED
22,-0.15665795119445736,2025-12-22 00:26:59.871526,2025-12-22 00:27:03.253632,0 days 00:00:03.382106,32,512,0.2731452347905814,,3,4,mse,0.0006091365083251946,1.9920789579500404e-06,1.0300724506378174,-0.04491627216339111,1.5246832370758057,-0.15665795119445736,PRUNED
23,0.6057951999097,2025-12-22 00:27:03.253800,2025-12-22 00:27:06.384990,0 days 00:00:03.131190,64,256,0.37000988591374917,,3,4,mse,7.735453687719536e-05,1.679382555322172e-07,5.529613494873047,-13.72400951385498,5.7233710289001465,0.6057951999097,PRUNED
24,0.6149178251374977,2025-12-22 00:27:06.385155,2025-12-22 00:27:10.351436,0 days 00:00:03.966281,16,128,0.41157266264623804,,7,3,mse,4.472779367177415e-05,4.879087147140257e-06,0.9551182985305786,0.23995929956436157,1.3003411293029785,0.6149178251374977,PRUNED
25,0.6330672219222215,2025-12-22 00:27:10.351600,2025-12-22 00:27:13.700054,0 days 00:00:03.348454,32,512,0.2013486417352749,,3,4,mse,0.00021369429193803386,0.00011522068219980298,1.2674665451049805,-0.4978351593017578,1.8254538774490356,0.6330672219222215,PRUNED
26,0.630928693472082,2025-12-22 00:27:13.700222,2025-12-22 00:27:16.855244,0 days 00:00:03.155022,16,128,0.08845581325209145,,7,3,mse,1.1416917645477184e-05,0.001012058929965075,5.350173473358154,-12.819971084594727,5.544883728027344,0.630928693472082,PRUNED
27,0.5535218962946198,2025-12-22 00:27:16.855403,2025-12-22 00:27:20.090593,0 days 00:00:03.235190,16,128,0.33751036792311717,,3,1,mse,0.0003380568508192283,2.2170000647854473e-08,0.8743252754211426,0.17300420999526978,1.3564084768295288,0.5535218962946198,PRUNED
28,0.6197072033820917,2025-12-22 00:27:20.090767,2025-12-22 00:27:23.618484,0 days 00:00:03.527717,64,256,0.27009999977120613,2.6082080555900573,3,4,huber,0.000695483129276551,1.1673080467210216e-05,1.2461774349212646,-0.3993966579437256,1.7644497156143188,0.6197072033820917,PRUNED
29,0.6272234532980381,2025-12-22 00:27:23.618643,2025-12-22 00:27:27.054336,0 days 00:00:03.435693,32,512,0.4403668309451283,1.3105382104303118,7,2,huber,4.002452198918115e-05,4.707567345229249e-06,1.1170167922973633,0.1547917127609253,1.3712629079818726,0.6272234532980381,PRUNED
30,0.6174034099821731,2025-12-22 00:27:27.054496,2025-12-22 00:27:30.213676,0 days 00:00:03.159180,32,512,0.24780502640606017,,3,2,mse,0.00010870080721237538,2.0532224810989976e-06,1.2830488681793213,-0.0035375356674194336,1.4941895008087158,0.6174034099821731,PRUNED
31,0.6374037742044211,2025-12-22 00:27:30.213839,2025-12-22 00:28:07.156520,0 days 00:00:36.942681,16,128,0.3358017922315075,,7,1,mse,1.3190603052157323e-05,1.3752447297522497e-05,0.8421215415000916,0.25270843505859375,1.28938889503479,0.6314707625073569,COMPLETE
32,0.617380272889204,2025-12-22 00:28:07.156757,2025-12-22 00:28:10.468620,0 days 00:00:03.311863,16,128,0.3876102028584296,,7,1,mse,4.3805513012234125e-05,6.997601889148413e-06,0.9310559630393982,0.2848678231239319,1.261339545249939,0.617380272889204,PRUNED
33,0.6287042272480574,2025-12-22 00:28:10.468794,2025-12-22 00:28:13.683916,0 days 00:00:03.215122,16,128,0.4585880422088329,,7,1,mse,7.68740796009969e-05,6.103786252753075e-05,0.8208957314491272,0.27511066198349,1.269915223121643,0.6287042272480574,PRUNED
34,0.6018817258989346,2025-12-22 00:28:13.684096,2025-12-22 00:28:17.424459,0 days 00:00:03.740363,16,128,0.4129423485800435,,5,1,mse,1.8079680606971532e-05,1.0202517902287044e-06,3.954861640930176,-6.855536937713623,4.180486679077148,0.6018817258989346,PRUNED
35,0.6121909534661452,2025-12-22 00:28:17.424619,2025-12-22 00:28:21.259796,0 days 00:00:03.835177,16,128,0.3615609485158525,,7,3,mse,3.423785737740145e-05,2.945511120397106e-05,1.6316332817077637,-0.9169131517410278,2.0650951862335205,0.6121909534661452,PRUNED
36,0.6044135849295481,2025-12-22 00:28:21.259956,2025-12-22 00:28:24.490444,0 days 00:00:03.230488,32,128,0.3215193237717084,0.6624294391408928,5,1,huber,0.00017247900846075997,2.5008509846465527e-07,0.9254163503646851,0.3085421919822693,1.2402856349945068,0.6044135849295481,PRUNED
37,-0.6150731741902901,2025-12-22 00:28:24.490607,2025-12-22 00:28:27.745994,0 days 00:00:03.255387,64,512,0.38866597448203055,,7,3,mse,0.001467255070426725,2.3422104266539104e-06,36.963191986083984,-637.6560668945312,37.69401550292969,-0.6150731741902901,PRUNED
38,0.6082245946714505,2025-12-22 00:28:27.746209,2025-12-22 00:28:31.443538,0 days 00:00:03.697329,16,128,0.3071514645273443,,5,2,mse,2.9791429484326473e-05,2.2593809430178087e-10,3.955665349960327,-6.843100547790527,4.177175998687744,0.6082245946714505,PRUNED
39,0.6199617114047512,2025-12-22 00:28:31.443710,2025-12-22 00:28:34.614863,0 days 00:00:03.171153,32,512,0.420778597931516,2.871535554135909,3,1,huber,5.7924039709261375e-05,2.1612607853300922e-08,1.960663080215454,-1.4573588371276855,2.3381543159484863,0.6199617114047512,PRUNED
40,0.5243559379576317,2025-12-22 00:28:34.615022,2025-12-22 00:28:37.914262,0 days 00:00:03.299240,16,128,0.22421857363833417,,7,2,mse,0.00036761723234887195,0.0001733427880054084,1.0105942487716675,0.1849379539489746,1.3465863466262817,0.5243559379576317,PRUNED
41,0.7188529520534762,2025-12-22 00:28:37.914751,2025-12-22 00:29:46.794266,0 days 00:01:08.879515,32,128,0.386960081252445,1.8460239766687188,5,3,huber,0.0002867758964718178,1.2718162557119107e-08,0.8604151010513306,0.07162368297576904,1.4371460676193237,0.5503686410528376,COMPLETE
42,0.6217102145734125,2025-12-22 00:29:46.794490,2025-12-22 00:29:49.995656,0 days 00:00:03.201166,32,128,0.375296714310881,1.2641850628819145,5,3,huber,0.00011030653217745465,2.5057874184373077e-09,1.554898738861084,-0.7950577735900879,1.9983800649642944,0.6217102145734125,PRUNED
43,0.613628758529222,2025-12-22 00:29:49.995828,2025-12-22 00:29:53.151075,0 days 00:00:03.155247,32,128,0.2800325628962716,2.4965107939354123,5,4,huber,0.00022558102151629315,4.177166133790192e-09,0.9657596945762634,0.009072721004486084,1.484771966934204,0.613628758529222,PRUNED
44,0.6107630643000551,2025-12-22 00:29:53.151235,2025-12-22 00:29:56.602633,0 days 00:00:03.451398,32,128,0.4505643630513164,4.899101203479497,5,4,huber,0.0004636588522354604,9.204003296710169e-10,1.501464605331421,-0.7306129932403564,1.9621800184249878,0.6107630643000551,PRUNED
45,0.7194743482646451,2025-12-22 00:29:56.602809,2025-12-22 00:31:21.133239,0 days 00:01:24.530430,32,256,0.4015564648093274,1.634332597311416,5,3,huber,0.0007542272884691101,0.0009541928531682633,1.0033273696899414,0.1943102478981018,1.3388218879699707,0.6784688089254933,COMPLETE
46,0.5166050118129991,2025-12-22 00:31:21.133462,2025-12-22 00:31:24.299291,0 days 00:00:03.165829,32,256,0.4846536305246033,1.722881029829674,5,3,huber,0.0008114140296784262,0.0008548819801828964,1.0714728832244873,-0.24297058582305908,1.662912130355835,0.5166050118129991,PRUNED
47,0.5854444739939209,2025-12-22 00:31:24.299455,2025-12-22 00:31:27.398948,0 days 00:00:03.099493,32,256,0.4626694552389706,1.0867768176459145,5,3,huber,0.001642828304455909,0.003564748742365164,0.9545713067054749,-0.08729565143585205,1.5552946329116821,0.5854444739939209,PRUNED
48,0.6360221592242691,2025-12-22 00:31:27.399105,2025-12-22 00:31:30.940106,0 days 00:00:03.541001,32,256,0.4047913503432917,1.605154848276661,5,3,huber,0.00042971164223304815,0.0005010978622598839,1.138925313949585,-0.29956209659576416,1.7003463506698608,0.6360221592242691,PRUNED
49,0.6318244294998838,2025-12-22 00:31:30.940268,2025-12-22 00:31:34.927723,0 days 00:00:03.987455,32,256,0.43648266769112515,2.099638595525256,5,3,huber,0.00027327644908343166,4.0893626545914384e-08,0.9979774355888367,0.2951452136039734,1.2522432804107666,0.6318244294998838,PRUNED
50,0.29636632913958616,2025-12-22 00:31:34.928089,2025-12-22 00:31:38.218109,0 days 00:00:03.290020,32,256,0.16753215799482327,1.4551123890186408,5,4,huber,0.0011538869919066374,0.0001011023653388825,1.1838099956512451,-0.04911971092224121,1.5277467966079712,0.29636632913958616,PRUNED
51,0.6303700979418291,2025-12-22 00:31:38.218268,2025-12-22 00:31:41.324337,0 days 00:00:03.106069,64,512,0.31799794319787145,3.236205844728594,3,4,huber,0.0005861867917557511,1.9658298484174728e-05,1.0265424251556396,0.23154020309448242,1.3075233697891235,0.6303700979418291,PRUNED
52,0.618150407555174,2025-12-22 00:31:41.324495,2025-12-22 00:31:44.896397,0 days 00:00:03.571902,16,128,0.3569771455322483,1.0950532115032994,7,3,huber,0.0001401663813444083,7.60068011311723e-06,1.1716339588165283,-0.30484509468078613,1.7037988901138306,0.618150407555174,PRUNED
53,0.40800280271526335,2025-12-22 00:31:44.896560,2025-12-22 00:31:47.997288,0 days 00:00:03.100728,32,128,0.39744286588475863,2.1730939037803148,3,2,huber,0.002102624050505415,0.00021936397919121792,1.180221438407898,0.04326540231704712,1.458930492401123,0.40800280271526335,PRUNED
54,0.39698954646199447,2025-12-22 00:31:47.997457,2025-12-22 00:31:51.253189,0 days 00:00:03.255732,16,256,0.29443850892673573,,5,4,mse,0.0007581565671670685,6.091012589163246e-07,1.5012739896774292,-0.292120099067688,1.6954708099365234,0.39698954646199447,PRUNED
55,0.6019213894868816,2025-12-22 00:31:51.253349,2025-12-22 00:31:54.520290,0 days 00:00:03.266941,32,128,0.33590167458852915,0.6634169527144184,3,1,huber,1.621991818346056e-05,4.903980950096272e-05,5.269272804260254,-12.421789169311523,5.464420318603516,0.6019213894868816,PRUNED
56,0.3088570540438788,2025-12-22 00:31:54.520450,2025-12-22 00:31:58.152748,0 days 00:00:03.632298,16,512,0.2578147544644125,,7,3,mse,0.0003960251864969776,0.0027768428274214307,0.9953680634498596,-0.1424710750579834,1.594268560409546,0.3088570540438788,PRUNED
57,0.5847635824008316,2025-12-22 00:31:58.152907,2025-12-22 00:32:01.387739,0 days 00:00:03.234832,16,128,0.3793689375461108,,3,4,mse,0.001038415640394447,0.008320539789874763,0.8673728108406067,0.10651129484176636,1.4098840951919556,0.5847635824008316,PRUNED
