number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
0,0.33633400459412616,2025-12-22 10:24:09.840125,2025-12-22 10:24:12.501713,0 days 00:00:02.661588,0.00044332286318557213,0.23520460320098302,5358,random,0.006876375269973857,1.0326987504959106,-0.1074376106262207,1.5696343183517456,0.33633400459412616,COMPLETE
1,0.4207910045291581,2025-12-22 10:24:12.501890,2025-12-22 10:24:12.697351,0 days 00:00:00.195461,0.35918234361210816,0.3187185408130323,18936,cyclic,1.7885355212147764e-05,1.021557331085205,0.05322450399398804,1.451317310333252,0.4207910045291581,COMPLETE
2,0.3281071153941303,2025-12-22 10:24:12.697484,2025-12-22 10:24:13.734575,0 days 00:00:01.037091,1.639879294643043e-05,0.25058106173399963,6743,random,0.00830714989023333,1.0390689373016357,-0.120841383934021,1.5791047811508179,0.3281071153941303,COMPLETE
3,0.382370209004549,2025-12-22 10:24:13.734684,2025-12-22 10:24:15.625555,0 days 00:00:01.890871,0.002864550228114334,0.43197220366328015,9723,random,0.002570112231584253,0.9800463914871216,-0.044370293617248535,1.524284839630127,0.382370209004549,COMPLETE
4,0.31643940993973674,2025-12-22 10:24:15.625765,2025-12-22 10:24:18.041917,0 days 00:00:02.416152,9.851235113060628e-08,0.19949881015870607,12604,random,0.003811528185105193,1.0572702884674072,-0.148002028465271,1.5981229543685913,0.31643940993973674,COMPLETE
5,0.4529383425601584,2025-12-22 10:24:18.042085,2025-12-22 10:24:18.281831,0 days 00:00:00.239746,0.09840284258090506,0.5432334161831334,18510,cyclic,0.005866785740546084,0.9381910562515259,0.10464626550674438,1.4113547801971436,0.4529383425601584,COMPLETE
6,0.23653711202061256,2025-12-22 10:24:18.281944,2025-12-22 10:24:41.528891,0 days 00:00:23.246947,0.0005142516390376563,0.06492528990961033,13047,cyclic,0.0002627180763471959,1.214693546295166,-0.534727931022644,1.8477983474731445,0.23653711202061256,COMPLETE
7,0.182617769505734,2025-12-22 10:24:41.529204,2025-12-22 10:24:48.754179,0 days 00:00:07.224975,2.170497687578835e-06,0.7960874071187009,11598,random,0.0012980031206844737,1.1442636251449585,-0.3872678279876709,1.7567867040634155,0.182617769505734,COMPLETE
8,0.21210764714428892,2025-12-22 10:24:48.754470,2025-12-22 10:25:15.987611,0 days 00:00:27.233141,4.032886405355635e-07,0.0029238600996862596,14053,cyclic,0.00024402551514247374,1.4764068126678467,-1.040889024734497,2.130828857421875,0.21210764714428892,COMPLETE
9,0.29685881868992736,2025-12-22 10:25:15.987936,2025-12-22 10:25:17.692389,0 days 00:00:01.704453,1.1539908156292247e-06,0.9197055217148368,14402,cyclic,0.004302324049949911,1.1212149858474731,-0.23329615592956543,1.6564279794692993,0.29685881868992736,COMPLETE
10,0.0,2025-12-22 10:25:17.692567,2025-12-22 10:25:17.712442,0 days 00:00:00.019875,1.3408887268216338,0.7087390151686735,19492,cyclic,1.0873775742990974e-06,1.1221755743026733,-0.020768284797668457,1.506962537765503,0.0,COMPLETE
11,0.48156223186187164,2025-12-22 10:25:17.712552,2025-12-22 10:25:17.741917,0 days 00:00:00.029365,0.46268835630993016,0.5320071954487635,19890,cyclic,1.2580090108200855e-05,1.1174348592758179,-0.01596975326538086,1.5034162998199463,0.48156223186187164,COMPLETE
