number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
0,0.6137708863860319,2025-12-22 00:46:58.060869,2025-12-22 00:47:45.152653,0 days 00:00:47.091784,64,0.024277026367549193,512,,mse,0.001460135672806338,0.000639968195860846,0.9115827083587646,0.15083301067352295,1.3744704723358154,0.519259166906449,COMPLETE
1,0.6416048092278017,2025-12-22 00:47:45.152960,2025-12-22 00:48:23.451067,0 days 00:00:38.298107,64,0.0635494655921382,1024,4.11993453557094,huber,6.105491224620821e-05,3.0277707369035988e-05,0.8327118158340454,0.24699383974075317,1.2943094968795776,0.6397307046973086,COMPLETE
2,0.6806304744686019,2025-12-22 00:48:23.451319,2025-12-22 00:50:28.776331,0 days 00:02:05.325012,16,0.45544190052399414,1024,,mse,0.00012034637475069321,1.4865710288036145e-06,0.7933459877967834,0.2357802391052246,1.3039112091064453,0.6794835357171359,COMPLETE
3,0.7119713195446808,2025-12-22 00:50:28.776750,2025-12-22 00:51:39.867585,0 days 00:01:11.090835,16,0.3120036105450472,512,,mse,0.00024540812717329947,0.0012342986901857948,0.771984875202179,0.22723335027694702,1.3111822605133057,0.7044054901438008,COMPLETE
4,0.7111383841977951,2025-12-22 00:51:39.867803,2025-12-22 00:53:21.204779,0 days 00:01:41.336976,32,0.2648055529722351,2048,2.150999351787572,huber,0.0012162803545798678,1.4970034059055934e-10,0.8386799693107605,0.13260507583618164,1.3891440629959106,0.5654639415656463,COMPLETE
5,0.6449927406982702,2025-12-22 00:53:21.204993,2025-12-22 00:54:02.364212,0 days 00:00:41.159219,16,0.26763921174964583,256,,mse,1.962981548318356e-05,7.96598493498228e-07,0.8612725138664246,0.16562652587890625,1.3624454736709595,0.640834674561832,COMPLETE
6,0.606988412847104,2025-12-22 00:54:02.364425,2025-12-22 00:54:05.529887,0 days 00:00:03.165462,16,0.4018981486115015,256,1.2816182457232785,huber,3.039666265901656e-05,6.223678401513357e-07,4.7321271896362305,-9.945837020874023,4.93472957611084,0.606988412847104,PRUNED
7,0.7311123060280783,2025-12-22 00:54:05.530046,2025-12-22 00:55:17.954612,0 days 00:01:12.424566,16,0.005144826096345034,256,3.8602701036031055,huber,0.00225738012130702,0.001866644526335432,0.9655814170837402,0.048508524894714355,1.4549274444580078,0.40877954797922444,COMPLETE
8,0.5591574310820819,2025-12-22 00:55:17.954829,2025-12-22 00:55:22.118930,0 days 00:00:04.164101,16,0.324026208968153,256,1.0627383448498533,huber,0.0006258166536544829,1.0789721261377893e-09,0.9603678584098816,0.2222117781639099,1.3154354095458984,0.5591574310820819,PRUNED
9,0.7272715485952157,2025-12-22 00:55:22.119098,2025-12-22 00:57:04.339174,0 days 00:01:42.220076,32,0.3356786247846182,1024,,mse,0.0011357792170025732,0.00013707640196130048,0.799508273601532,0.22749775648117065,1.310957908630371,0.6672638453304808,COMPLETE
10,0.614838497961604,2025-12-22 00:57:04.339387,2025-12-22 00:57:07.937787,0 days 00:00:03.598400,32,0.1421765575493829,2048,0.5008480975929683,huber,0.00028290588492127283,0.008090646255414167,1.0544605255126953,-0.21736347675323486,1.6456936597824097,0.614838497961604,PRUNED
11,0.6009562421801725,2025-12-22 00:57:07.937940,2025-12-22 00:57:12.012437,0 days 00:00:04.074497,32,0.13949001637907105,1024,,mse,0.0028869162310597558,6.14067340638746e-05,0.856619119644165,0.1810750961303711,1.3497735261917114,0.6009562421801725,PRUNED
12,0.5616198788337882,2025-12-22 00:57:12.012588,2025-12-22 00:57:15.932775,0 days 00:00:03.920187,32,0.1435517868175629,256,4.551047637811293,huber,0.0028818331124916986,5.110327371750868e-05,1.3339149951934814,-0.051169633865356445,1.5292387008666992,0.5616198788337882,PRUNED
13,0.2180109111503928,2025-12-22 00:57:15.932928,2025-12-22 00:57:19.703695,0 days 00:00:03.770767,32,0.40248762027673424,1024,,mse,0.0006462517814091023,0.006308471530092763,1.1262530088424683,-0.3283158540725708,1.719054102897644,0.2180109111503928,PRUNED
14,0.6055803554749876,2025-12-22 00:57:19.703847,2025-12-22 00:57:23.257276,0 days 00:00:03.553429,64,0.20799712472485124,256,,mse,0.0006125231810289108,0.00027861888944119724,0.9164189100265503,0.277187705039978,1.268094539642334,0.6055803554749876,PRUNED
15,0.6016503549692441,2025-12-22 00:57:23.257433,2025-12-22 00:57:26.449619,0 days 00:00:03.192186,16,0.3601278396383272,1024,2.4586802011188076,huber,0.0015514050164361839,8.224157634012247e-06,0.8732193112373352,0.1533980369567871,1.372393012046814,0.6016503549692441,PRUNED
16,0.571377121468737,2025-12-22 00:57:26.449773,2025-12-22 00:57:48.923259,0 days 00:00:22.473486,32,0.4952667333311008,512,3.0345464583432555,huber,0.0004334716977597933,9.83163970229439e-09,0.9452553391456604,0.168437659740448,1.360148310661316,0.571377121468737,PRUNED
