number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
0,0.45230372515300726,2025-12-22 01:25:18.336314,2025-12-22 01:25:18.368262,0 days 00:00:00.031948,639.6929668256486,0.7190524425937419,5.769585503001536e-06,rbf,0.915762814626248,0.13972079045582908,1.383434424614807,0.45230372515300726,COMPLETE
1,0.5516510970631221,2025-12-22 01:25:18.368365,2025-12-22 01:25:18.419250,0 days 00:00:00.050885,7.12100062139297,0.3194380295890188,8.17237473106362e-06,rbf,0.9151992868421466,0.08463374339825902,1.4270405499912007,0.5516510970631221,COMPLETE
2,0.6539765433682536,2025-12-22 01:25:18.419346,2025-12-22 01:25:18.477301,0 days 00:00:00.057955,363.56748698508926,0.2602740557398779,1.2737890079498712e-06,rbf,0.7870031341099252,0.11783026544035946,1.4009251806509573,0.6539765433682536,COMPLETE
3,0.6550474602428211,2025-12-22 01:25:18.477391,2025-12-22 01:25:18.593108,0 days 00:00:00.115717,34.80138856437658,0.01086621795246497,2.0884332798099187e-05,rbf,0.7858079473068079,0.11810212863672542,1.400709298530985,0.6550474602428211,COMPLETE
4,0.19222296838688627,2025-12-22 01:25:18.593198,2025-12-22 01:25:18.685131,0 days 00:00:00.091933,33.45688124259159,0.005812952025584502,0.604460367536959,sigmoid,1369.284503562072,-1191806.0595654405,1628.3278142304307,0.19222296838688627,COMPLETE
5,0.7125794945598676,2025-12-22 01:25:18.685252,2025-12-22 01:25:18.715419,0 days 00:00:00.030167,11.401454586566468,0.42189926842593645,0.00013194864510934613,poly,0.9733716927611347,0.11584943490131261,1.4024971226875524,0.7125794945598676,COMPLETE
6,0.5520609541385739,2025-12-22 01:25:18.715510,2025-12-22 01:25:18.789197,0 days 00:00:00.073687,0.9123800484004866,0.050338090283983096,0.000142419347678975,sigmoid,0.9037809521257166,0.07579301183627696,1.4339152663145645,0.5520609541385739,COMPLETE
7,0.19057921324123733,2025-12-22 01:25:18.789283,2025-12-22 01:25:18.904631,0 days 00:00:00.115348,0.0036762291586190095,0.03810293625863488,0.16590657320389962,rbf,1.084971681652427,-0.007890393865287226,1.4974265101346937,0.19057921324123733,COMPLETE
8,0.1532865462189669,2025-12-22 01:25:18.904716,2025-12-22 01:25:18.998305,0 days 00:00:00.093589,600.8401883044548,0.00010583096893827785,0.03975514949461351,sigmoid,24387.860214956738,-372853975.0667867,28801.04554073899,0.1532865462189669,COMPLETE
9,0.34146660167033527,2025-12-22 01:25:18.998389,2025-12-22 01:25:19.107125,0 days 00:00:00.108736,2.2136161627962103,0.03333570795153445,0.05308582315027861,rbf,1.1121271357855778,-0.01669593111099732,1.5039534949520141,0.34146660167033527,COMPLETE
