number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_huber_delta,params_layers,params_loss,params_lr,params_nhead,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
0,0.5267093108424838,2025-12-21 23:19:42.682704,2025-12-21 23:20:23.362873,0 days 00:00:40.680169,64,256,0.31701651874033554,1024,,3,mse,0.000431443772186329,4,1.9771723526668433e-10,1.4095916748046875,-0.24975430965423584,1.6674437522888184,-0.25194972123699694,COMPLETE
1,0.7363512049360709,2025-12-21 23:20:23.363164,2025-12-21 23:21:37.914521,0 days 00:01:14.551357,16,384,0.19151597644581875,1536,0.6297528852220533,4,huber,4.2633894899397915e-05,4,2.8504840901308213e-07,0.7369579076766968,0.19320333003997803,1.3397412300109863,0.6968826296298632,COMPLETE
2,0.6017291696135758,2025-12-21 23:21:37.914808,2025-12-21 23:22:58.283509,0 days 00:01:20.368701,32,128,0.36475836176739307,1536,1.7597469918060904,2,huber,0.001788092828973974,4,3.945083240229022e-09,1.9636025428771973,-1.0375525951385498,2.129086494445801,-0.5339231491063738,COMPLETE
3,0.6632677388448259,2025-12-21 23:22:58.283755,2025-12-21 23:23:55.650326,0 days 00:00:57.366571,16,256,0.28356637725095946,512,,3,mse,0.0009656331362227173,8,0.00046760844297167404,1.6090933084487915,-0.4831644296646118,1.8164920806884766,-0.07337102710386034,COMPLETE
4,0.6279836720670211,2025-12-21 23:23:55.650586,2025-12-21 23:24:33.226420,0 days 00:00:37.575834,64,256,0.21375014951526317,512,,3,mse,0.00011800558154595055,4,0.0005543960122907813,1.126348853111267,0.0249519944190979,1.472827434539795,0.4822563446509432,COMPLETE
5,-0.14556867306429017,2025-12-21 23:24:33.226673,2025-12-21 23:24:36.529892,0 days 00:00:03.303219,64,256,0.1242713337783698,1536,,1,mse,0.0013852248750408948,8,4.1918037146860975e-07,1.5865178108215332,-0.44064950942993164,1.7902679443359375,-0.14556867306429017,PRUNED
6,0.6060794556233198,2025-12-21 23:24:36.530066,2025-12-21 23:25:14.862370,0 days 00:00:38.332304,64,128,0.13108986038316278,512,2.555735590553575,2,huber,0.0003842759110594669,4,0.00014252183604155776,1.097813606262207,0.014087438583374023,1.4810101985931396,0.3967482596353172,COMPLETE
7,0.7128769714694695,2025-12-21 23:25:14.862603,2025-12-21 23:26:24.366444,0 days 00:01:09.503841,32,128,0.3376757948965395,1024,0.6848876672612122,4,huber,1.7660019081435217e-05,4,2.759110173608607e-07,1.2020787000656128,0.010490357875823975,1.4837095737457275,0.6984096777658209,COMPLETE
8,-0.24245690252169433,2025-12-21 23:26:24.366666,2025-12-21 23:26:27.387135,0 days 00:00:03.020469,64,256,0.1776706016722266,1024,,2,mse,1.1680320686771937e-05,4,2.4788430869594297e-09,4.3397088050842285,-8.479247093200684,4.592252731323242,-0.24245690252169433,PRUNED
9,0.6072197837767945,2025-12-21 23:26:27.387295,2025-12-21 23:27:09.469957,0 days 00:00:42.082662,32,256,0.23874942254637432,256,,4,mse,3.033834603123269e-05,8,1.2464162089819812e-09,1.1792978048324585,0.0103224515914917,1.4838353395462036,0.5274034236315553,COMPLETE
