number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
0,0.39600690315293274,2025-12-22 01:19:23.378019,2025-12-22 01:19:25.127514,0 days 00:00:01.749495,0.06095433687067153,0.8017882919973174,180,3.612169395674777,2.0738634442403135e-08,0.21682147593517548,5,0.7970253633035344,1433,0.6232691302679988,0.9214914441108704,0.1458907127380371,1.3784645795822144,0.39600690315293274,COMPLETE
1,0.3914399494484175,2025-12-22 01:19:25.127710,2025-12-22 01:19:25.367180,0 days 00:00:00.239470,0.0006589442331695551,0.7080833049631696,132,3.4853745752514587,0.008545304151666145,0.025009517027268172,4,0.8507808265438087,1240,0.5306919644859354,0.9344691634178162,0.14548230171203613,1.3787940740585327,0.3914399494484175,COMPLETE
2,0.2076590577973949,2025-12-22 01:19:25.367314,2025-12-22 01:19:25.840732,0 days 00:00:00.473418,1.6620565119639486e-05,0.31751197260033265,168,7.335532651810166,2.4322662840887935e-10,0.0016367831689942764,13,0.21728483323027736,1747,0.7588588080175466,1.066121220588684,0.020395994186401367,1.4762643575668335,0.2076590577973949,COMPLETE
3,0.0,2025-12-22 01:19:25.840852,2025-12-22 01:19:25.978618,0 days 00:00:00.137766,0.000357195250149106,0.499315101270254,182,5.650370464732887,0.04298470671853412,0.1352607585121167,11,290.57192581948215,1279,0.5782969533781479,1.1208627223968506,-0.0202486515045166,1.5065789222717285,0.0,COMPLETE
4,0.44168710477920786,2025-12-22 01:19:25.978730,2025-12-22 01:19:27.912491,0 days 00:00:01.933761,0.008059716883710082,0.9592919756222935,108,0.8573032205764863,9.351343489691912e-08,0.002339160746783549,7,0.03841163965115605,1394,0.6743849544087557,0.9033547043800354,0.17631655931472778,1.353689432144165,0.44168710477920786,COMPLETE
5,0.41128165931887756,2025-12-22 01:19:27.912726,2025-12-22 01:19:28.754487,0 days 00:00:00.841761,9.112571658521739e-06,0.8969703031928804,86,4.1756248161959615,28.03727773024698,0.006862514144523088,6,60.86121293334072,1246,0.9615680437923673,0.9607623219490051,0.15280908346176147,1.3728703260421753,0.41128165931887756,COMPLETE
6,0.22326815627527105,2025-12-22 01:19:28.754621,2025-12-22 01:19:28.997405,0 days 00:00:00.242784,0.12016435173015108,0.401492025160085,183,9.639387232567364,0.00010128371436518545,0.005287591928195256,3,0.12837913762961461,1730,0.9174106822437795,1.0576343536376953,0.02803516387939453,1.4704970121383667,0.22326815627527105,COMPLETE
7,0.34005907656214357,2025-12-22 01:19:28.997520,2025-12-22 01:19:30.187130,0 days 00:00:01.189610,3.52015777754587e-07,0.6579475056408894,147,2.255134244956707,2.8817282521752245,0.003496556555166391,10,0.01580256767120501,1395,0.7966282698947404,0.9387890696525574,0.10126703977584839,1.4140156507492065,0.34005907656214357,COMPLETE
8,0.2652304126012329,2025-12-22 01:19:30.187334,2025-12-22 01:19:30.749113,0 days 00:00:00.561779,0.00014403532006014818,0.9426723463969118,197,5.907042156752653,20.170050763665074,0.006073420099802334,10,22.763353373026423,830,0.5507374161802938,1.0343488454818726,0.0553322434425354,1.449700951576233,0.2652304126012329,COMPLETE
9,0.32472134998562163,2025-12-22 01:19:30.749261,2025-12-22 01:19:30.826363,0 days 00:00:00.077102,0.00968248206246131,0.8663346599688875,68,6.387698738853747,34.17057561531981,0.08255616775293159,9,137.0850889062337,1600,0.90427346327337,1.0380929708480835,0.05571013689041138,1.4494109153747559,0.32472134998562163,COMPLETE
10,0.13365485653344572,2025-12-22 01:19:30.826472,2025-12-22 01:19:30.877765,0 days 00:00:00.051293,41.345162941541176,0.9867240197331614,26,0.02247548450242398,3.5221897267959586e-07,0.001122361413256743,16,0.005044156025802264,107,0.6505120796893675,1.1220667362213135,-0.02068614959716797,1.5069018602371216,0.13365485653344572,COMPLETE
11,0.5226470983769174,2025-12-22 01:19:30.877878,2025-12-22 01:19:31.345273,0 days 00:00:00.467395,2.4697921121087713e-10,0.8063212212040267,89,0.05394407897902487,2.59438267203002e-06,0.015830300779165016,7,9.470213159101451,817,0.9955533531226803,0.8399197459220886,0.18547183275222778,1.3461452722549438,0.5226470983769174,COMPLETE
12,0.3627202064758325,2025-12-22 01:19:31.345383,2025-12-22 01:19:31.665118,0 days 00:00:00.319735,2.9847474621921324e-10,0.7739401289564146,101,0.2037777114607877,2.9959148714872932e-06,0.028423188676428138,6,6.7107794054121666,661,0.7018274655793959,0.9242939352989197,0.08002418279647827,1.4306291341781616,0.3627202064758325,COMPLETE
13,0.3545395914617747,2025-12-22 01:19:31.665232,2025-12-22 01:19:32.037347,0 days 00:00:00.372115,1.5101538265023685e-10,0.5600550666458107,54,1.4811547423776392,3.9571024721514616e-09,0.01328545403975694,8,0.001058227341348754,443,0.8313476796589231,0.9385790228843689,0.09408724308013916,1.4196525812149048,0.3545395914617747,COMPLETE
14,0.3422908069140361,2025-12-22 01:19:32.037452,2025-12-22 01:19:32.142388,0 days 00:00:00.104936,2.982822292935753e-08,0.810901520666118,114,1.786504080135906,2.353728733471735e-05,0.06018801657059134,2,3.785732073207598,915,0.9952749392407387,0.9480504989624023,0.08560365438461304,1.4262843132019043,0.3422908069140361,COMPLETE
15,0.3084405863704358,2025-12-22 01:19:32.142490,2025-12-22 01:19:33.352958,0 days 00:00:01.210468,14.014061924537488,0.9803626332519149,76,0.7855031117176052,0.00046353866453415735,0.002171197842436828,7,0.04829881052210113,1916,0.7140326259483272,1.0281438827514648,0.05597490072250366,1.4492077827453613,0.3084405863704358,COMPLETE
16,0.3323808669954138,2025-12-22 01:19:33.353070,2025-12-22 01:19:33.817738,0 days 00:00:00.464668,2.7898262774437863e-08,0.7093964724974997,117,2.6091517623619325,8.437909164864523e-08,0.012946263969107549,8,3.5926575234550535,554,0.8223942341031241,0.9496584534645081,0.09743160009384155,1.417029619216919,0.3323808669954138,COMPLETE
17,0.431952999237228,2025-12-22 01:19:33.817862,2025-12-22 01:19:33.970497,0 days 00:00:00.152635,1.0345753421653563,0.8635892229114239,45,1.1387282451676348,1.1567103824851051e-06,0.046246163063848,12,0.012118032061739876,1122,0.6531872790165345,0.9097495079040527,0.16257083415985107,1.3649379014968872,0.431952999237228,COMPLETE
18,0.5635865317361576,2025-12-22 01:19:33.970596,2025-12-22 01:19:34.434467,0 days 00:00:00.463871,2.141743056211819e-07,0.5759305024880269,145,2.7963117667553155,0.002456265989954199,0.0029630227343546986,14,16.486731352419124,340,0.8766785836275921,0.916779637336731,0.14866387844085693,1.3762248754501343,0.5635865317361576,COMPLETE
19,0.5645615949398533,2025-12-22 01:19:34.434573,2025-12-22 01:19:34.724622,0 days 00:00:00.290049,3.2324677251999943e-09,0.5655295799410373,147,2.796921240602051,0.006610732377332415,0.009462545334732498,15,23.35492453420052,243,0.8839258104968927,0.8478999733924866,0.20681357383728027,1.3283928632736206,0.5645615949398533,COMPLETE
20,0.46395159881342735,2025-12-22 01:19:34.724725,2025-12-22 01:19:34.802725,0 days 00:00:00.078000,5.81626913194919e-09,0.5619276886059811,145,4.7406642939112364,0.09590770055551667,0.00977165283048364,16,37.219895951621176,61,0.8728509185649914,1.050036072731018,0.04820537567138672,1.4551591873168945,0.46395159881342735,COMPLETE
