number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_huber_delta,params_kernel,params_layers,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
0,0.4765445192174409,2025-12-21 04:23:55.405084,2025-12-21 04:42:43.147006,0 days 00:18:47.741922,32,128,0.11128655019558592,0.575392020889909,5,4,huber,3.0801139091867444e-05,8.677441128898121e-08,0.7336195707321167,0.02109706401824951,1.108859896659851,0.4666452089099095,COMPLETE
1,0.5127653145518352,2025-12-21 04:42:43.147297,2025-12-21 05:02:10.972228,0 days 00:19:27.824931,16,512,0.3236405910593993,1.3041116133988486,3,1,huber,0.00014938291420884652,2.21027380096716e-06,0.7437950968742371,-0.08917021751403809,1.1696467399597168,0.510666891839555,COMPLETE
2,0.49437111837280445,2025-12-21 05:02:10.972481,2025-12-21 05:13:28.812565,0 days 00:11:17.840084,64,512,0.06148578453757958,3.29423449715452,3,4,huber,0.0024791854757306732,1.58305244783095e-08,0.770125687122345,0.01179581880569458,1.1141154766082764,0.4562558332318175,COMPLETE
3,0.5191222138529861,2025-12-21 05:13:28.812805,2025-12-21 05:33:16.082783,0 days 00:19:47.269978,64,128,0.48739128439309576,3.7807173643611693,3,4,huber,0.0007118739611510528,1.0003943039646628e-07,0.7710682153701782,0.024673879146575928,1.1068321466445923,0.4698305042830033,COMPLETE
4,0.4773951398527748,2025-12-21 05:33:16.083027,2025-12-21 05:56:47.304328,0 days 00:23:31.221301,16,128,0.13263192435665294,1.5799226888097997,7,4,huber,1.1543508502628013e-05,2.75591758124695e-06,0.7733831405639648,-0.022568941116333008,1.1333215236663818,0.47280151023603983,COMPLETE
5,0.3485888955485756,2025-12-21 05:56:47.304587,2025-12-21 05:58:36.515845,0 days 00:01:49.211258,32,512,0.23156347088029777,,3,4,mse,0.0007520511304750054,1.756255210539351e-05,0.7951232194900513,-0.03339183330535889,1.1393033266067505,0.3485888955485756,PRUNED
6,0.4400165048810972,2025-12-21 05:58:36.516029,2025-12-21 06:04:45.000032,0 days 00:06:08.484003,16,512,0.17330194089865603,,7,2,mse,2.3812860890485782e-05,0.0009251124722051463,0.7378740906715393,0.05621981620788574,1.0887852907180786,0.4400165048810972,PRUNED
7,0.5284506424853971,2025-12-21 06:04:45.000204,2025-12-21 06:28:46.137583,0 days 00:24:01.137379,16,256,0.384866710095613,1.5565172933366764,5,3,huber,3.457183034459368e-05,0.00014016354814595645,0.7116582989692688,-0.02816784381866455,1.1364200115203857,0.5147443933858892,COMPLETE
8,-0.08505149944663867,2025-12-21 06:28:46.137840,2025-12-21 06:29:07.188683,0 days 00:00:21.050843,64,128,0.07119215665291129,,3,2,mse,1.0372009078348646e-05,6.937451895080809e-10,5.10257625579834,-20.747888565063477,5.226553440093994,-0.08505149944663867,PRUNED
9,0.21053701202053193,2025-12-21 06:29:07.188850,2025-12-21 06:29:33.501654,0 days 00:00:26.312804,16,256,0.36828305687789936,,5,2,mse,2.4709928872769212e-05,3.91038823119171e-09,0.8866651058197021,-0.24863207340240479,1.252345323562622,0.21053701202053193,PRUNED
10,0.5436128873618884,2025-12-21 06:29:33.501831,2025-12-21 06:43:49.079822,0 days 00:14:15.577991,16,256,0.4795582577520192,0.8605386298616639,5,3,huber,0.00010095377408710691,0.0009526499645910637,0.7291844487190247,-0.11847341060638428,1.1852765083312988,0.5255452711233028,COMPLETE
11,0.5575267259214792,2025-12-21 06:43:49.080074,2025-12-21 07:03:18.398325,0 days 00:19:29.318251,16,256,0.48016567914745895,0.8012831981922593,5,3,huber,0.00010387649420679961,0.006786502804663228,0.7020190954208374,0.09344416856765747,1.067097544670105,0.5328117349776494,COMPLETE
12,0.5605051142092636,2025-12-21 07:03:18.398578,2025-12-21 07:28:01.203915,0 days 00:24:42.805337,16,256,0.4893034346350855,0.6737535761666701,5,3,huber,0.00011168212815638422,0.007397986974240624,0.7064933180809021,0.044229090213775635,1.0956801176071167,0.5339705316365317,COMPLETE
13,0.42384039450517863,2025-12-21 07:28:01.204152,2025-12-21 07:31:21.550223,0 days 00:03:20.346071,16,256,0.42619302120542935,0.5170088840280959,5,3,huber,8.471835235111561e-05,0.007091558734333164,0.7876070737838745,-0.07925498485565186,1.1643106937408447,0.42384039450517863,PRUNED
14,0.6062826538359598,2025-12-21 07:31:21.550407,2025-12-21 07:56:16.001845,0 days 00:24:54.451438,16,256,0.2952765971666592,0.9335356659966275,5,3,huber,0.00032063382739979036,0.00797814392014056,0.7441635727882385,0.0858657956123352,1.071548581123352,0.570552499842698,COMPLETE
15,0.4021825108137922,2025-12-21 07:56:16.002089,2025-12-21 07:58:58.599879,0 days 00:02:42.597790,32,256,0.2860426155757492,0.9365498451543255,5,1,huber,0.00042423242929294296,7.095171553924159e-05,0.757206916809082,-0.012166261672973633,1.1275421380996704,0.4021825108137922,PRUNED
