number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
0,0.4103296538743209,2025-12-22 11:15:59.163003,2025-12-22 11:16:03.598030,0 days 00:00:04.435027,2.284617913350997e-06,0.7539455336972533,1630,random,0.003835148213588381,0.8070406913757324,-0.03288102149963379,1.1390217542648315,0.4103296538743209,COMPLETE
1,0.0,2025-12-22 11:16:03.598281,2025-12-22 11:16:03.619484,0 days 00:00:00.021203,9.425607102366223,0.6626993176187067,17694,random,0.0005427437264182731,0.8447152972221375,-0.04399573802947998,1.1451337337493896,0.0,COMPLETE
2,0.0,2025-12-22 11:16:03.619606,2025-12-22 11:16:03.639806,0 days 00:00:00.020200,1.218471908914609,0.9480476275430798,8391,cyclic,0.002935426978545943,0.8447152972221375,-0.04399573802947998,1.1451337337493896,0.0,COMPLETE
3,0.28875384573333024,2025-12-22 11:16:03.639918,2025-12-22 11:16:04.263390,0 days 00:00:00.623472,0.11303919253164209,0.5015483175381976,14047,random,6.049478210341124e-05,0.7930715680122375,0.04839015007019043,1.0932923555374146,0.28875384573333024,COMPLETE
4,0.3646567211438726,2025-12-22 11:16:04.263497,2025-12-22 11:17:18.357807,0 days 00:01:14.094310,7.562361033003313e-06,0.3712964769295307,4386,cyclic,9.237560585331417e-06,0.9790422916412354,-0.5563490390777588,1.3981711864471436,0.3646567211438726,COMPLETE
5,0.0,2025-12-22 11:17:18.358132,2025-12-22 11:17:18.382472,0 days 00:00:00.024340,5.276352000238959,0.7252849098186717,7284,cyclic,0.0004619673749674722,0.8447152972221375,-0.04399573802947998,1.1451337337493896,0.0,COMPLETE
6,0.42455160481766874,2025-12-22 11:17:18.382591,2025-12-22 11:17:19.993160,0 days 00:00:01.610569,7.150815929893408e-05,0.9533333294979169,2669,random,0.006279222463716709,0.787616491317749,0.011306226253509521,1.1143914461135864,0.42455160481766874,COMPLETE
7,0.42157132027109134,2025-12-22 11:17:19.993283,2025-12-22 11:17:21.604311,0 days 00:00:01.611028,2.364599439843339e-05,0.047507806828346655,11650,random,0.007056345144521316,0.7913674712181091,0.003748178482055664,1.118642807006836,0.42157132027109134,COMPLETE
8,0.4415139057714707,2025-12-22 11:17:21.604536,2025-12-22 11:20:27.127937,0 days 00:03:05.523401,0.012861076413735592,0.07883236626430479,11250,cyclic,3.7506021529376e-05,0.7557694911956787,0.0650988221168518,1.0836516618728638,0.4415139057714707,COMPLETE
9,0.36248108178404687,2025-12-22 11:20:27.128159,2025-12-22 11:20:28.032392,0 days 00:00:00.904233,0.1315368379294768,0.11725958915798984,11552,random,3.150472851661079e-05,0.7672470808029175,0.05602729320526123,1.08889639377594,0.36248108178404687,COMPLETE
