number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
0,0.4369539606338285,2025-12-21 04:23:19.347853,2025-12-21 04:47:49.980012,0 days 00:24:30.632159,16,0.2169640209282997,2048,,mse,1.4332164884685349e-05,0.003960395056186835,0.7407804131507874,0.07125723361968994,1.0800766944885254,0.42994911525768553,COMPLETE
1,0.4444647487379795,2025-12-21 04:47:49.980309,2025-12-21 05:06:42.048897,0 days 00:18:52.068588,32,0.18669562728663963,2048,,mse,3.544712243994723e-05,6.957899300782994e-08,0.7507746815681458,0.07030868530273438,1.0806280374526978,0.4316987773796713,COMPLETE
2,0.46752927053542664,2025-12-21 05:06:42.049146,2025-12-21 05:28:10.540539,0 days 00:21:28.491393,16,0.04560545125841525,2048,1.007480357479476,huber,2.932643772000347e-05,1.4687929527428498e-09,0.7186911702156067,0.06995946168899536,1.0808309316635132,0.45867894836652456,COMPLETE
3,0.417640617200236,2025-12-21 05:28:10.540786,2025-12-21 05:47:42.187502,0 days 00:19:31.646716,64,0.4818997006311724,512,,mse,0.00013485147122861728,2.6313801431223497e-10,0.7514416575431824,0.0459820032119751,1.094674825668335,0.41090479634379123,COMPLETE
4,0.5221504103612197,2025-12-21 05:47:42.187752,2025-12-21 06:12:30.497889,0 days 00:24:48.310137,16,0.137963068623786,256,,mse,0.0020183993687540283,3.967475407895611e-07,0.7165746092796326,0.10675877332687378,1.0592323541641235,0.5169054049002981,COMPLETE
5,0.4967865538998883,2025-12-21 06:12:30.498136,2025-12-21 06:31:28.065310,0 days 00:18:57.567174,16,0.2719029670774907,2048,2.277505319244367,huber,0.0003854617355251075,3.364484367261842e-06,0.7186540365219116,0.06244933605194092,1.0851861238479614,0.4935103523281226,COMPLETE
6,0.49555625994044217,2025-12-21 06:31:28.065555,2025-12-21 06:45:48.791611,0 days 00:14:20.726056,32,0.027823058096356046,256,0.540956750771038,huber,0.0013954834848376061,0.0011926931034896484,0.7049466967582703,-0.02123892307281494,1.1325843334197998,0.4897942989166046,COMPLETE
7,-0.014496772178920703,2025-12-21 06:45:48.791839,2025-12-21 06:46:11.742430,0 days 00:00:22.950591,32,0.16725226664849985,2048,,mse,1.3071370147937385e-05,0.0010767950409856315,0.9939178228378296,-0.5008200407028198,1.3730019330978394,-0.014496772178920703,PRUNED
8,0.3954976228730869,2025-12-21 06:46:11.742607,2025-12-21 06:51:24.673800,0 days 00:05:12.931193,64,0.4932621219155809,1024,0.6972333934652676,huber,0.0004766321775508329,1.1111961322927282e-05,0.742082953453064,-0.004684090614318848,1.1233668327331543,0.3954976228730869,PRUNED
9,0.48948209855445235,2025-12-21 06:51:24.673968,2025-12-21 07:03:52.372365,0 days 00:12:27.698397,32,0.23789751957888555,256,0.7847378434073331,huber,0.00198254489688198,8.306789208882621e-07,0.7166799306869507,0.014309465885162354,1.1126976013183594,0.4621414359383881,COMPLETE
10,0.21618284029733117,2025-12-21 07:03:52.372598,2025-12-21 07:04:19.357707,0 days 00:00:26.985109,16,0.34694712806661776,256,,mse,0.00013395313604579965,1.8630838830980797e-08,0.8545221090316772,-0.12058758735656738,1.1863962411880493,0.21618284029733117,PRUNED
11,0.31440088309949665,2025-12-21 07:04:19.357871,2025-12-21 07:05:07.475387,0 days 00:00:48.117516,16,0.3392899418935764,512,3.4251391519110035,huber,0.0006050956514583776,1.4305921011150671e-05,0.7997099757194519,-0.008581042289733887,1.1255433559417725,0.31440088309949665,PRUNED
12,0.4868598930861713,2025-12-21 07:05:07.475554,2025-12-21 07:25:20.347138,0 days 00:20:12.871584,16,0.12659623727111716,1024,2.398498133694499,huber,0.0004799907361747128,1.2352192198156331e-05,0.8102499842643738,-0.11988997459411621,1.1860268115997314,0.4697769667774496,COMPLETE
