number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_huber_delta,params_layers,params_loss,params_lr,params_nhead,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
0,0.5105078985172723,2025-12-21 14:58:42.552995,2025-12-21 15:08:04.659960,0 days 00:09:22.106965,32,384,0.15227260553732425,1536,1.052794107354928,1,huber,8.769668526190977e-05,8,1.3344391459891738e-07,0.7673017382621765,0.009471714496612549,1.1154247522354126,0.4731141865327971,COMPLETE
1,0.4937614037902208,2025-12-21 15:08:04.660246,2025-12-21 15:24:30.325704,0 days 00:16:25.665458,32,128,0.1477905094725276,1024,,2,mse,0.0002056089903016262,8,2.8114966161376326e-08,0.9553762674331665,-0.36627626419067383,1.3100144863128662,0.44005055422573985,COMPLETE
2,0.4937409689716302,2025-12-21 15:24:30.325948,2025-12-21 15:36:22.645137,0 days 00:11:52.319189,32,384,0.05982656321662777,256,1.3776000806825401,4,huber,0.00038533421523473345,8,1.0494990461492196e-08,0.7503299713134766,0.07762610912322998,1.076366901397705,0.4387482107427253,COMPLETE
3,0.49183260382357513,2025-12-21 15:36:22.645393,2025-12-21 15:47:47.472065,0 days 00:11:24.826672,32,256,0.4904275216836308,256,1.105116808726931,4,huber,9.215651201394623e-05,4,2.3391016324927704e-08,1.4995559453964233,-1.3307971954345703,1.7110357284545898,0.4641909479516231,COMPLETE
4,0.5151876484428068,2025-12-21 15:47:47.472313,2025-12-21 16:01:34.318086,0 days 00:13:46.845773,16,256,0.36309952160683023,1536,,1,mse,0.00034843659402730286,4,0.007290950768623167,1.5191600322723389,-1.3814551830291748,1.729529857635498,0.5036333219551397,COMPLETE
5,0.3831651237286801,2025-12-21 16:01:34.318332,2025-12-21 16:05:29.845169,0 days 00:03:55.526837,16,384,0.22047851542990304,1536,,1,mse,0.0005558609752674673,8,3.5617878163383474e-10,0.884198009967804,-0.06685507297515869,1.1576027870178223,0.3831651237286801,PRUNED
6,0.17876872596363957,2025-12-21 16:05:29.845364,2025-12-21 16:05:51.851504,0 days 00:00:22.006140,64,256,0.15346863918710923,1536,1.5331239145485525,4,huber,4.421324083626999e-05,4,1.4874197525800207e-09,0.8284000754356384,-0.0014801025390625,1.1215741634368896,0.17876872596363957,PRUNED
7,0.2740577761709139,2025-12-21 16:05:51.851670,2025-12-21 16:06:13.346306,0 days 00:00:21.494636,64,256,0.11018871337158193,256,2.625218435921245,4,huber,0.0006144798821164496,8,1.0901045467764964e-05,0.8010208606719971,0.06625944375991821,1.0829788446426392,0.2740577761709139,PRUNED
8,0.023709224857412746,2025-12-21 16:06:13.346480,2025-12-21 16:06:34.614918,0 days 00:00:21.268438,64,128,0.1671664134578677,1536,,2,mse,3.117118836326928e-05,8,0.0009231416490671779,0.8690178394317627,-0.14206242561340332,1.1977101564407349,0.023709224857412746,PRUNED
9,0.3133432207052689,2025-12-21 16:06:34.615087,2025-12-21 16:06:57.085549,0 days 00:00:22.470462,32,256,0.02462931836068416,512,,3,mse,0.00036325844252499184,4,8.981449545592744e-05,0.8899094462394714,-0.2469465732574463,1.2514997720718384,0.3133432207052689,PRUNED
