number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.9107551487409189,2025-12-20 12:19:54.334668,2025-12-20 12:22:07.195069,0 days 00:02:12.860401,64,128,0.3602036379794614,5,3,0.0003884901655581022,4.851152625779381e-08,0.9493268303538314,0.8839285714280715,0.5073395371437073,COMPLETE
1,0.8779443254813002,2025-12-20 12:22:07.196431,2025-12-20 12:23:34.448056,0 days 00:01:27.251625,32,256,0.020659497222846268,5,2,2.3885608494147504e-05,1.2063411518755773e-07,0.9372450114976634,0.8733624454143477,0.364754319190979,COMPLETE
2,0.9132420091319201,2025-12-20 12:23:34.448928,2025-12-20 12:27:15.612042,0 days 00:03:41.163114,16,256,0.49585118755019314,7,4,0.0026398056604724405,0.0002145921924107385,0.9592203842444922,0.8982300884950754,0.37784215807914734,COMPLETE
3,0.8938053097340135,2025-12-20 12:27:15.612648,2025-12-20 12:31:38.256355,0 days 00:04:22.643707,32,128,0.011206172803945036,7,3,2.656101496196526e-05,0.0005538644350938629,0.9542318819078703,0.8855291576668876,0.3831125497817993,COMPLETE
4,0.9082969432309416,2025-12-20 12:31:38.256849,2025-12-20 12:36:45.306034,0 days 00:05:07.049185,64,128,0.005367007740643193,3,4,0.0005961191403835197,3.06727306414717e-08,0.9625491432386322,0.9024943310652596,0.7781839966773987,COMPLETE
5,0.8662420382160624,2025-12-20 12:36:45.306589,2025-12-20 12:37:25.059329,0 days 00:00:39.752740,32,256,0.1504197739388778,5,3,3.7764104280081294e-05,4.2181628953011116e-07,0.9317743490838959,0.8662420382160624,0.4225212335586548,PRUNED
6,0.8760683760678776,2025-12-20 12:37:25.059835,2025-12-20 12:38:52.603611,0 days 00:01:27.543776,16,512,0.12792757222505524,7,4,2.8777828648842847e-05,1.6900741306113226e-06,0.9486499517839923,0.8760683760678776,0.45168542861938477,PRUNED
7,0.9220489977723286,2025-12-20 12:38:52.604000,2025-12-20 12:42:37.007810,0 days 00:03:44.403810,16,256,0.2073532637068441,3,3,0.001394688942906519,2.1493219364866592e-05,0.9557154513760107,0.9095022624429389,0.7083595395088196,COMPLETE
8,0.9107142857137857,2025-12-20 12:42:37.008237,2025-12-20 12:46:45.071672,0 days 00:04:08.063435,16,128,0.4983674386420627,7,2,0.0006292927959951993,0.004630262474850585,0.9554001928640309,0.897025171624214,0.7997685074806213,COMPLETE
9,0.8701298701293709,2025-12-20 12:46:45.072184,2025-12-20 12:47:18.996132,0 days 00:00:33.923948,16,128,0.3110271020654015,3,1,0.00048643442801845054,2.1431608034972475e-08,0.9415473629552704,0.8701298701293709,0.6033919453620911,PRUNED
10,0.9140271493207669,2025-12-20 12:47:18.996621,2025-12-20 12:50:26.888727,0 days 00:03:07.892106,16,512,0.20008901177473265,3,1,0.002920238227330704,3.082571149740852e-05,0.9618166308137379,0.9074492099317799,0.5858146548271179,COMPLETE
11,0.9144144144139142,2025-12-20 12:50:26.889300,2025-12-20 12:54:31.123442,0 days 00:04:04.234142,16,512,0.20562460371010316,3,1,0.0028466987840680643,3.8179874749541284e-05,0.9486221348564647,0.8947368421047647,0.9804240465164185,COMPLETE
12,0.8615384615379619,2025-12-20 12:54:31.123952,2025-12-20 12:54:46.454541,0 days 00:00:15.330589,16,512,0.2751898618197427,3,2,0.0013656921166439217,1.0731881823905152e-05,0.9337771678658854,0.8615384615379619,0.3366595506668091,PRUNED
13,0.8726513569932399,2025-12-20 12:54:46.454946,2025-12-20 12:55:42.575944,0 days 00:00:56.120998,16,512,0.21463632662983678,3,1,0.0001151213217336754,9.357795794254037e-05,0.9378384392849196,0.8726513569932399,0.2045527994632721,PRUNED
14,0.8447204968939136,2025-12-20 12:55:42.576345,2025-12-20 12:55:50.219920,0 days 00:00:07.643575,16,256,0.11536096756725313,3,2,0.001339457283322877,2.4523012049659097e-06,0.9204992211260292,0.8447204968939136,0.3405812084674835,PRUNED
15,0.8392857142852144,2025-12-20 12:55:50.220325,2025-12-20 12:55:57.497437,0 days 00:00:07.277112,64,512,0.3510838135750589,3,3,0.00015902150809358865,0.0014527864099226954,0.9166790297455678,0.8392857142852144,0.37434911727905273,PRUNED
16,0.8505263157889761,2025-12-20 12:55:57.497838,2025-12-20 12:56:05.225274,0 days 00:00:07.727436,16,256,0.08649058087922434,3,1,0.0014738451138359616,2.9665288545766502e-05,0.922316593724501,0.8505263157889761,0.1682824194431305,PRUNED
17,0.8187633262255144,2025-12-20 12:56:05.225678,2025-12-20 12:56:13.414199,0 days 00:00:08.188521,16,256,0.21819123560369702,3,2,1.0315330114745039e-05,1.9966540057649434e-06,0.8881944959572731,0.8187633262255144,0.49437111616134644,PRUNED
18,0.849894291754259,2025-12-20 12:56:13.414606,2025-12-20 12:56:20.519532,0 days 00:00:07.104926,64,512,0.2768502570013507,3,3,0.000284594245629077,9.564770460853755e-05,0.9244306802166011,0.849894291754259,0.42640483379364014,PRUNED
19,0.9123595505612977,2025-12-20 12:56:20.519971,2025-12-20 13:00:21.618618,0 days 00:04:01.098647,32,256,0.4202171531600425,5,4,0.0010309254610338281,9.096080528371209e-06,0.9406850382019138,0.880851063829289,0.43608903884887695,COMPLETE
20,0.9078651685388258,2025-12-20 13:00:21.619168,2025-12-20 13:02:23.719180,0 days 00:02:02.100012,16,512,0.17742177890179317,3,1,0.002279552250496746,0.008006193399804878,0.9583116979452562,0.8965517241374311,0.7265305519104004,COMPLETE
21,0.8607068607063638,2025-12-20 13:02:23.720390,2025-12-20 13:02:31.648080,0 days 00:00:07.927690,16,512,0.21263729286563876,3,1,0.0029671785285458347,2.208803238735366e-05,0.935761442029523,0.8607068607063638,0.17642271518707275,PRUNED
22,0.9074492099317799,2025-12-20 13:02:31.648473,2025-12-20 13:05:31.078537,0 days 00:02:59.430064,16,512,0.1787407478344054,3,1,0.0008723902248989019,0.00010570559464421205,0.960741042949336,0.9044289044284048,0.4210282862186432,COMPLETE
23,0.8607594936703883,2025-12-20 13:05:31.079043,2025-12-20 13:05:56.391950,0 days 00:00:25.312907,16,512,0.0709842662327067,3,2,0.002960990009888822,2.783997226563994e-05,0.9292522809880572,0.8607594936703883,0.5100377798080444,PRUNED
24,0.8565400843876878,2025-12-20 13:05:56.392319,2025-12-20 13:06:04.328194,0 days 00:00:07.935875,16,512,0.24640694744231292,3,1,0.001795171946839284,4.9922868462757e-06,0.923763073955938,0.8565400843876878,0.5720583200454712,PRUNED
25,0.8808988764039942,2025-12-20 13:06:04.328587,2025-12-20 13:07:07.833507,0 days 00:01:03.504920,16,512,0.3107179872993221,3,2,0.000991751744965047,4.6080102228243133e-07,0.9492248349528967,0.8808988764039942,0.24508188664913177,PRUNED
26,0.8577494692139391,2025-12-20 13:07:07.833929,2025-12-20 13:07:15.734986,0 days 00:00:07.901057,16,256,0.16263361931409606,3,3,0.0002726583298305308,0.00042788517237707683,0.9193309101698688,0.8577494692139391,0.3926401734352112,PRUNED
27,0.8591224018470752,2025-12-20 13:07:15.735386,2025-12-20 13:07:24.144585,0 days 00:00:08.409199,16,512,0.25284530572984915,3,1,0.0019411766946331873,4.7232238534928495e-05,0.9296602625917959,0.8591224018470752,0.3810032606124878,PRUNED
28,0.8427947598248281,2025-12-20 13:07:24.144955,2025-12-20 13:07:31.829383,0 days 00:00:07.684428,32,512,0.06076237712901969,5,2,5.9278818813114395e-05,0.0013623168150166823,0.9157147095912765,0.8427947598248281,0.43629521131515503,PRUNED
29,0.860125260959837,2025-12-20 13:07:31.829817,2025-12-20 13:08:01.958270,0 days 00:00:30.128453,64,256,0.388995811655496,7,3,0.0007828038179234296,8.549018331896628e-06,0.9409910244047178,0.860125260959837,0.18513339757919312,PRUNED
30,0.8412371134015658,2025-12-20 13:08:01.958667,2025-12-20 13:08:09.961470,0 days 00:00:08.002803,64,128,0.19556738164538207,5,1,0.00037662257161722167,7.479477409653846e-07,0.9158630665380907,0.8412371134015658,0.4854317903518677,PRUNED
31,0.8259109311735946,2025-12-20 13:08:09.962429,2025-12-20 13:08:17.983332,0 days 00:00:08.020903,16,256,0.4475471321467567,7,4,0.002326287633822864,0.0003023135886208527,0.8915696164972925,0.8259109311735946,0.4247773289680481,PRUNED
32,0.8583690987119478,2025-12-20 13:08:17.983735,2025-12-20 13:08:26.215961,0 days 00:00:08.232226,16,256,0.33535626267715357,7,4,0.001917514833042679,0.00013519960442942122,0.9287330316742082,0.8583690987119478,0.4696458876132965,PRUNED
33,0.8198757763970193,2025-12-20 13:08:26.216351,2025-12-20 13:08:33.882784,0 days 00:00:07.666433,16,256,0.2517104117974918,7,4,0.0029961429131591154,0.00029644552443036946,0.9034752614791187,0.8198757763970193,0.44090428948402405,PRUNED
34,0.8492569002118161,2025-12-20 13:08:33.883219,2025-12-20 13:08:41.652941,0 days 00:00:07.769722,32,256,0.48594687977728235,7,3,0.0012186782732135494,0.001178620427370101,0.9161412358133669,0.8492569002118161,0.20127984881401062,PRUNED
35,0.8858447488579476,2025-12-20 13:08:41.653346,2025-12-20 13:09:46.767887,0 days 00:01:05.114541,16,256,0.11626358927228603,7,3,0.001695953130694212,5.0121813539722354e-05,0.9468882130405756,0.8858447488579476,0.5294197201728821,PRUNED
36,0.8659340659335664,2025-12-20 13:09:46.768883,2025-12-20 13:10:52.554160,0 days 00:01:05.785277,16,128,0.2332923676608793,5,4,0.0021508687193266215,0.00019755628982284003,0.9327850307840665,0.8659340659335664,0.5722772479057312,PRUNED
37,0.9154013015179391,2025-12-20 13:10:52.554617,2025-12-20 13:14:24.278116,0 days 00:03:31.723499,32,256,0.13909458695923893,7,2,0.0006735675986723008,1.5997973194048378e-05,0.9585527779838292,0.9132420091319201,0.967322051525116,COMPLETE
38,0.9279279279274278,2025-12-20 13:14:24.278671,2025-12-20 13:19:19.939689,0 days 00:04:55.661018,32,256,0.14299889017563588,7,2,0.0006805038675719076,3.828265226735556e-06,0.9657017283584304,0.9179600886912961,0.5047223567962646,COMPLETE
39,0.9094922737301847,2025-12-20 13:19:19.940303,2025-12-20 13:21:22.092731,0 days 00:02:02.152428,32,256,0.1439775307802631,7,2,0.0006382766794742035,1.1745346465958297e-07,0.9633372895185817,0.9026548672561373,0.36926811933517456,COMPLETE
40,0.8632478632473648,2025-12-20 13:21:22.094005,2025-12-20 13:21:42.944898,0 days 00:00:20.850893,32,256,0.03933493363163407,7,2,0.00040636276065407576,3.943644614635159e-06,0.9405274089459239,0.8632478632473648,0.42715325951576233,PRUNED
41,0.8733624454143477,2025-12-20 13:21:42.945928,2025-12-20 13:22:04.707194,0 days 00:00:21.761266,32,256,0.0922846391437547,7,2,0.0008201933850696963,1.8735849017345505e-05,0.9439210741042949,0.8733624454143477,0.339946448802948,PRUNED
