number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.7045009784730902,2025-12-20 12:45:35.795007,2025-12-20 12:45:42.253802,0 days 00:00:06.458795,0.0031379668231052617,,0.4998277129067623,4224,7.721742984521872e-06,0.7411465286307352,0.7563608040946518,0.49859246611595154,COMPLETE
1,0.644314868804228,2025-12-20 12:45:42.254338,2025-12-20 12:45:42.320865,0 days 00:00:00.066527,0.0021260567347915907,,0.8891696284240268,851,2.9321327214934106e-05,0.4752688172043011,0.5,0.5061861276626587,COMPLETE
2,0.644314868804228,2025-12-20 12:45:42.321141,2025-12-20 12:45:42.385684,0 days 00:00:00.064543,0.0005107641779413222,,0.3954144188779507,1271,1.9789119030106155e-05,0.4752688172043011,0.5,0.5061861276626587,COMPLETE
3,0.644314868804228,2025-12-20 12:45:42.386091,2025-12-20 12:45:42.398602,0 days 00:00:00.012511,0.00011541532064548178,,0.8850406795655525,1979,0.0033371561714266693,0.4752688172043011,0.5,0.502076268196106,COMPLETE
4,0.8923766816138499,2025-12-20 12:45:42.398793,2025-12-20 12:45:43.020785,0 days 00:00:00.621992,4.070609284328405,balanced,0.44720896001852617,488,1.4069151504566428e-06,0.9431716925365285,0.9551220235887545,0.4407028555870056,COMPLETE
5,0.644314868804228,2025-12-20 12:45:43.021100,2025-12-20 12:45:43.044162,0 days 00:00:00.023062,0.00010659146980697401,,0.6174852572137575,287,0.0015277088958966542,0.4752688172043011,0.5,0.502076268196106,COMPLETE
6,0.644314868804228,2025-12-20 12:45:43.044378,2025-12-20 12:45:43.059618,0 days 00:00:00.015240,0.003336990039016643,,0.6753005460324175,1883,0.0001821110373600826,0.4752688172043011,0.5,0.5061861276626587,COMPLETE
7,0.7991266375540858,2025-12-20 12:45:43.059811,2025-12-20 12:45:43.255718,0 days 00:00:00.195907,0.05411878697910153,,0.6069965652648616,1094,0.0010706602291435702,0.873886587831978,0.8761219494102812,0.4360995590686798,COMPLETE
8,0.835266821345208,2025-12-20 12:45:43.256000,2025-12-20 12:45:43.438189,0 days 00:00:00.182189,0.028710244558731918,,0.04871173199141188,1528,0.00020557337866054155,0.906189525526522,0.9170870113493064,0.4793131947517395,COMPLETE
9,0.7597535934286623,2025-12-20 12:45:43.438640,2025-12-20 12:45:43.590913,0 days 00:00:00.152273,0.008177995683115937,balanced,0.39529829283538276,381,2.432342051982358e-05,0.8101908043683964,0.8125324530821156,0.47203895449638367,COMPLETE
10,0.8898876404489381,2025-12-20 12:45:43.591179,2025-12-20 12:45:45.341006,0 days 00:00:01.749827,18.641050257694932,balanced,0.11825319289153857,3421,1.0767823697917146e-06,0.9418413530834693,0.9539166233958905,0.4365168511867523,COMPLETE
11,0.889390519186859,2025-12-20 12:45:45.341493,2025-12-20 12:45:47.036144,0 days 00:00:01.694651,23.165543502809115,balanced,0.08949470847574809,3350,1.524984327819006e-06,0.941212248288585,0.9532490171352274,0.4520215094089508,COMPLETE
12,0.8976034858382806,2025-12-20 12:45:47.036821,2025-12-20 12:45:48.726559,0 days 00:00:01.689738,8.81747128562093,balanced,0.2234076662448307,3262,1.4105836726765379e-06,0.9439619961937448,0.9560307098879905,0.372437983751297,COMPLETE
13,0.8893709327543814,2025-12-20 12:45:48.727065,2025-12-20 12:45:50.432982,0 days 00:00:01.705917,1.388705709233519,balanced,0.24148722418491597,2889,4.400525994510162e-06,0.9369408763039968,0.9491506564794896,0.3936256468296051,COMPLETE
14,0.8763557483726027,2025-12-20 12:45:50.433385,2025-12-20 12:45:52.722065,0 days 00:00:02.288680,868.5995964260887,balanced,0.24009078674182036,4678,4.381086184336701e-06,0.920788753724115,0.9351958311697945,0.2581683397293091,COMPLETE
15,0.8835164835159838,2025-12-20 12:45:52.722563,2025-12-20 12:45:54.044417,0 days 00:00:01.321854,0.9779308451207901,balanced,0.2524055504601758,2489,2.339372513277718e-06,0.932638920270675,0.945126474297159,0.4347555637359619,COMPLETE
16,0.8898876404489381,2025-12-20 12:45:54.044828,2025-12-20 12:45:56.001610,0 days 00:00:01.956782,16.62126287295027,balanced,0.38105437088962457,3876,6.579441691668606e-05,0.941001592950849,0.9531562940434686,0.44625210762023926,COMPLETE
17,0.8752735229754305,2025-12-20 12:45:56.001989,2025-12-20 12:45:57.145626,0 days 00:00:01.143637,255.55188009266985,balanced,0.7802817109826429,2406,9.043284642366331e-06,0.9267088786966861,0.9381722424152512,0.3583894968032837,COMPLETE
18,0.8923766816138499,2025-12-20 12:45:57.146033,2025-12-20 12:45:58.746437,0 days 00:00:01.600404,2.4296663909299836,balanced,0.5085086399087814,3011,2.5830449863360455e-06,0.9391237368536481,0.9515243676285142,0.4611685574054718,COMPLETE
19,0.8628318584065798,2025-12-20 12:45:58.746834,2025-12-20 12:45:58.781236,0 days 00:00:00.034402,0.17751473780910923,balanced,0.29510125345213856,4070,0.009005310204098303,0.9123692470210722,0.9263593205251835,0.4421207308769226,COMPLETE
20,0.8986784140964166,2025-12-20 12:45:58.781508,2025-12-20 12:45:59.929181,0 days 00:00:01.147673,7.82654300676754,balanced,0.15528688758498022,2186,1.093003515916656e-06,0.944671966643672,0.9565314145834878,0.394827276468277,COMPLETE
21,0.898047722342234,2025-12-20 12:45:59.929465,2025-12-20 12:46:01.017564,0 days 00:00:01.088099,6.772632412331806,balanced,0.14846556020596902,2221,1.0258886627249634e-06,0.9448086386154907,0.9565128699651362,0.36775779724121094,COMPLETE
22,0.8826291079807214,2025-12-20 12:46:01.017807,2025-12-20 12:46:02.031294,0 days 00:00:01.013487,59.77989373735208,balanced,0.1697604551182989,2096,8.273993669947614e-06,0.9370277232985029,0.9483161486536607,0.6052443385124207,COMPLETE
23,0.8798283261797588,2025-12-20 12:46:02.031840,2025-12-20 12:46:03.054645,0 days 00:00:01.022805,0.41974682098403976,balanced,0.011493028019385981,2911,1.2243958126704517e-06,0.9293736531350388,0.9419924337957125,0.39111045002937317,COMPLETE
24,0.8956521739125443,2025-12-20 12:46:03.054890,2025-12-20 12:46:04.862023,0 days 00:00:01.807133,7.5072171848810285,balanced,0.16224151500259815,3521,3.5532760260545383e-06,0.9445293536280073,0.9563274237816185,0.3750540316104889,COMPLETE
25,0.8775055679282306,2025-12-20 12:46:04.862370,2025-12-20 12:46:06.016518,0 days 00:00:01.154148,119.88781230282127,balanced,0.17667744081181766,2259,1.0742146986290553e-05,0.9326981569631596,0.9442456049254507,0.39928099513053894,COMPLETE
26,0.8659340659335664,2025-12-20 12:46:06.016800,2025-12-20 12:46:06.312189,0 days 00:00:00.295389,0.3043736796361654,balanced,0.32462285152859893,2750,6.297175580913809e-05,0.9178907672243668,0.9311067428232327,0.430458128452301,COMPLETE
27,0.888382687926607,2025-12-20 12:46:06.312425,2025-12-20 12:46:07.167533,0 days 00:00:00.855108,58.60336858088557,balanced,0.004511335937274041,1691,2.9882966577305857e-06,0.9392289654853626,0.9509865736963133,0.5156944394111633,COMPLETE
28,0.896103896103397,2025-12-20 12:46:07.168077,2025-12-20 12:46:09.699946,0 days 00:00:02.531869,10.5685240337618,balanced,0.10515085119405118,4956,1.0211257454926775e-06,0.9440265556873404,0.95591944217788,0.36289989948272705,COMPLETE
29,0.8791208791203794,2025-12-20 12:46:09.700184,2025-12-20 12:46:11.235485,0 days 00:00:01.535301,202.39292525144918,balanced,0.3116257703472088,3310,1.366995688172621e-05,0.9268825271435348,0.9397207180476226,0.3300536870956421,COMPLETE
30,0.8909090909085908,2025-12-20 12:46:11.235829,2025-12-20 12:46:13.102883,0 days 00:00:01.867054,4.672008285522539,balanced,0.997666667174891,3753,1.970652721653689e-06,0.9393346363054137,0.9497069950300423,0.47235774993896484,COMPLETE
31,0.896103896103397,2025-12-20 12:46:13.103178,2025-12-20 12:46:15.715024,0 days 00:00:02.611846,10.87393895510775,balanced,0.09674764961114979,4959,1.029243362943904e-06,0.9439551293101933,0.9558638083228247,0.3617894649505615,COMPLETE
32,0.8840262582051898,2025-12-20 12:46:15.715344,2025-12-20 12:46:17.015834,0 days 00:00:01.300490,0.9591189480118761,balanced,0.18017510899789876,4655,4.391868768623449e-06,0.9338885452879975,0.9462020621615607,0.4180990159511566,COMPLETE
33,0.8878923766811144,2025-12-20 12:46:17.016099,2025-12-20 12:46:17.730883,0 days 00:00:00.714784,50.0257264853427,balanced,0.10591501272422435,1433,6.448453819654459e-06,0.9378213981556212,0.9494844596098212,0.441637247800827,COMPLETE
34,0.8951965065497189,2025-12-20 12:46:17.731156,2025-12-20 12:46:19.961040,0 days 00:00:02.229884,3.0525155842515757,balanced,0.05716839342629217,4240,1.7902446319014201e-06,0.9435068738159994,0.95486239893183,0.4014621675014496,COMPLETE
35,0.8917748917743926,2025-12-20 12:46:19.961307,2025-12-20 12:46:20.500799,0 days 00:00:00.539492,32.97812392914521,balanced,0.20221161533140272,1070,2.292322855079551e-06,0.9430441398801328,0.9551034789704028,0.3208429217338562,COMPLETE
36,0.8844444444439445,2025-12-20 12:46:20.501027,2025-12-20 12:46:21.522504,0 days 00:00:01.021477,658.1727924126423,,0.4617659908511946,2175,1.614114633765429e-05,0.9290099569284999,0.9394703656998739,0.5085003972053528,COMPLETE
