number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.789144050103887,2025-12-20 11:56:02.178585,2025-12-20 11:56:48.679517,0 days 00:00:46.500932,64,0.4894444734318713,512,2.2889212164980118e-05,7.133316779094934e-08,0.8719679548994881,0.7883211678827144,0.48855432868003845,COMPLETE
1,0.9006928406461514,2025-12-20 11:56:48.680077,2025-12-20 11:58:23.547043,0 days 00:01:34.866966,16,0.1323079607486109,512,0.0009742966328226672,1.8713295903792576e-07,0.9559565314145835,0.8953229398658697,0.4192037880420685,COMPLETE
2,0.8744588744583753,2025-12-20 11:58:23.547598,2025-12-20 12:01:38.151476,0 days 00:03:14.603878,32,0.05665804059558488,256,3.198402980327601e-05,1.9620178292162495e-08,0.9328499369482977,0.8728070175433601,0.43258219957351685,COMPLETE
3,0.8908296943226448,2025-12-20 12:01:38.152233,2025-12-20 12:04:16.191374,0 days 00:02:38.039141,64,0.4500512147315495,512,0.0003652005318359437,0.00044793960508200616,0.9496142719382835,0.8893805309729516,0.43752092123031616,COMPLETE
4,0.8822269807275528,2025-12-20 12:04:16.192477,2025-12-20 12:08:47.007221,0 days 00:04:30.814744,16,0.49490099262522674,1024,3.449615859520231e-05,1.2771843095898714e-06,0.9380795193234923,0.8784648187628279,0.4169375002384186,COMPLETE
5,0.7973856209145332,2025-12-20 12:08:47.008380,2025-12-20 12:08:52.413164,0 days 00:00:05.404784,16,0.10600233120795971,512,2.081505310175501e-05,9.162743250899335e-07,0.8772160818930346,0.7973856209145332,0.4915999174118042,PRUNED
6,0.9022222222217223,2025-12-20 12:08:52.414115,2025-12-20 12:12:23.737324,0 days 00:03:31.323209,64,0.11124401988275157,1024,0.0005666925131683802,0.0030916511471746418,0.9575420962836585,0.8888888888883888,0.49534761905670166,COMPLETE
7,0.7950819672126191,2025-12-20 12:12:23.738301,2025-12-20 12:12:28.299893,0 days 00:00:04.561592,64,0.4807802813374962,1024,3.0407206251117865e-05,0.0005200854731965285,0.876585564869075,0.7950819672126191,0.4914892017841339,PRUNED
8,0.7951807228910727,2025-12-20 12:12:28.300785,2025-12-20 12:12:33.390490,0 days 00:00:05.089705,32,0.1860107035691877,512,5.145002030254368e-05,1.910380148716446e-08,0.8793672576218381,0.7951807228910727,0.4872352182865143,PRUNED
9,0.8025210084028639,2025-12-20 12:12:33.391373,2025-12-20 12:12:43.408480,0 days 00:00:10.017107,64,0.4663763563200644,2048,7.399757200279652e-05,4.410077001958494e-05,0.8827423781618575,0.8025210084028639,0.4135587811470032,PRUNED
10,0.9002320185609852,2025-12-20 12:12:43.409215,2025-12-20 12:14:54.971453,0 days 00:02:11.562238,64,0.3116394614912531,1024,0.002902524747975603,0.0032924973789807046,0.9578480824864625,0.8943820224714101,0.57700514793396,COMPLETE
11,0.8977777777772779,2025-12-20 12:14:54.972159,2025-12-20 12:17:20.829957,0 days 00:02:25.857798,16,0.0027871690136013344,256,0.0007023241143589179,6.61686170582745e-06,0.9575513685928344,0.8928571428566429,0.3480335474014282,COMPLETE
12,0.8999999999995013,2025-12-20 12:17:20.830623,2025-12-20 12:18:50.822042,0 days 00:01:29.991419,16,0.1898607662397908,2048,0.0012719268556314453,3.034550321539375e-07,0.9608152214227432,0.8971553610498288,0.18678706884384155,COMPLETE
13,0.8663793103443287,2025-12-20 12:18:50.823029,2025-12-20 12:19:01.940155,0 days 00:00:11.117126,16,0.15273444688996204,1024,0.00017943542857594216,0.008342649450115388,0.9296231733550924,0.8663793103443287,0.3834925591945648,PRUNED
14,0.9020501138947163,2025-12-20 12:19:01.941078,2025-12-20 12:23:14.073775,0 days 00:04:12.132697,32,0.31167889572290475,512,0.0005234723350908226,2.806154547359188e-05,0.9602403382538387,0.9015317286647083,0.3346106708049774,COMPLETE
15,0.8301075268812217,2025-12-20 12:23:14.074486,2025-12-20 12:23:19.256804,0 days 00:00:05.182318,32,0.316624470568226,1024,0.0002653536482602794,5.048091014309964e-05,0.9043097693049478,0.8301075268812217,0.4140703082084656,PRUNED
16,0.8614072494664526,2025-12-20 12:23:19.257157,2025-12-20 12:23:29.858884,0 days 00:00:10.601727,32,0.28887498839806103,256,0.0005737829920995348,0.00036462533609920894,0.9288628440026704,0.8614072494664526,0.379305899143219,PRUNED
17,0.8024948024943057,2025-12-20 12:23:29.859252,2025-12-20 12:23:34.834061,0 days 00:00:04.974809,32,0.38348617273520147,2048,9.964845179233372e-05,1.766289862997048e-05,0.8822416734663602,0.8024948024943057,0.3517328202724457,PRUNED
18,0.8660714285709286,2025-12-20 12:23:34.834429,2025-12-20 12:23:50.838418,0 days 00:00:16.003989,32,0.2661480999987938,512,0.0020117287924050443,0.0016188941350737793,0.9357428974111712,0.8660714285709286,0.3895239531993866,PRUNED
19,0.8008474576266206,2025-12-20 12:23:50.838835,2025-12-20 12:23:56.051205,0 days 00:00:05.212370,64,0.373320286696939,1024,1.0870514300728145e-05,9.425138137662592e-05,0.8683146650841925,0.8008474576266206,0.5067785382270813,PRUNED
20,0.8187633262255144,2025-12-20 12:23:56.052138,2025-12-20 12:24:01.034926,0 days 00:00:04.982788,64,0.2345087578136379,512,0.00038500293632181344,6.916320999019459e-06,0.8904198501594837,0.8187633262255144,0.39120030403137207,PRUNED
21,0.9057471264362817,2025-12-20 12:24:01.035950,2025-12-20 12:26:39.626502,0 days 00:02:38.590552,16,0.11326699171506202,512,0.0010275916805071001,1.56783104566302e-07,0.9583951487278393,0.896713615022975,0.8189789652824402,COMPLETE
22,0.8709677419349839,2025-12-20 12:26:39.627623,2025-12-20 12:26:56.411296,0 days 00:00:16.783673,32,0.06974059198814812,512,0.0012476998339465794,2.9190167536458063e-06,0.937133743787553,0.8709677419349839,0.45987895131111145,PRUNED
23,0.8691983122357891,2025-12-20 12:26:56.412229,2025-12-20 12:27:13.695642,0 days 00:00:17.283413,16,0.19758288518967054,512,0.000606198676414576,0.00015570910110754733,0.9341295156145687,0.8691983122357891,0.34394708275794983,PRUNED
24,0.7927107061498416,2025-12-20 12:27:13.696106,2025-12-20 12:27:19.631270,0 days 00:00:05.935164,32,0.019188386794890558,512,0.00019593805747740103,1.0019915597682573e-07,0.8788665529263409,0.7927107061498416,0.34798431396484375,PRUNED
25,0.8344086021500389,2025-12-20 12:27:19.632176,2025-12-20 12:27:25.237212,0 days 00:00:05.605036,64,0.0965869862841427,1024,0.0003988583561796926,6.669605184633938e-07,0.9050144648023144,0.8344086021500389,0.4554809033870697,PRUNED
26,0.8986175115202374,2025-12-20 12:27:25.238128,2025-12-20 12:28:54.857880,0 days 00:01:29.619752,16,0.2300733278936763,2048,0.0016823225758657078,1.629635330513513e-05,0.9547233142941918,0.896713615022975,0.7890186309814453,COMPLETE
27,0.7886178861783669,2025-12-20 12:28:54.858422,2025-12-20 12:29:00.070102,0 days 00:00:05.211680,32,0.36759412617165754,256,0.00012424012218523783,2.8197260817669874e-06,0.8713374378755285,0.7886178861783669,0.45630866289138794,PRUNED
28,0.8301886792447858,2025-12-20 12:29:00.070543,2025-12-20 12:29:04.953699,0 days 00:00:04.883156,64,0.1444415881260539,512,0.0008253095517267193,0.009760139703983055,0.9030858244937319,0.8301886792447858,0.22081680595874786,PRUNED
29,0.8629213483141067,2025-12-20 12:29:04.954345,2025-12-20 12:29:16.604175,0 days 00:00:11.649830,16,0.04565494020944669,512,0.0002544789544364856,3.191265072661763e-08,0.9283250500704695,0.8629213483141067,0.5080609917640686,PRUNED
30,0.9062499999995001,2025-12-20 12:29:16.605107,2025-12-20 12:31:05.732415,0 days 00:01:49.127308,64,0.416834416759848,1024,0.002683026761162869,5.7575162524330285e-08,0.9573566501001409,0.9038031319905515,0.471364289522171,COMPLETE
31,0.9061032863844771,2025-12-20 12:31:05.732881,2025-12-20 12:34:51.239234,0 days 00:03:45.506353,64,0.33707271056725496,1024,0.0023834248813324127,1.4449650348394078e-07,0.9599436243602106,0.8974943052386799,0.5509533286094666,COMPLETE
32,0.8703703703698705,2025-12-20 12:34:51.239793,2025-12-20 12:35:13.090782,0 days 00:00:21.850989,64,0.3979870024279684,1024,0.0029860035176076756,1.0398131828003842e-07,0.940898301312959,0.8703703703698705,0.8320366144180298,PRUNED
33,0.8836206896546736,2025-12-20 12:35:13.091141,2025-12-20 12:36:08.832005,0 days 00:00:55.740864,64,0.4209852280298753,1024,0.0018791933780445524,1.0564422479520383e-08,0.9529523032415992,0.8836206896546736,0.39141255617141724,PRUNED
34,0.8481012658222871,2025-12-20 12:36:08.832440,2025-12-20 12:36:15.802203,0 days 00:00:06.969763,64,0.33725661192176126,1024,0.001040731649355649,2.8728392420884096e-07,0.9221126029226319,0.8481012658222871,0.543298065662384,PRUNED
35,0.8699360341146403,2025-12-20 12:36:15.802566,2025-12-20 12:36:37.438987,0 days 00:00:21.636421,64,0.1133968764033717,1024,0.002146590850097325,4.775205836036686e-08,0.9384504116905273,0.8699360341146403,0.5256471037864685,PRUNED
36,0.8437499999995,2025-12-20 12:36:37.439922,2025-12-20 12:36:44.420326,0 days 00:00:06.980404,64,0.43762228237620726,1024,0.0013790861698786574,1.7038098103644683e-07,0.9234292708256064,0.8437499999995,0.4206830561161041,PRUNED
37,0.8440366972472064,2025-12-20 12:36:44.421288,2025-12-20 12:36:51.729602,0 days 00:00:07.308314,64,0.4100379074897859,1024,0.0009256795628783065,4.956658785286077e-07,0.9194978117350345,0.8440366972472064,0.5227680802345276,PRUNED
38,0.8688172043005764,2025-12-20 12:36:51.729988,2025-12-20 12:37:06.201664,0 days 00:00:14.471676,64,0.1660476134892396,1024,0.00243754983938507,1.5988348648813857e-06,0.9326088569097247,0.8688172043005764,0.6474149823188782,PRUNED
39,0.8822269807275528,2025-12-20 12:37:06.202474,2025-12-20 12:37:53.730799,0 days 00:00:47.528325,64,0.3546622352445228,1024,0.0014516972857180237,4.186656564938427e-08,0.9490208441510275,0.8822269807275528,0.5022931694984436,PRUNED
40,0.8779443254813002,2025-12-20 12:37:53.731174,2025-12-20 12:38:39.034164,0 days 00:00:45.302990,16,0.07435203458733447,256,0.0009564447818554158,1.645459887849471e-08,0.9452562866256212,0.8779443254813002,0.39748144149780273,PRUNED
41,0.8205128205123221,2025-12-20 12:38:39.034588,2025-12-20 12:38:45.191155,0 days 00:00:06.156567,64,0.29382328419245957,512,0.0005469363801698008,0.0010623302434093112,0.8930531859654329,0.8205128205123221,0.390664666891098,PRUNED
42,0.8160676532764578,2025-12-20 12:38:45.191518,2025-12-20 12:38:51.843295,0 days 00:00:06.651777,64,0.3409487597825978,512,0.0004561910468239046,1.7120367850661152e-07,0.8891959053482679,0.8160676532764578,0.33748722076416016,PRUNED
43,0.8478260869560225,2025-12-20 12:38:51.843669,2025-12-20 12:38:59.643248,0 days 00:00:07.799579,16,0.26373029022150957,1024,0.00030933056977404323,9.178124309762151e-08,0.9201097841406425,0.8478260869560225,0.4728918671607971,PRUNED
44,0.8681818181813181,2025-12-20 12:38:59.643664,2025-12-20 12:39:20.228403,0 days 00:00:20.584739,32,0.45531074042765346,512,0.0025439055200507685,1.9049671113701009e-06,0.9434760032638528,0.8681818181813181,0.47641733288764954,PRUNED
45,0.8755364806861966,2025-12-20 12:39:20.228783,2025-12-20 12:40:02.688541,0 days 00:00:42.459758,64,0.21336097486907568,2048,0.0011232473676424358,3.873820458803504e-07,0.9396187226466879,0.8755364806861966,0.4485989212989807,PRUNED
46,0.87964989059031,2025-12-20 12:40:02.688929,2025-12-20 12:40:40.212385,0 days 00:00:37.523456,16,0.3182452010316251,1024,0.000754504918254929,9.665810942725655e-07,0.9448483050218828,0.87964989059031,0.3382427990436554,PRUNED
47,0.908675799086258,2025-12-20 12:40:40.212739,2025-12-20 12:43:15.300243,0 days 00:02:35.087504,32,0.11865519727740499,1024,0.0016146321628309815,2.852382206601946e-08,0.9580706179066835,0.89086859688146,0.5239908695220947,COMPLETE
48,0.8864628820955704,2025-12-20 12:43:15.300735,2025-12-20 12:44:16.877059,0 days 00:01:01.576324,64,0.12686319497636178,1024,0.0016667430749568305,2.674117840885022e-08,0.9490208441510273,0.8864628820955704,0.3190482258796692,PRUNED
49,0.8991228070170443,2025-12-20 12:44:16.877379,2025-12-20 12:46:17.455611,0 days 00:02:00.578232,16,0.175494769688408,1024,0.0021173947008204445,6.979880728720283e-08,0.9561883391439804,0.896103896103397,0.4172374904155731,COMPLETE
