number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_svm_kind,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.8938053097340135,2025-12-18 14:36:35.217793,2025-12-18 14:36:38.134823,0 days 00:00:02.917030,0.4960597425929732,balanced,,linear,,svc,0.9309157680669731,0.9512091091165342,0.45500099460587895,COMPLETE
1,0.644314868804228,2025-12-18 14:36:38.135334,2025-12-18 14:36:44.459296,0 days 00:00:06.323962,0.0031603157925780704,,1.9068353542916877e-06,poly,,svc,0.4752688172043011,0.5,0.5,COMPLETE
2,0.8423326133904296,2025-12-18 14:36:44.459719,2025-12-18 14:36:44.638018,0 days 00:00:00.178299,0.00232575261942458,,,,15335.0,linear_calibrated,0.9074119354789801,0.9192567316964616,0.4119566744434582,COMPLETE
3,0.8642533936646583,2025-12-18 14:36:44.638234,2025-12-18 14:36:44.873488,0 days 00:00:00.235254,0.007706785695502675,,,,10025.0,linear_calibrated,0.9143056605852184,0.9287515762925599,0.48613704321221407,COMPLETE
4,0.8857808857803863,2025-12-18 14:36:44.873702,2025-12-18 14:37:21.884847,0 days 00:00:37.011145,591.2705318072732,,,,18547.0,linear_calibrated,0.9363901907983664,0.9427156739114309,0.5389288551878725,COMPLETE
5,0.8653421633549085,2025-12-18 14:37:21.885275,2025-12-18 14:37:22.159641,0 days 00:00:00.274366,0.011767775011831537,,,,12323.0,linear_calibrated,0.916828247922875,0.9312921890067503,0.43543366615749024,COMPLETE
6,0.8868360277131261,2025-12-18 14:37:22.159863,2025-12-18 14:37:25.371603,0 days 00:00:03.211740,0.47194617252351867,,2.054442254841631,poly,,svc,0.9401822567281096,0.943383280172094,0.5699969382403032,COMPLETE
7,0.8859649122802022,2025-12-18 14:37:25.371829,2025-12-18 14:37:26.857008,0 days 00:00:01.485179,0.12583518327334894,balanced,,,8039.0,linear_calibrated,0.9366998988611301,0.9480379793783844,0.4389215027759488,COMPLETE
8,0.8603104212855311,2025-12-18 14:37:26.857223,2025-12-18 14:37:27.066419,0 days 00:00:00.209196,0.005954956228796065,,,,17920.0,linear_calibrated,0.9135770202831888,0.9275647207180476,0.46075133353704983,COMPLETE
9,0.8863109048718901,2025-12-18 14:37:27.066634,2025-12-18 14:37:46.173630,0 days 00:00:19.106996,26.806308408463433,balanced,,,8455.0,linear_calibrated,0.9382686076578589,0.9459053482679327,0.5307614151831218,COMPLETE
10,0.8853211009169312,2025-12-18 14:37:46.173863,2025-12-18 14:37:49.375165,0 days 00:00:03.201302,7.2529386388415835,balanced,,linear,,svc,0.9323163937595906,0.9433276463170388,0.5,COMPLETE
11,0.644314868804228,2025-12-18 14:37:49.375374,2025-12-18 14:37:55.851472,0 days 00:00:06.476098,0.833755498126152,balanced,3.868710289096156,sigmoid,,svc,0.4752688172043011,0.5,0.5281837450011748,COMPLETE
12,0.8859649122802022,2025-12-18 14:37:55.851693,2025-12-18 14:37:58.904178,0 days 00:00:03.052485,0.22919201252477042,balanced,,linear,,svc,0.9282441634900489,0.9431236555151695,0.4479556057368235,COMPLETE
13,0.8918322295800741,2025-12-18 14:37:58.904444,2025-12-18 14:38:06.773468,0 days 00:00:07.869024,3.943553332966536,balanced,5.1313361933362795,rbf,,svc,0.9250360276887877,0.9279912469401379,0.4288282051219791,COMPLETE
14,0.8836206896546736,2025-12-18 14:38:06.773703,2025-12-18 14:38:10.479684,0 days 00:00:03.705981,9.915199491798674,balanced,0.006219020252238739,rbf,,svc,0.9218205238476347,0.9397856242118537,0.3893036896856376,COMPLETE
15,0.8999999999995008,2025-12-18 14:38:10.479903,2025-12-18 14:38:13.923532,0 days 00:00:03.443629,63.15833094339736,balanced,0.011223037086602397,rbf,,svc,0.9478924228948411,0.9582746087085527,0.3509853315952135,COMPLETE
16,0.8683602771357588,2025-12-18 14:38:13.923891,2025-12-18 14:38:17.602822,0 days 00:00:03.678931,151.11465938447446,balanced,,linear,,svc,0.9166938533395304,0.9255989911727616,0.5068803146948064,COMPLETE
