number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.644314868804228,2025-12-18 14:21:34.976027,2025-12-18 14:21:35.760800,0 days 00:00:00.784773,5.4012951103398686e-05,0.6188571299290201,166,3.0336131990403628,11.648990735325365,0.0037249762641897773,6,230,1222,0.8828211646456164,0.4752688172043011,0.5,0.5060440301895142,COMPLETE
1,0.644314868804228,2025-12-18 14:21:35.761128,2025-12-18 14:21:35.936758,0 days 00:00:00.175630,1.5165472023437507,0.7776258041951907,74,3.44995208437747,4.712323354351663e-06,0.08579663830521879,7,223,857,0.8740360000503814,0.4752688172043011,0.5,0.5057421326637268,COMPLETE
2,0.8418803418798434,2025-12-18 14:21:35.937275,2025-12-18 14:21:36.831485,0 days 00:00:00.894210,0.0025265689844747572,0.40895026157419473,132,3.132075165733198,32.09429797145762,0.015097866384270991,6,129,1086,0.8497278783178429,0.903598850598302,0.9160114234849047,0.3983192443847656,COMPLETE
3,0.644314868804228,2025-12-18 14:21:36.831779,2025-12-18 14:21:36.980230,0 days 00:00:00.148451,3.5798946044727897e-07,0.9224773110617963,55,2.731738481375663,1.0969340441083985e-06,0.2675529025838278,4,141,620,0.5542286096855951,0.4752688172043011,0.5,0.5043784976005554,COMPLETE
4,0.8308351177725207,2025-12-18 14:21:36.980493,2025-12-18 14:21:37.462570,0 days 00:00:00.482077,0.00025939988331785793,0.9524205952696199,73,4.389248158050229,7.230679158108614e-05,0.015262973810582047,9,167,1226,0.8142638149518224,0.8793858339188332,0.8910503671834433,0.4592718183994293,COMPLETE
5,0.644314868804228,2025-12-18 14:21:37.462842,2025-12-18 14:21:37.625503,0 days 00:00:00.162661,0.002049011611362987,0.9471234820457883,160,7.401843435228948,10.022714659662189,0.001045566404678694,5,338,80,0.9228443151340716,0.4752688172043011,0.5,0.5061665177345276,COMPLETE
6,0.644314868804228,2025-12-18 14:21:37.625836,2025-12-18 14:21:37.789010,0 days 00:00:00.163174,0.8804020966400847,0.9558722131824307,109,0.32954582096741847,9.349501542268641e-05,0.023562516659623802,10,286,1337,0.5126090524657488,0.4752688172043011,0.5,0.5061861276626587,COMPLETE
7,0.644314868804228,2025-12-18 14:21:37.789275,2025-12-18 14:21:37.960570,0 days 00:00:00.171295,7.6308011066497e-06,0.7967285206885577,95,1.5004861090191723,4.675446592588157,0.0023645402832242935,15,390,1278,0.9045779104650706,0.4752688172043011,0.5,0.5062768459320068,COMPLETE
8,0.644314868804228,2025-12-18 14:21:37.960843,2025-12-18 14:21:38.144636,0 days 00:00:00.183793,0.009881872665471811,0.8868140344112396,147,4.202376807880405,0.002833588976748546,0.011198398826138978,12,447,644,0.6723212340272505,0.4752688172043011,0.5,0.5061861276626587,COMPLETE
9,0.8616780045346473,2025-12-18 14:21:38.144899,2025-12-18 14:21:38.381940,0 days 00:00:00.237041,2.4914613197398806e-08,0.6450828883621791,89,7.146863757850691,5.389719130965491e-05,0.25939762488500656,7,102,211,0.842412473103147,0.9073325137645721,0.9267302128922187,0.4997258484363556,COMPLETE
10,0.8689956331872735,2025-12-18 14:21:38.382210,2025-12-18 14:21:38.542830,0 days 00:00:00.160620,1.6943661417586373e-08,0.5236289764462817,35,8.384803585112262,1.3309278247143934e-08,0.2624165386872744,2,4,59,0.7228633830571808,0.936909586957102,0.9440137971960537,0.4113677442073822,COMPLETE
11,0.8649789029530887,2025-12-18 14:21:38.543120,2025-12-18 14:21:38.738032,0 days 00:00:00.194912,1.8108179455734265e-08,0.5339531635642601,22,9.876228561700097,1.3539960431507895e-08,0.24796274827722486,2,3,83,0.7108975683356834,0.9171125291627238,0.9371708330242564,0.3285153806209564,COMPLETE
12,0.8691588785041733,2025-12-18 14:21:38.738299,2025-12-18 14:21:39.302250,0 days 00:00:00.563951,2.254851687641133e-08,0.4643985120446818,22,9.677303730196911,2.2298512745020322e-08,0.0828043894088382,2,1,334,0.7118025199085186,0.92851435019922,0.9451821081522143,0.5652873516082764,COMPLETE
13,0.8744394618829081,2025-12-18 14:21:39.302534,2025-12-18 14:21:39.588460,0 days 00:00:00.285926,1.0491245210636577e-06,0.3044579046803387,20,9.827133365974731,1.1041619910111102e-08,0.07154639315823469,2,4,367,0.6254522035911325,0.9266119824940484,0.9434018247904458,0.4858156442642212,COMPLETE
14,0.8706896551719149,2025-12-18 14:21:39.588692,2025-12-18 14:21:39.927689,0 days 00:00:00.338997,1.0713103498352606e-06,0.3175126564499392,195,9.844616443438081,2.4642270221868015e-07,0.059068271868550376,3,63,360,0.6164058563366056,0.9205292884289921,0.9358912543579854,0.41123393177986145,COMPLETE
15,0.8725701943839502,2025-12-18 14:21:39.927919,2025-12-18 14:21:40.347161,0 days 00:00:00.419242,2.0712290269125567e-06,0.3125554288296327,197,6.054127747892776,5.092509758651864e-07,0.04941876294588044,4,66,425,0.6326303223811313,0.9236359594954281,0.9377457161931607,0.4117092788219452,COMPLETE
16,0.8552915766733671,2025-12-18 14:21:40.347569,2025-12-18 14:21:40.764861,0 days 00:00:00.417292,4.19923551613991e-06,0.3342006884310755,196,6.02778565510927,0.013480266604680036,0.0398038871895794,4,96,524,0.6239920477417208,0.9055177843263224,0.9168644759290854,0.41570210456848145,COMPLETE
17,0.883295194507509,2025-12-18 14:21:40.765094,2025-12-18 14:21:41.354374,0 days 00:00:00.589280,0.056125134374473265,0.39424040306048547,131,6.186570029931538,3.042034643535436e-07,0.1176137855113577,4,55,868,0.6106407707250278,0.9324540175325035,0.9450152065870485,0.5715163350105286,COMPLETE
18,0.8232758620684665,2025-12-18 14:21:41.354613,2025-12-18 14:21:41.573447,0 days 00:00:00.218834,29.690487838311164,0.39782904043346473,123,8.329367975186099,0.055471862904814054,0.1315045433808671,11,189,891,0.9835950805522464,0.8784314530557403,0.8980695052295824,0.45651358366012573,COMPLETE
19,0.8736616702350474,2025-12-18 14:21:41.573683,2025-12-18 14:21:42.496279,0 days 00:00:00.922596,0.051905187503098235,0.4088558689726239,44,5.675285863761521,7.5524004342552885e-06,0.026164777392946866,8,59,1496,0.5630329288087066,0.9285964202539477,0.9395816334099845,0.4057067632675171,COMPLETE
20,0.644314868804228,2025-12-18 14:21:42.496733,2025-12-18 14:21:42.673619,0 days 00:00:00.176886,0.06164611981754752,0.5449208516166176,113,8.505162075985611,1.2606271209504202e-07,0.1478728544696912,14,323,960,0.7956252242379308,0.4752688172043011,0.5,0.5030086040496826,COMPLETE
21,0.876651982378355,2025-12-18 14:21:42.673845,2025-12-18 14:21:43.668432,0 days 00:00:00.994587,0.14322695616156952,0.40129339069283526,43,6.0882328846920775,6.453689438234875e-06,0.026813702707199898,8,63,1436,0.5664974052263803,0.9250141154560695,0.9393405533714115,0.460612416267395,COMPLETE
22,0.8627450980387164,2025-12-18 14:21:43.668719,2025-12-18 14:21:44.395603,0 days 00:00:00.726884,0.3100119898029519,0.47348946026768546,56,6.86687928274526,4.1006201661262476e-06,0.007628499913410834,3,53,732,0.5691787187487197,0.9144326039102187,0.9316259921370819,0.42563357949256897,COMPLETE
23,0.8464912280696759,2025-12-18 14:21:44.396043,2025-12-18 14:21:44.797909,0 days 00:00:00.401866,32.99809211036431,0.3645151865399183,47,5.083564366163666,8.62876762449958e-08,0.034575729297470985,5,31,1058,0.5003094995432024,0.9036997390243688,0.9192938209331653,0.4416913688182831,COMPLETE
24,0.8416485900211929,2025-12-18 14:21:44.798132,2025-12-18 14:21:45.131956,0 days 00:00:00.333824,7.016830950886844e-05,0.4604171722542827,69,7.743408961640007,2.210264666763716e-06,0.11282562426840304,9,102,1477,0.6602223421740285,0.8986478706864822,0.9183665900155774,0.4192695617675781,COMPLETE
25,0.644314868804228,2025-12-18 14:21:45.132202,2025-12-18 14:21:45.265397,0 days 00:00:00.133195,0.025567260387702916,0.5892308507993445,33,6.408592525078195,0.00045649862293012703,0.06652639871695626,12,178,1070,0.5909967774011727,0.4752688172043011,0.5,0.5056202411651611,COMPLETE
26,0.8372093023250835,2025-12-18 14:21:45.265616,2025-12-18 14:21:45.809799,0 days 00:00:00.544183,2.8633465092977,0.738366518450615,143,5.038359078210419,1.4913671087471923e-05,0.02785293347927141,3,138,765,0.7610270032476959,0.8957926000906067,0.9056078925895705,0.4271066188812256,COMPLETE
27,0.8547368421047655,2025-12-18 14:21:45.810032,2025-12-18 14:21:46.149101,0 days 00:00:00.339069,0.3194353858545056,0.366920091684543,92,8.801600060132424,6.401343949448142e-08,0.0067979216134914444,5,34,231,0.5470809233356391,0.9136535451845458,0.9283065054521178,0.4165495038032532,COMPLETE
28,0.8583690987119478,2025-12-18 14:21:46.149318,2025-12-18 14:21:46.542028,0 days 00:00:00.392710,0.005755285220002621,0.4445897730310291,177,4.034158282780237,5.810315904541117e-07,0.16001668111816084,7,86,484,0.6682637105920133,0.909959642300515,0.9286588532008011,0.42160579562187195,COMPLETE
29,0.644314868804228,2025-12-18 14:21:46.542265,2025-12-18 14:21:46.652369,0 days 00:00:00.110104,0.0002756209386489063,0.3015675462092581,20,2.003313706156325,6.791345089258218e-08,0.04522290196563113,6,224,1385,0.5948126852456647,0.4752688172043011,0.5,0.5065387487411499,COMPLETE
30,0.644314868804228,2025-12-18 14:21:46.652590,2025-12-18 14:21:46.784863,0 days 00:00:00.132273,2.4602144495813876e-05,0.5876993026471442,63,9.032856333066553,2.6051976962403942e-05,0.08433274797631263,8,491,1143,0.5264688473319494,0.4752688172043011,0.5,0.5061861276626587,COMPLETE
31,0.8792710706145341,2025-12-18 14:21:46.785093,2025-12-18 14:21:48.098953,0 days 00:00:01.313860,0.051765463695423695,0.39253712053366074,41,5.514872406573973,9.04704143120946e-06,0.021889965917480287,8,33,1397,0.5831827005467362,0.9363963447446385,0.9477412654847562,0.5336167812347412,COMPLETE
32,0.8701298701293709,2025-12-18 14:21:48.099215,2025-12-18 14:21:49.016238,0 days 00:00:00.917023,6.757672085243659,0.3632117194501131,36,5.384094699124715,0.0003187844477493329,0.01973368436314355,10,43,1391,0.5971042207058134,0.9255486495656022,0.9390994733328388,0.43734297156333923,COMPLETE
