number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.7307785008430838,2025-12-21 03:57:20.172082,2025-12-21 04:50:39.863646,0 days 00:53:19.691564,32,256,0.49035770649588023,7,3,0.0017861525968148558,3.4570923244506395e-05,0.7869370036012037,0.7230069427814086,0.42563551664352417,COMPLETE
1,0.7289014615742385,2025-12-21 04:50:39.863977,2025-12-21 06:54:49.489150,0 days 02:04:09.625173,32,128,0.13830957437484942,5,3,1.6270555179520214e-05,7.263465709332089e-08,0.7786080455071871,0.723463687150349,0.3524300158023834,COMPLETE
2,0.7453726863426753,2025-12-21 06:54:49.489453,2025-12-21 07:49:31.676989,0 days 00:54:42.187536,16,512,0.13430286652408457,5,3,0.00019795968905146537,0.00015014332223841262,0.7828903476935147,0.7212960788912686,0.07889063656330109,COMPLETE
3,0.7428433966798056,2025-12-21 07:49:31.677257,2025-12-21 08:47:01.218848,0 days 00:57:29.541591,64,256,0.46647780499083136,7,4,0.00015461695421599742,0.0014569057451223521,0.7858082505855186,0.7210076045622463,0.23377588391304016,COMPLETE
4,0.7435072965614634,2025-12-21 08:47:01.219134,2025-12-21 09:37:54.990712,0 days 00:50:53.771578,16,256,0.48394787755261875,7,2,0.00034887915503451975,4.096909026539219e-06,0.7877611048859384,0.7276332094171004,0.2565949857234955,COMPLETE
5,0.6987487969196228,2025-12-21 09:37:54.991003,2025-12-21 09:41:29.661099,0 days 00:03:34.670096,16,128,0.03632035566208058,7,1,3.868942727265071e-05,2.734437065825931e-08,0.7472919030470458,0.6987487969196228,0.37906134128570557,PRUNED
6,0.7015485687465772,2025-12-21 09:41:29.661300,2025-12-21 09:45:05.776777,0 days 00:03:36.115477,64,128,0.07355401530140826,7,4,4.590537702371749e-05,0.0009723388057336196,0.7491204007131934,0.7015485687465772,0.33463817834854126,PRUNED
7,0.7038588754129699,2025-12-21 09:45:05.776976,2025-12-21 09:48:40.602637,0 days 00:03:34.825661,64,512,0.4210745958961274,3,3,0.0004451281312184472,8.327509795082444e-05,0.7545015046125005,0.7038588754129699,0.33330288529396057,PRUNED
8,0.705426356588661,2025-12-21 09:48:40.602831,2025-12-21 09:52:26.712806,0 days 00:03:46.109975,16,256,0.2906599440019098,3,4,0.00014553479332346845,0.0022600634916390477,0.756787934205797,0.705426356588661,0.384652316570282,PRUNED
9,0.7526302911666208,2025-12-21 09:52:26.712997,2025-12-21 10:43:09.264470,0 days 00:50:42.551473,16,128,0.09529213936896613,3,4,0.001299739794894528,4.534744873709156e-07,0.7899275824483016,0.7227839172344029,0.08832322061061859,COMPLETE
10,0.7333497173747816,2025-12-21 10:43:09.264773,2025-12-21 11:08:24.399722,0 days 00:25:15.134949,16,128,0.2717795187365965,3,1,0.0029565011243869893,1.016876479644436e-06,0.8019064885092708,0.7333497173747816,0.46921515464782715,PRUNED
11,0.7442436246590737,2025-12-21 11:08:24.399969,2025-12-21 11:59:03.061668,0 days 00:50:38.661699,16,512,0.181817259071541,5,2,0.0009322928678349338,6.58168818837086e-07,0.7923194288815127,0.7238185704103375,0.02078367955982685,COMPLETE
12,0.7074418604646275,2025-12-21 11:59:03.061935,2025-12-21 12:06:19.103640,0 days 00:07:16.041705,16,512,0.15976849460715617,5,4,0.0006728332110156769,0.00020959745742954783,0.7643108498887692,0.7074418604646275,0.34354522824287415,PRUNED
13,0.7035245335171351,2025-12-21 12:06:19.103852,2025-12-21 12:09:51.299273,0 days 00:03:32.195421,16,512,0.10253807172407373,5,3,7.102497332939914e-05,4.95064194024211e-06,0.7546903152756341,0.7035245335171351,0.4639241695404053,PRUNED
14,0.7493670886070977,2025-12-21 12:09:51.299471,2025-12-21 13:07:34.224447,0 days 00:57:42.924976,16,512,0.013071691537532043,3,2,0.0011748378755344381,2.2809637253164304e-07,0.7944484673154941,0.726009776176502,0.2885211110115051,COMPLETE
15,0.7457627118639096,2025-12-21 13:07:34.224707,2025-12-21 13:53:54.639542,0 days 00:46:20.414835,32,128,0.019302538679927872,3,2,0.0013153793920195676,3.260116501065776e-07,0.7868164642898254,0.7217782217777255,0.17661330103874207,COMPLETE
16,0.7496190959873136,2025-12-21 13:53:54.639835,2025-12-21 14:36:43.029008,0 days 00:42:48.389173,16,128,0.2106939628240521,3,2,0.0029860236459459543,1.546970323321928e-08,0.8025364936068652,0.7366754617409255,0.32188650965690613,COMPLETE
17,0.7032825573906412,2025-12-21 14:36:43.029268,2025-12-21 14:40:10.460407,0 days 00:03:27.431139,16,128,0.21510288106847714,3,1,0.002780979683971283,1.0691825212343134e-08,0.7627124193370308,0.7032825573906412,0.38109055161476135,PRUNED
18,0.7148456638897553,2025-12-21 14:40:10.460590,2025-12-21 14:47:15.553470,0 days 00:07:05.092880,64,128,0.3451556693476317,3,2,0.0019816473754648545,8.232477982984684e-08,0.7748308045037363,0.7148456638897553,0.3594307601451874,PRUNED
19,0.7046070460699759,2025-12-21 14:47:15.553661,2025-12-21 14:50:48.165350,0 days 00:03:32.611689,32,128,0.2242062328219297,3,1,0.0006240304363623017,1.5942859511030129e-06,0.7569730743661482,0.7046070460699759,0.425219863653183,PRUNED
20,0.7035500230516102,2025-12-21 14:50:48.165557,2025-12-21 14:54:18.291009,0 days 00:03:30.125452,16,128,0.33002118695032795,3,4,0.00029243464522651355,1.2237618338916165e-08,0.7573683141057717,0.7035500230516102,0.4157589077949524,PRUNED
