number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.6975153863683308,2025-12-15 21:03:29.300134,2025-12-15 21:03:46.098765,0 days 00:00:16.798631,0.025911044872453524,balanced,0.23497706485509207,1287,0.0009229731333435224,0.753003325446499,0.7463294972174652,0.40423667430877686,COMPLETE
1,0.7137724550893281,2025-12-15 21:03:46.099016,2025-12-15 21:03:48.344067,0 days 00:00:02.245051,88.65327134171805,balanced,0.5070157910313436,4414,7.776337807448792e-06,0.7673754871619018,0.7658051849815946,0.3691851496696472,COMPLETE
2,0.7230464886246283,2025-12-15 21:03:48.344214,2025-12-15 21:03:48.655996,0 days 00:00:00.311782,202.3765944100521,balanced,0.7550346986842383,580,0.0004885694406088326,0.7742521656225169,0.7732218029039843,0.4146314561367035,COMPLETE
3,0.7149236192709552,2025-12-15 21:03:48.656108,2025-12-15 21:03:50.217770,0 days 00:00:01.561662,563.8902282526414,,0.8070908921355794,3178,0.0003648174466464382,0.769470066866553,0.7670942655588208,0.32308831810951233,COMPLETE
4,0.7211987226720672,2025-12-15 21:03:50.217913,2025-12-15 21:03:50.874060,0 days 00:00:00.656147,2.220375442804646,balanced,0.513133982981147,2937,0.00026024692439364084,0.7768694785438143,0.7748324195249606,0.4128979444503784,COMPLETE
5,0.7143872955671791,2025-12-15 21:03:50.874212,2025-12-15 21:03:52.827470,0 days 00:00:01.953258,64.85522065590774,,0.617927047004992,3899,0.00013052782322146722,0.7685035793341576,0.7665592530732386,0.33385947346687317,COMPLETE
6,0.7059859154924769,2025-12-15 21:03:52.827616,2025-12-15 21:03:52.947007,0 days 00:00:00.119391,0.11925470592906015,,0.5318583801285636,2879,0.00030359671184862844,0.766131409786927,0.7600275199616624,0.33260980248451233,COMPLETE
7,0.7161739966349315,2025-12-15 21:03:52.947132,2025-12-15 21:03:55.027477,0 days 00:00:02.080345,14.002733061619331,balanced,0.9472075505888584,4142,1.8777807672357755e-06,0.7693713223838943,0.767777272716595,0.3755152225494385,COMPLETE
8,0.7116455132482371,2025-12-15 21:03:55.027652,2025-12-15 21:03:55.180490,0 days 00:00:00.152838,0.2819144528252864,balanced,0.9187812796781225,4449,0.0006184937613720954,0.7691709770655506,0.7639872583634608,0.35278406739234924,COMPLETE
9,0.7228915662645673,2025-12-15 21:03:55.180635,2025-12-15 21:03:55.846665,0 days 00:00:00.666030,0.6456775039258437,,0.3563819895003272,3101,2.5122434638302952e-06,0.7804908779986682,0.7756659172968186,0.3711749017238617,COMPLETE
10,0.6623164763453971,2025-12-15 21:03:55.846890,2025-12-15 21:03:55.906365,0 days 00:00:00.059475,0.00018560629691291466,balanced,0.03755010317843549,215,0.00718451507376217,0.6175653785957286,0.6019207594240893,0.4452793002128601,COMPLETE
11,0.6796196775522376,2025-12-15 21:03:55.906480,2025-12-15 21:03:56.058847,0 days 00:00:00.152367,0.00747252995422104,,0.22989302618771376,1458,2.4829432942790067e-05,0.720659178797127,0.7103252417833592,0.3928610384464264,COMPLETE
12,0.7209999999995037,2025-12-15 21:03:56.058963,2025-12-15 21:03:57.081141,0 days 00:00:01.022178,2.67876338928497,,0.735509337543504,2014,2.8313933144758832e-05,0.7751296540200825,0.7736439107239759,0.4024890959262848,COMPLETE
13,0.7228103946097094,2025-12-15 21:03:57.081274,2025-12-15 21:03:57.215612,0 days 00:00:00.134338,676.7345696415135,,0.26264576827362696,248,1.2447483638326024e-06,0.7718033839498362,0.7704150428362357,0.36045172810554504,COMPLETE
14,0.6623117401556082,2025-12-15 21:03:57.215715,2025-12-15 21:03:57.247813,0 days 00:00:00.032098,0.000675740084792754,balanced,0.35920343076490757,1865,0.0033352465393562095,0.6208218932496181,0.6018965341057246,0.4518434405326843,COMPLETE
15,0.719658976930296,2025-12-15 21:03:57.247911,2025-12-15 21:03:58.719062,0 days 00:00:01.471151,2.5214072355470405,,0.6417062790545105,3612,6.09132944198228e-05,0.7755679612534333,0.7737786915861505,0.40544334053993225,COMPLETE
16,0.6815003178634796,2025-12-15 21:03:58.719218,2025-12-15 21:03:58.870930,0 days 00:00:00.151712,0.011930223441339434,,0.36920798522615905,2249,7.393615772289354e-06,0.726113192830684,0.7154441249638822,0.3942248225212097,COMPLETE
17,0.7171912832924847,2025-12-15 21:03:58.871040,2025-12-15 21:03:58.958597,0 days 00:00:00.087557,33.55639368220508,balanced,0.04066251496783435,909,0.0013534176843371642,0.7684705862382755,0.7675429478189578,0.3967173099517822,COMPLETE
18,0.7170080990943153,2025-12-15 21:03:58.958703,2025-12-15 21:04:01.448749,0 days 00:00:02.490046,7.983475450204539,balanced,0.7961202616549847,4934,4.684218276408479e-06,0.7704293573665697,0.7688919310015951,0.36870986223220825,COMPLETE
19,0.6623117401556082,2025-12-15 21:04:01.448914,2025-12-15 21:04:01.531123,0 days 00:00:00.082209,0.0017628647578426854,,0.41119572874338306,2482,7.860168209909506e-05,0.6208217220632034,0.6018963872856132,0.3832758963108063,COMPLETE
20,0.7035198555951833,2025-12-15 21:04:01.531245,2025-12-15 21:04:01.666922,0 days 00:00:00.135677,0.09713023946936598,balanced,0.6085399226304737,3498,2.1784771514872635e-05,0.762833561653435,0.7569266792109769,0.38290050625801086,COMPLETE
21,0.7200606366846974,2025-12-15 21:04:01.667034,2025-12-15 21:04:01.784480,0 days 00:00:00.117446,823.2670385085449,,0.20545541027012598,208,1.117824393744051e-06,0.7732346325891122,0.7722952211815614,0.3981648087501526,COMPLETE
22,0.719095477386438,2025-12-15 21:04:01.784581,2025-12-15 21:04:02.140839,0 days 00:00:00.356258,183.74259188847685,,0.12636502483972387,717,2.208763753321895e-06,0.7720306984313297,0.7703583702732734,0.40065425634384155,COMPLETE
23,0.718647489275304,2025-12-15 21:04:02.140944,2025-12-15 21:04:02.469258,0 days 00:00:00.328314,251.64696052087265,,0.31028376617643316,662,1.0135640275113154e-06,0.7724523592698115,0.770293475784078,0.4117603600025177,COMPLETE
24,0.7170647623733045,2025-12-15 21:04:02.469356,2025-12-15 21:04:03.183042,0 days 00:00:00.713686,948.171069671881,,0.4306744097196568,1364,4.424762960635454e-06,0.7729438939036485,0.770726007831972,0.37256598472595215,COMPLETE
