number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.7287449392707634,2025-12-21 03:57:31.041171,2025-12-21 06:32:50.180398,0 days 02:35:19.139227,64,0.37702083747877413,256,0.00024494321088784995,2.8021491446519644e-05,0.785812361548635,0.7268351383869922,0.39978083968162537,COMPLETE
1,0.7271428571423655,2025-12-21 06:32:50.180720,2025-12-21 08:48:03.922332,0 days 02:15:13.741612,32,0.26602984333728347,1024,6.912407900246712e-05,3.220530146877347e-08,0.7762182545555344,0.7204797047965603,0.2962525486946106,COMPLETE
2,0.725936462778077,2025-12-21 08:48:03.922587,2025-12-21 10:23:05.215917,0 days 01:35:01.293330,16,0.01623060757484074,256,0.0001308434106066595,0.006280895998960045,0.7778105186625981,0.7243012790141939,0.43364882469177246,COMPLETE
3,0.727008712487406,2025-12-21 10:23:05.216172,2025-12-21 11:56:30.533056,0 days 01:33:25.316884,32,0.13958717901718404,2048,0.00025360049366572,0.00019073129577397232,0.7874773016107928,0.724504591589647,0.32297253608703613,COMPLETE
4,0.7256300523057378,2025-12-21 11:56:30.533309,2025-12-21 12:34:41.146094,0 days 00:38:10.612785,32,0.237639866813327,2048,0.0019468490224663904,0.00035888548855408253,0.7830470047522733,0.7229488703918986,0.35731345415115356,COMPLETE
5,0.725730442977832,2025-12-21 12:34:41.146327,2025-12-21 13:33:37.326952,0 days 00:58:56.180625,32,0.3982118184794477,512,0.0005017614100378762,1.4305208463167105e-07,0.7873702697496541,0.7220166512483557,0.29962781071662903,COMPLETE
6,0.7259223766166616,2025-12-21 13:33:37.327185,2025-12-21 14:26:44.001202,0 days 00:53:06.674017,16,0.18846930282803076,2048,0.0026871456735328425,2.7200821454578043e-07,0.7658471755334267,0.7158900836315271,0.18756546080112457,COMPLETE
7,0.6788990825683316,2025-12-21 14:26:44.001437,2025-12-21 14:30:17.155621,0 days 00:03:33.154184,64,0.028918128616893468,512,3.390315714272161e-05,0.0018820040043414945,0.711746607280868,0.6788990825683316,0.4551158547401428,PRUNED
8,0.7279466271307129,2025-12-21 14:30:17.155809,2025-12-21 15:19:41.412515,0 days 00:49:24.256706,16,0.22432924176515384,2048,0.002380115604871282,0.0006017490200500825,0.7712047882149258,0.7155040454838849,0.13538576662540436,COMPLETE
9,0.7065269175793082,2025-12-21 15:19:41.412762,2025-12-21 15:26:39.424417,0 days 00:06:58.011655,32,0.31139214443578467,2048,0.000389801690954649,0.00023523043007993064,0.7620072423424503,0.7065269175793082,0.4317457675933838,PRUNED
10,0.6772925764187344,2025-12-21 15:26:39.424595,2025-12-21 15:30:08.445383,0 days 00:03:29.020788,64,0.47796939440780506,256,1.2173106033970323e-05,7.734236565493295e-06,0.6902326159115415,0.6772925764187344,0.48953869938850403,PRUNED
11,0.7277167277162335,2025-12-21 15:30:08.445560,2025-12-21 16:33:44.304276,0 days 01:03:35.858716,16,0.3660388783861531,256,0.0011003887910516685,1.0731471734089919e-05,0.7799148913178808,0.7174776564046682,0.4132305383682251,COMPLETE
12,0.7015124555155319,2025-12-21 16:33:44.304526,2025-12-21 16:37:15.317208,0 days 00:03:31.012682,64,0.496203560860511,1024,0.0008484138759023653,1.5332876164180604e-05,0.7533745134381511,0.7015124555155319,0.3568043112754822,PRUNED
13,0.6886097877864426,2025-12-21 16:37:15.317393,2025-12-21 16:40:45.229984,0 days 00:03:29.912591,64,0.14949533179372376,256,0.00010675837049146234,5.569079716793518e-05,0.7316495415688845,0.6886097877864426,0.40042269229888916,PRUNED
14,0.7108941646323114,2025-12-21 16:40:45.230163,2025-12-21 16:47:49.185393,0 days 00:07:03.955230,16,0.39319317017924016,2048,0.000931885037897939,1.8378297948011298e-06,0.7674589667152933,0.7108941646323114,0.41503074765205383,PRUNED
15,0.6808510638293102,2025-12-21 16:47:49.185579,2025-12-21 16:51:20.863381,0 days 00:03:31.677802,64,0.32283895506582483,256,1.0406697535580344e-05,0.0016311097804345444,0.7081765294544633,0.6808510638293102,0.5049523115158081,PRUNED
16,0.6898230088490759,2025-12-21 16:51:20.863559,2025-12-21 16:54:53.407176,0 days 00:03:32.543617,16,0.0871469696243477,512,3.959745511972525e-05,1.8726345287126693e-06,0.7328453913754343,0.6898230088490759,0.41048571467399597,PRUNED
17,0.702626641650542,2025-12-21 16:54:53.407355,2025-12-21 16:58:24.211169,0 days 00:03:30.803814,16,0.23841855208352966,1024,0.00024171915922254373,4.667102922528403e-05,0.7524655501290842,0.702626641650542,0.3987843096256256,PRUNED
18,0.6999781802308102,2025-12-21 16:58:24.211353,2025-12-21 17:01:53.343033,0 days 00:03:29.131680,64,0.4238758529533756,256,0.000551766962021705,0.0009112136505171624,0.7503094967946233,0.6999781802308102,0.38441962003707886,PRUNED
19,0.7274476786138926,2025-12-21 17:01:53.343209,2025-12-21 17:43:56.878337,0 days 00:42:03.535128,64,0.31135277276741913,2048,0.0029427342424995463,5.182541633966415e-05,0.7772010683805859,0.7228192951757098,0.4112147092819214,COMPLETE
20,0.6881209503234963,2025-12-21 17:43:56.878579,2025-12-21 17:47:31.893062,0 days 00:03:35.014483,16,0.19638421733452305,2048,2.4530733716810216e-05,0.009738013072401358,0.7318477487191413,0.6881209503234963,0.4006637632846832,PRUNED
21,0.7291875626875677,2025-12-21 17:47:31.893236,2025-12-21 18:43:47.970639,0 days 00:56:16.077403,16,0.36243821417567723,256,0.001247235913046123,6.238514126956733e-06,0.7823173087991055,0.7246171967015121,0.32864245772361755,COMPLETE
22,0.7287853577366136,2025-12-21 18:43:47.970888,2025-12-21 19:54:57.807316,0 days 01:11:09.836428,16,0.44715180708082397,256,0.0014260583046466825,9.378169031823503e-07,0.780249641171648,0.7229999999995038,0.3800998032093048,COMPLETE
23,0.7304390483193485,2025-12-21 19:54:57.807557,2025-12-21 20:44:00.355295,0 days 00:49:02.547738,16,0.45069481125733857,256,0.0017529403643688683,1.413277310940859e-06,0.7867693350340975,0.724905303029812,0.36839163303375244,COMPLETE
24,0.7030857142852279,2025-12-21 20:44:00.355559,2025-12-21 20:47:25.390935,0 days 00:03:25.035376,16,0.447422277516662,256,0.0010163993948591455,1.4345701362766571e-06,0.7558431467895728,0.7030857142852279,0.49441710114479065,PRUNED
25,0.7294231233400815,2025-12-21 20:47:25.391112,2025-12-21 21:54:03.298210,0 days 01:06:37.907098,16,0.44952448198696815,256,0.0016351039999322622,5.098929842101196e-07,0.7724082726672633,0.7121034077550916,0.2673358917236328,COMPLETE
26,0.7147406733389137,2025-12-21 21:54:03.298449,2025-12-21 22:01:04.505612,0 days 00:07:01.207163,16,0.3382566336055802,256,0.0016107609929809164,1.0935413070144803e-08,0.7746325973534793,0.7147406733389137,0.3970089852809906,PRUNED
27,0.699724517905849,2025-12-21 22:01:04.505792,2025-12-21 22:04:35.818852,0 days 00:03:31.313060,16,0.45908192009298737,256,0.0006528309436893473,3.440738044253588e-07,0.75196415944899,0.699724517905849,0.29112088680267334,PRUNED
28,0.7085739671252396,2025-12-21 22:04:35.819039,2025-12-21 22:11:30.379748,0 days 00:06:54.560709,16,0.42608134562121003,256,0.0014453283877601275,4.5765090158832905e-06,0.7664150757239406,0.7085739671252396,0.3430495858192444,PRUNED
29,0.6977401129938601,2025-12-21 22:11:30.379930,2025-12-21 22:15:14.300621,0 days 00:03:43.920691,16,0.35939003401609315,256,0.0003520111187465504,8.007148563959307e-08,0.748411406395719,0.6977401129938601,0.4044759273529053,PRUNED
30,0.7108488424870316,2025-12-21 22:15:14.300804,2025-12-21 22:22:16.801315,0 days 00:07:02.500511,16,0.2829842718111599,256,0.0006719894955464552,6.444202488719946e-07,0.7676956407347112,0.7108488424870316,0.3466636836528778,PRUNED
31,0.7293646823406742,2025-12-21 22:22:16.801491,2025-12-21 23:25:28.658424,0 days 01:03:11.856933,16,0.4161768329244858,256,0.001427928302979951,3.4420751031231828e-06,0.7801615491048671,0.724740321057111,0.30024319887161255,COMPLETE
32,0.7285748388631988,2025-12-21 23:25:28.658677,2025-12-22 00:25:18.604267,0 days 00:59:49.945590,16,0.4112575940886826,256,0.0016181249781836743,6.1202131558087604e-06,0.7822305381133263,0.7185882352936275,0.23964668810367584,COMPLETE
33,0.7149017728792394,2025-12-22 00:25:18.604509,2025-12-22 00:32:17.090995,0 days 00:06:58.486486,16,0.49809661403617,1024,0.0020053484799264472,3.2522218780606754e-06,0.7718436025191983,0.7149017728792394,0.3905457854270935,PRUNED
34,0.713891444341739,2025-12-22 00:32:17.091191,2025-12-22 00:39:15.081486,0 days 00:06:57.990295,16,0.373353616600966,256,0.0012043838530489135,6.290479484323197e-08,0.7700644364104479,0.713891444341739,0.4334414303302765,PRUNED
35,0.7018646553525549,2025-12-22 00:39:15.081674,2025-12-22 00:42:42.160432,0 days 00:03:27.078758,16,0.45909396961035953,256,0.0008435865472164592,2.6138518695598543e-05,0.7547544756642729,0.7018646553525549,0.3221438229084015,PRUNED
36,0.7272285644882116,2025-12-22 00:42:42.160615,2025-12-22 01:51:55.016156,0 days 01:09:12.855541,32,0.2766382001357269,256,0.0019907826942011193,5.034215448869665e-07,0.7763383534065789,0.7184557438789825,0.21740442514419556,COMPLETE
37,0.7009324539453864,2025-12-22 01:51:55.016415,2025-12-22 01:55:24.873930,0 days 00:03:29.857515,16,0.38919284086962064,512,0.00016728191833495439,2.171761639098648e-07,0.7477022652581333,0.7009324539453864,0.357259601354599,PRUNED
38,0.7007400555036746,2025-12-22 01:55:24.874122,2025-12-22 01:58:52.288724,0 days 00:03:27.414602,32,0.42921389007363653,256,0.0004136748598947116,2.3583422953960626e-06,0.7519847142645723,0.7007400555036746,0.3573700487613678,PRUNED
39,0.7259475218653956,2025-12-22 01:58:52.288911,2025-12-22 02:55:09.323237,0 days 00:56:17.034326,16,0.35065626558490176,1024,0.0029909097559010027,0.00010525138215910254,0.7699908795346859,0.7137610715052469,0.0991712436079979,COMPLETE
40,0.7105263157889858,2025-12-22 02:55:09.323477,2025-12-22 03:02:04.622593,0 days 00:06:55.299116,16,0.4723957488012293,512,0.002176126694951141,8.723076156811061e-07,0.7654983309489748,0.7105263157889858,0.3546312749385834,PRUNED
41,0.7157113019257125,2025-12-22 03:02:04.622778,2025-12-22 03:12:42.542018,0 days 00:10:37.919240,16,0.43846500295430363,256,0.0014024772341771684,9.468420087486973e-07,0.7711309376989413,0.7157113019257125,0.42092767357826233,PRUNED
42,0.7140607424067149,2025-12-22 03:12:42.542207,2025-12-22 03:19:46.433698,0 days 00:07:03.891491,16,0.40657507752249616,256,0.0012678882578650568,1.6682855463355946e-05,0.772720852684224,0.7140607424067149,0.27299588918685913,PRUNED
43,0.7105624142656315,2025-12-22 03:19:46.433882,2025-12-22 03:26:51.242355,0 days 00:07:04.808473,16,0.47652371732756565,256,0.001817385067094341,1.7644391571113201e-07,0.7685815532863041,0.7105624142656315,0.3270529806613922,PRUNED
44,0.7033997655329216,2025-12-22 03:26:51.242530,2025-12-22 03:30:32.675221,0 days 00:03:41.432691,16,0.3868343849780487,256,0.0008156291954583504,3.905371008892833e-06,0.7557274525418674,0.7033997655329216,0.438297837972641,PRUNED
45,0.7047443574384806,2025-12-22 03:30:32.675407,2025-12-22 03:34:02.142963,0 days 00:03:29.467556,32,0.4495870938222771,256,0.0023808183873995936,4.2302179838742847e-07,0.7587193527699669,0.7047443574384806,0.4324951767921448,PRUNED
46,0.7039080459765241,2025-12-22 03:34:02.143145,2025-12-22 03:37:33.599502,0 days 00:03:31.456357,16,0.4098908206943035,256,0.0006550308037974574,1.1859590555264316e-06,0.7560353343152661,0.7039080459765241,0.3863098919391632,PRUNED
47,0.7042640990366521,2025-12-22 03:37:33.599682,2025-12-22 03:41:07.109771,0 days 00:03:33.510089,16,0.4850630408854699,256,0.0010863556960662838,9.645387500566573e-08,0.7597523790730835,0.7042640990366521,0.39093324542045593,PRUNED
48,0.6994510521495592,2025-12-22 03:41:07.109982,2025-12-22 03:44:35.064900,0 days 00:03:27.954918,16,0.46442553498255945,256,0.0003021785915227373,8.0314749506371e-06,0.7505435280520376,0.6994510521495592,0.374483585357666,PRUNED
49,0.7016089712330505,2025-12-22 03:44:35.065083,2025-12-22 03:48:03.515549,0 days 00:03:28.450466,32,0.3370797747470466,512,0.0004806591493677367,1.3949487496214988e-05,0.7549043789979116,0.7016089712330505,0.4818287789821625,PRUNED
50,0.7285817134624306,2025-12-22 03:48:03.515729,2025-12-22 04:33:31.631506,0 days 00:45:28.115777,16,0.37156272996444323,1024,0.0013296104853002878,2.785621022401035e-06,0.7814892433713656,0.7197855750482388,0.2990016043186188,COMPLETE
51,0.6846282372593442,2025-12-22 04:33:31.631744,2025-12-22 04:37:03.366815,0 days 00:03:31.735071,64,0.4392245468042402,256,9.696915223744197e-05,2.7985341658622062e-05,0.7241022537474365,0.6846282372593442,0.3928055763244629,PRUNED
52,0.6978350990322163,2025-12-22 04:37:03.367003,2025-12-22 04:40:34.525747,0 days 00:03:31.158744,64,0.38362156117284185,256,0.00021461702583250314,0.00010739205367467224,0.7433437634340401,0.6978350990322163,0.42985233664512634,PRUNED
