number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.6621964479879586,2025-12-15 21:28:08.860177,2025-12-15 21:28:13.575538,0 days 00:00:04.715361,58.673060734766324,,6.523480938293306e-06,poly,3125,5.976589248293514e-05,0.4949878081820645,0.5,0.4713408648967743,COMPLETE
1,0.7254948724058998,2025-12-15 21:28:13.575705,2025-12-15 21:28:17.633722,0 days 00:00:04.058017,0.20882685971022166,,,linear,2183,2.3401041315876828e-05,0.7726624856088373,0.7740309285373663,0.35185641050338745,COMPLETE
2,0.6621964479879586,2025-12-15 21:28:17.633905,2025-12-15 21:28:22.397768,0 days 00:00:04.763863,0.0031091691704843664,balanced,1.2192168352781547,sigmoid,3324,0.0022328744192337308,0.4949878081820645,0.5,0.4999999403953552,COMPLETE
3,0.68537859007785,2025-12-15 21:28:22.397951,2025-12-15 21:28:59.307858,0 days 00:00:36.909907,498.19112543698924,,0.340092490059649,poly,2481,0.004399168179045228,0.6952534324166524,0.7025026662532213,0.3314758241176605,COMPLETE
4,0.6627608934451791,2025-12-15 21:28:59.308134,2025-12-15 21:29:02.791573,0 days 00:00:03.483439,0.0013814554815211534,balanced,0.0011395230755391476,sigmoid,3642,0.005268290915972989,0.6437199562060061,0.6296226312043243,0.4994361698627472,COMPLETE
5,0.6621964479879586,2025-12-15 21:29:02.791726,2025-12-15 21:29:06.966211,0 days 00:00:04.174485,15.511690418481557,,5.44924024650632,sigmoid,4278,1.6612269405762675e-05,0.4949878081820645,0.5,0.47581687569618225,COMPLETE
6,0.6846085409247844,2025-12-15 21:29:06.966423,2025-12-15 21:30:12.008997,0 days 00:01:05.042574,0.32388346571185156,balanced,3.020699171848,poly,2947,5.088533633630906e-05,0.6929774463741016,0.7007769426649848,0.3733997642993927,COMPLETE
7,0.7112927950940345,2025-12-15 21:30:12.009298,2025-12-15 21:30:15.918901,0 days 00:00:03.909603,99.99740268642097,balanced,0.7838275266066,rbf,3307,0.00017631712520608113,0.7245043033625662,0.7503467891028939,0.4992593824863434,COMPLETE
8,0.7065060240958926,2025-12-15 21:30:15.919049,2025-12-15 21:30:18.078821,0 days 00:00:02.159772,20.54075254603389,balanced,0.000509221380869368,rbf,445,6.27995090502239e-05,0.7601020751283694,0.7574624257971158,0.38873472809791565,COMPLETE
9,0.6621964479879586,2025-12-15 21:30:18.079072,2025-12-15 21:30:21.468649,0 days 00:00:03.389577,0.012529398789215208,,6.453494355303325e-05,poly,2830,0.0017441576283860772,0.4949878081820645,0.5,0.47134754061698914,COMPLETE
10,0.7254059216805013,2025-12-15 21:30:21.468810,2025-12-15 21:32:30.314503,0 days 00:02:08.845693,0.23438793655034998,,,linear,1767,3.124625536093141e-06,0.772886681416779,0.7743711107352517,0.35527870059013367,COMPLETE
11,0.7260806216605068,2025-12-15 21:32:30.314722,2025-12-15 21:35:11.226600,0 days 00:02:40.911878,0.4712649262434963,,,linear,1561,1.3755609699432387e-06,0.7721372879314562,0.7750359121992243,0.3721837103366852,COMPLETE
12,0.7219442458894296,2025-12-15 21:35:11.226825,2025-12-15 21:37:05.293073,0 days 00:01:54.066248,1.5082712755364962,,,linear,1336,1.4580616379489146e-06,0.7668497740223035,0.7716158845265697,0.3669106066226959,COMPLETE
13,0.7138063278997954,2025-12-15 21:37:05.293248,2025-12-15 21:37:06.051633,0 days 00:00:00.758385,0.044730271527831995,,,linear,1839,5.965084831978334e-06,0.7670707331281093,0.7642356779917827,0.35249027609825134,COMPLETE
14,0.7219647822052577,2025-12-15 21:37:06.051786,2025-12-15 21:37:11.610513,0 days 00:00:05.558727,2.6802132439413504,,,linear,706,0.00038435130712021983,0.7655826620202554,0.7701500325353368,0.3497755825519562,COMPLETE
15,0.723845428840226,2025-12-15 21:37:11.610675,2025-12-15 21:39:49.674688,0 days 00:02:38.064013,0.17441059871287096,,,linear,2146,1.0169406444857853e-06,0.7723046829305211,0.7735549377365273,0.3420116901397705,COMPLETE
16,0.710387745332203,2025-12-15 21:39:49.674982,2025-12-15 21:39:50.439263,0 days 00:00:00.764281,0.03065322349675915,,,linear,1040,1.5882467765154045e-05,0.7653073231366387,0.7611059136791709,0.3509398102760315,COMPLETE
17,0.720924514383572,2025-12-15 21:39:50.439416,2025-12-15 21:43:11.992208,0 days 00:03:21.552792,4.312359453234623,,,linear,4946,9.090679350492991e-06,0.7622734186608126,0.7668904792443345,0.4034753739833832,COMPLETE
18,0.7258258982391983,2025-12-15 21:43:11.992483,2025-12-15 21:43:13.297306,0 days 00:00:01.304823,0.49375891623224843,,,linear,1382,0.0006364365373295893,0.7718324363162565,0.7749360745235394,0.366437166929245,COMPLETE
19,0.7124730667938577,2025-12-15 21:43:13.297471,2025-12-15 21:43:13.927802,0 days 00:00:00.630331,0.8047432183503758,,0.025594602718676175,rbf,215,0.0005487811888149911,0.7670859205965227,0.766272953856201,0.3493099808692932,COMPLETE
20,0.7150730889043723,2025-12-15 21:43:13.927969,2025-12-15 21:43:28.968199,0 days 00:00:15.040230,6.897886047884691,,,linear,1304,0.0006379368897843508,0.7574284166796053,0.7626284382333665,0.3895299732685089,COMPLETE
