number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.7475099601588667,2025-12-21 03:56:57.287379,2025-12-21 05:20:30.556754,0 days 01:23:33.269375,32,256,0.02377370804230816,512,3,1.1299845897149294e-05,8,0.001676583330059928,0.8103885799793746,0.7379098844062093,0.26960358023643494,COMPLETE
1,0.7476493011430857,2025-12-21 05:20:30.557100,2025-12-21 06:37:03.224973,0 days 01:16:32.667873,32,128,0.2696130068757588,1024,1,0.00011542398556321296,4,3.695446693074873e-05,0.799438736078517,0.7314578005110111,0.2802206575870514,COMPLETE
2,0.704027171275586,2025-12-21 06:37:03.225226,2025-12-21 07:08:44.006451,0 days 00:31:40.781225,64,384,0.3349232299510334,1024,3,0.000697110668577018,4,5.862238947165429e-07,0.5408052730736614,0.663508835853081,0.2990732491016388,COMPLETE
3,0.743302484169014,2025-12-21 07:08:44.006706,2025-12-21 07:51:00.014844,0 days 00:42:16.008138,16,256,0.4029195408444257,256,2,4.928729358098862e-05,8,1.5224314074440074e-05,0.7919638305719406,0.7287372660502079,0.215796560049057,COMPLETE
4,0.6623164763453971,2025-12-21 07:51:00.015128,2025-12-21 08:22:19.933081,0 days 00:31:19.917953,32,256,0.3090138624302297,256,4,0.0027142684276029497,8,1.4538226418167105e-06,0.5,0.6621964479879586,0.49913284182548523,COMPLETE
5,0.6871520819411784,2025-12-21 08:22:19.933349,2025-12-21 08:25:51.641089,0 days 00:03:31.707740,64,128,0.015718946655656207,256,4,1.2472960770415308e-05,4,1.0528274688254654e-05,0.727011200612651,0.6871520819411784,0.4145095944404602,PRUNED
6,0.7488406150837138,2025-12-21 08:25:51.641271,2025-12-21 09:18:22.716972,0 days 00:52:31.075701,16,128,0.47534970372210156,1536,3,0.00015781020671121318,4,2.0346921954198147e-05,0.7980276479887993,0.7305863708394371,0.3969593346118927,COMPLETE
7,0.7467194850205493,2025-12-21 09:18:22.717272,2025-12-21 10:03:51.442465,0 days 00:45:28.725193,32,128,0.31675673381721364,256,3,0.0004728615951959064,8,0.00016333847740568946,0.7969498415517359,0.7277353689562549,0.050381746143102646,COMPLETE
8,0.7452374904744835,2025-12-21 10:03:51.442719,2025-12-21 10:42:35.833130,0 days 00:38:44.390411,64,256,0.054154918813959396,512,2,0.00038442924339425466,8,1.905202505730055e-08,0.7926452227084905,0.7252318203997012,0.2946147322654724,COMPLETE
9,0.6999085086911877,2025-12-21 10:42:35.833378,2025-12-21 10:46:05.985396,0 days 00:03:30.152018,64,384,0.0029706461267349216,1536,1,4.069450418759719e-05,4,0.007932879814310739,0.747874632068801,0.6999085086911877,0.38700756430625916,PRUNED
10,0.7394418374902431,2025-12-21 10:46:05.985574,2025-12-21 11:24:47.492391,0 days 00:38:41.506817,16,128,0.49707098064025496,1536,4,0.00013978302940303143,4,1.5625676525879452e-07,0.789550695222591,0.720830169576825,0.28306087851524353,COMPLETE
11,0.7021375464679128,2025-12-21 11:24:47.492663,2025-12-21 11:28:17.635111,0 days 00:03:30.142448,16,128,0.1904194080023509,1024,1,0.00012127684514685792,4,0.00012450165648101395,0.7541438508213704,0.7021375464679128,0.35988616943359375,PRUNED
