number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.6858161648172877,2025-12-15 20:10:03.784199,2025-12-15 20:10:05.119258,0 days 00:00:01.335059,3.661213148146365e-05,0.7549331856272053,169,5.3121350291559235,3.268409043844577,0.001760593097105605,3,246,107,0.535936828884348,0.7084995972754137,0.7090223601156708,0.4542487561702728,COMPLETE
1,0.7012345679007507,2025-12-15 20:10:05.119450,2025-12-15 20:10:05.728506,0 days 00:00:00.609056,4.167657302146716e-08,0.7900862002519753,133,2.364601587423567,0.4233401109400725,0.2313754561117158,13,62,223,0.6011488001306561,0.755580030657126,0.7452838443847767,0.26477620005607605,COMPLETE
2,0.6931842614486736,2025-12-15 20:10:05.728667,2025-12-15 20:10:06.443168,0 days 00:00:00.714501,17.888972573455746,0.3062227695272864,179,8.56744601416149,0.0716660359033584,0.0013579183982568124,6,198,306,0.5398278595254553,0.7243724693608568,0.724892586406572,0.4484817087650299,COMPLETE
3,0.7068654019868685,2025-12-15 20:10:06.443334,2025-12-15 20:10:07.827084,0 days 00:00:01.383750,7.723807050022577e-05,0.5641454645563928,94,3.4839212110361317,0.49797007234601975,0.03539809844090696,6,350,721,0.7639591425505028,0.7697893737656386,0.7630555379371422,0.3302885890007019,COMPLETE
4,0.6962138084627689,2025-12-15 20:10:07.827289,2025-12-15 20:10:08.279389,0 days 00:00:00.452100,4.091194171570427e-07,0.4384782633598252,88,4.502540176266793,4.812048302223923e-07,0.0020427630391576697,6,98,153,0.658410210999272,0.7348600246355084,0.7341211113225321,0.45147743821144104,COMPLETE
5,0.7082945013974606,2025-12-15 20:10:08.279547,2025-12-15 20:10:08.942829,0 days 00:00:00.663282,1.640276711939184e-06,0.7666193952671233,178,8.498508205857663,3.766177731074862e-05,0.03506929997003448,3,199,397,0.6849294154241021,0.7622632383490353,0.75576386392947,0.36511334776878357,COMPLETE
6,0.7150810941655682,2025-12-15 20:10:08.942996,2025-12-15 20:10:10.342232,0 days 00:00:01.399236,0.020948770364824263,0.3715710850281777,22,0.01090584644152126,0.0008684894705228309,0.036950225902779965,8,249,738,0.5881584140411444,0.7722126424069824,0.767001328428367,0.38097289204597473,COMPLETE
7,0.6917997870069792,2025-12-15 20:10:10.342394,2025-12-15 20:10:10.697627,0 days 00:00:00.355233,3.6191065341072475e-06,0.881455888820242,184,5.937750434597185,6.209600389205272e-08,0.003439425866490515,13,217,118,0.5257055839468389,0.7166452143111524,0.7196258553739685,0.44196364283561707,COMPLETE
8,0.6907852734619635,2025-12-15 20:10:10.697795,2025-12-15 20:10:12.031818,0 days 00:00:01.334023,1.1897307502815704e-08,0.7187402648263335,27,5.253797198120628,1.2886030010242413e-06,0.0017197280684757793,8,369,641,0.8929513829025346,0.7247941199759369,0.7243315867612893,0.4085799753665924,COMPLETE
9,0.694661320953314,2025-12-15 20:10:12.032093,2025-12-15 20:10:13.593421,0 days 00:00:01.561328,27.196741797551056,0.3037817902649217,132,2.9341956993524865,0.00939458509131547,0.0023388674375589527,12,336,825,0.7410082619437146,0.7327375692106972,0.7318975207368725,0.39528387784957886,COMPLETE
10,0.7063453025081131,2025-12-15 20:10:13.593579,2025-12-15 20:10:14.158732,0 days 00:00:00.565153,0.03881251341408876,0.5129918371985468,22,0.5391797782899997,0.00026502507710640005,0.18662948246057362,10,494,1289,0.9919023838782774,0.7681308885270843,0.7634540077192141,0.39185187220573425,COMPLETE
11,0.700525394045054,2025-12-15 20:10:14.158892,2025-12-15 20:10:14.887768,0 days 00:00:00.728876,0.02967707648351051,0.9357871774499346,47,9.793574353089333,8.52907767441102e-05,0.02666179403427524,2,160,528,0.6883202588458909,0.7563254680889534,0.7493479718857105,0.339134156703949,COMPLETE
12,0.7024346257885147,2025-12-15 20:10:14.887943,2025-12-15 20:10:15.858243,0 days 00:00:00.970300,0.008011034653271298,0.6493854949768597,62,7.500556428547556,3.5757898708531696e-05,0.07843528816828146,15,6,1010,0.7819258483935299,0.7710264166469336,0.7596316929415938,0.32446491718292236,COMPLETE
