number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.8366013071890431,2025-12-25 02:09:41.756649,2025-12-25 02:45:00.164265,0 days 00:35:18.407616,32,512,0.47620947824263465,3,2,0.0017271280450139182,0.0007802653293169288,0.903481435312973,0.827150749802186,0.28068700432777405,COMPLETE
1,0.8169250104728977,2025-12-25 02:45:00.165152,2025-12-25 03:19:19.307639,0 days 00:34:19.142487,32,128,0.37938774028617284,5,1,7.884655973071796e-05,3.369852377494521e-07,0.886119610523942,0.8132605958870367,0.30296948552131653,COMPLETE
2,0.8289136013681911,2025-12-25 03:19:19.308497,2025-12-25 03:52:11.340230,0 days 00:32:52.031733,64,256,0.010208902717285473,7,3,0.0007816307849748533,0.006989596355563262,0.8952856620984808,0.8262008733619457,0.4505995512008667,COMPLETE
3,0.8403218975005589,2025-12-25 03:52:11.341034,2025-12-25 04:27:02.724406,0 days 00:34:51.383372,16,128,0.1860129194324306,7,2,9.466008411579909e-05,2.2269865726344236e-08,0.9005306573843925,0.8342612419695213,0.4739009439945221,COMPLETE
4,0.8416447944002003,2025-12-25 04:27:02.725394,2025-12-25 04:59:08.624564,0 days 00:32:05.899170,64,512,0.3117560099922456,3,2,0.0010793076931052104,0.00979289769152578,0.8994072647719888,0.8373576309790016,0.533837616443634,COMPLETE
5,0.7729729729724748,2025-12-25 04:59:08.625424,2025-12-25 05:00:57.457775,0 days 00:01:48.832351,16,128,0.05080150019791846,5,3,4.479639339598892e-05,2.0711415784524804e-07,0.8380500567105234,0.7729729729724748,0.40433627367019653,PRUNED
6,0.7761327949748268,2025-12-25 05:00:57.458413,2025-12-25 05:02:47.951772,0 days 00:01:50.493359,16,128,0.23232270395382393,5,1,0.0001262802043858437,1.0904283616403313e-08,0.8419586308590126,0.7761327949748268,0.46999868750572205,PRUNED
7,0.7748263179398358,2025-12-25 05:02:47.952413,2025-12-25 05:04:34.134477,0 days 00:01:46.182064,16,512,0.16768821695124836,7,4,0.0003967087256392885,4.054957802300305e-06,0.8426751057029234,0.7748263179398358,0.3640931248664856,PRUNED
8,0.7498885421305755,2025-12-25 05:04:34.135197,2025-12-25 05:06:18.680620,0 days 00:01:44.545423,16,128,0.3648330925736371,3,4,2.1217079254068295e-05,0.0004146814460864827,0.8068630135048435,0.7498885421305755,0.34727248549461365,PRUNED
9,0.7920792079202921,2025-12-25 05:06:18.681209,2025-12-25 05:10:12.993867,0 days 00:03:54.312658,16,512,0.00764067016249631,5,3,5.4780745982096286e-05,6.613626026361072e-07,0.8593321056455056,0.7920792079202921,0.36501258611679077,PRUNED
10,0.80279375513508,2025-12-25 05:10:12.994489,2025-12-25 05:13:36.264391,0 days 00:03:23.269902,64,256,0.31870578043636244,3,2,0.0018207050110833631,6.363582160555144e-05,0.8702265175577945,0.80279375513508,0.34940028190612793,PRUNED
11,0.7802893309217444,2025-12-25 05:13:36.264997,2025-12-25 05:15:19.523382,0 days 00:01:43.258385,64,512,0.1754466905652912,7,2,0.00030994717214290375,1.974743082013473e-08,0.8493064506868089,0.7802893309217444,0.38200506567955017,PRUNED
12,0.7492795389044077,2025-12-25 05:15:19.523982,2025-12-25 05:16:58.316018,0 days 00:01:38.792036,64,512,0.12466762171599005,7,2,1.2284552945967042e-05,1.904433281696377e-05,0.8073672919664114,0.7492795389044077,0.6604424715042114,PRUNED
13,0.7715053763435875,2025-12-25 05:16:58.316714,2025-12-25 05:18:29.810715,0 days 00:01:31.494001,64,128,0.27557040874343197,3,1,0.00025009666220622567,0.008744113105956899,0.8336380362431421,0.7715053763435875,0.5082653164863586,PRUNED
14,0.774442538592982,2025-12-25 05:18:29.810971,2025-12-25 05:20:14.760099,0 days 00:01:44.949128,32,256,0.45436687362085093,7,2,0.0008974107240059771,3.3258770293146967e-06,0.8466968512553288,0.774442538592982,0.35522007942199707,PRUNED
15,0.7772808586757088,2025-12-25 05:20:14.760365,2025-12-25 05:21:57.114785,0 days 00:01:42.354420,16,128,0.23721652584241554,3,3,0.00014439258018362667,0.00010430837616794055,0.8427766271093777,0.7772808586757088,0.4517914652824402,PRUNED
16,0.7567320858050709,2025-12-25 05:21:57.115430,2025-12-25 05:23:44.589456,0 days 00:01:47.474026,64,512,0.09291125688138463,7,1,0.0006967477941470494,7.683917032880603e-08,0.8168412363310162,0.7567320858050709,0.4786001145839691,PRUNED
