number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.8079891057643684,2025-12-24 14:46:24.150751,2025-12-24 14:46:31.995775,0 days 00:00:07.845024,1.3888931889608636,balanced,0.41058020044728805,4775,4.46529540654199e-06,0.9126005668500154,0.8796605190739584,0.47228994965553284,COMPLETE
1,0.8066998641914441,2025-12-24 14:46:31.996272,2025-12-24 14:46:32.820962,0 days 00:00:00.824690,1.7589543936708332,balanced,0.38970608798804485,2612,6.5576530552311294e-06,0.9117949265292671,0.8781926193937508,0.4763590097427368,COMPLETE
2,0.7398297067166303,2025-12-24 14:46:32.821199,2025-12-24 14:46:32.939808,0 days 00:00:00.118609,0.00887006672108748,,0.8550255844990852,4216,0.0004944095038427085,0.8606850905216971,0.7911363490738668,0.489237904548645,COMPLETE
3,0.7493087557598722,2025-12-24 14:46:32.940037,2025-12-24 14:46:33.026725,0 days 00:00:00.086688,0.0073125842759963955,balanced,0.5129735232939621,3824,0.005974889537027069,0.8639276536368266,0.7963289193711997,0.49291256070137024,COMPLETE
4,0.7287184284372974,2025-12-24 14:46:33.026959,2025-12-24 14:46:33.117608,0 days 00:00:00.090649,0.0042363343561114125,balanced,0.7388962052199278,2497,2.0813653382558038e-05,0.8494430833772948,0.7746532669505382,0.5048500299453735,COMPLETE
5,0.8135444151270291,2025-12-24 14:46:33.117835,2025-12-24 14:46:34.089807,0 days 00:00:00.971972,0.153459150757975,,0.5919168898001975,2611,3.749061881856286e-05,0.9070647708068421,0.8715446315563482,0.42271795868873596,COMPLETE
6,0.7153979238749327,2025-12-24 14:46:34.090025,2025-12-24 14:46:34.128584,0 days 00:00:00.038559,0.002404552361205694,,0.7301770798935895,1079,7.097403170909024e-05,0.8295721924348906,0.7568799476082971,0.49259504675865173,COMPLETE
7,0.802485574788671,2025-12-24 14:46:34.128813,2025-12-24 14:46:34.443566,0 days 00:00:00.314753,26.49372740749142,,0.09566643494005378,2825,0.001903215226489074,0.9090050797309829,0.8735900382535988,0.43886178731918335,COMPLETE
8,0.8028045574052849,2025-12-24 14:46:34.443745,2025-12-24 14:46:34.770650,0 days 00:00:00.326905,286.74339066276576,balanced,0.13768981831751181,3864,0.0021758745788409135,0.9086368478065299,0.8737065382282185,0.42998960614204407,COMPLETE
9,0.7730949340139742,2025-12-24 14:46:34.770820,2025-12-24 14:46:35.088723,0 days 00:00:00.317903,0.0224647904038729,balanced,0.4338916850684009,4068,0.00011562288349089527,0.8850240046894047,0.8351483751998182,0.4151962399482727,COMPLETE
10,0.6974814814810272,2025-12-24 14:46:35.088893,2025-12-24 14:46:35.133925,0 days 00:00:00.045032,0.000168015510668911,,0.9939043135749128,434,1.0385494820073296e-06,0.5354868061874432,0.5,0.49117448925971985,COMPLETE
11,0.8084914182470178,2025-12-24 14:46:35.134095,2025-12-24 14:46:36.530948,0 days 00:00:01.396853,0.473991670707147,,0.29153889096061275,4858,3.3854894725523264e-06,0.9119649604915172,0.8788991085255514,0.45559626817703247,COMPLETE
12,0.807860262008234,2025-12-24 14:46:36.531111,2025-12-24 14:46:37.053309,0 days 00:00:00.522198,0.12660921609427528,,0.23915912257509442,1594,1.0036372848553245e-06,0.9068343462821082,0.8714381172938387,0.41630613803863525,COMPLETE
13,0.8119402985069628,2025-12-24 14:46:37.053583,2025-12-24 14:46:38.194063,0 days 00:00:01.140480,0.22612660345083424,,0.5977950159052309,3079,1.878187381406901e-05,0.9096925587961224,0.8753641664385209,0.389352023601532,COMPLETE
14,0.8050847457622119,2025-12-24 14:46:38.194284,2025-12-24 14:46:39.136732,0 days 00:00:00.942448,18.359576735467684,,0.6530324095584912,2968,4.112768994815416e-05,0.9097185332274187,0.874859887976953,0.3720085024833679,COMPLETE
15,0.8128205128200128,2025-12-24 14:46:39.137138,2025-12-24 14:46:39.810154,0 days 00:00:00.673016,0.17681649291289483,,0.608599372563479,1898,0.00024010180820864223,0.9078422649210228,0.8728228027064608,0.393839955329895,COMPLETE
16,0.7924697445086902,2025-12-24 14:46:39.810389,2025-12-24 14:46:40.415820,0 days 00:00:00.605431,0.059919585700207605,,0.5651952672866357,1615,0.00021843889734395682,0.8972445545957515,0.8562282134645679,0.43978607654571533,COMPLETE
