number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.8164502164497166,2025-12-25 02:09:24.824771,2025-12-25 02:41:45.488423,0 days 00:32:20.663652,64,0.09806801934848064,1024,0.00019967411049704288,1.6141606023802073e-08,0.8844461716027984,0.8133056133051134,0.3415345549583435,COMPLETE
1,0.8126928162180991,2025-12-25 02:41:45.489333,2025-12-25 03:16:41.898462,0 days 00:34:56.409129,16,0.21961105541973885,512,7.041696157641723e-05,8.22142327351235e-08,0.8775593588174255,0.8126928162180991,0.4809933602809906,COMPLETE
2,0.8245076586428264,2025-12-25 03:16:41.899250,2025-12-25 03:51:01.383369,0 days 00:34:19.484119,32,0.0703562422599398,2048,0.00019680390184820956,0.00221822041381619,0.8904667238626065,0.8245076586428264,0.31896716356277466,COMPLETE
3,0.8277012932827709,2025-12-25 03:51:01.384246,2025-12-25 04:25:05.258857,0 days 00:34:03.874611,32,0.3493182170017272,1024,0.00050044659223751,1.2339845668501998e-05,0.8917099450203334,0.8250741211346121,0.2956216037273407,COMPLETE
4,0.808699511761596,2025-12-25 04:25:05.259687,2025-12-25 05:00:07.957901,0 days 00:35:02.698214,32,0.25177537010428513,512,0.00010435977749496237,3.330054587962802e-05,0.8724175492233197,0.8031565103019993,0.3188944458961487,COMPLETE
5,0.7120500782467645,2025-12-25 05:00:07.958959,2025-12-25 05:01:57.808447,0 days 00:01:49.849488,32,0.39189041329386776,512,1.0527727056351374e-05,1.1159824581472442e-08,0.7614504912554286,0.7120500782467645,0.4974583387374878,PRUNED
6,0.8101910828020477,2025-12-25 05:01:57.809045,2025-12-25 05:19:24.662318,0 days 00:17:26.853273,16,0.00027760431140050335,1024,0.00015181015309376656,0.0006396515909681761,0.8813714044155155,0.8101910828020477,0.4041496515274048,PRUNED
7,0.7344689378752676,2025-12-25 05:19:24.662918,2025-12-25 05:20:59.809192,0 days 00:01:35.146274,64,0.20858940446634228,256,0.00012152998635924418,0.0035826948269136083,0.7916439561061381,0.7344689378752676,0.655083417892456,PRUNED
8,0.7260273972597767,2025-12-25 05:20:59.809822,2025-12-25 05:22:39.286138,0 days 00:01:39.476316,32,0.16142294439442484,1024,1.2080551312057206e-05,0.0008119414111272498,0.7733750958004255,0.7260273972597767,0.5259864330291748,PRUNED
9,0.8228476821187056,2025-12-25 05:22:39.286700,2025-12-25 05:55:55.563358,0 days 00:33:16.276658,32,0.32843327084275287,256,0.0007005930470773426,2.469307094435287e-07,0.8849313107828216,0.8224776500633568,0.3577740490436554,COMPLETE
10,0.7736660929427014,2025-12-25 05:55:55.564148,2025-12-25 05:59:20.188799,0 days 00:03:24.624651,16,0.4835302737042586,2048,0.00248090267660218,6.182461226280844e-06,0.8432010198740636,0.7736660929427014,0.354821115732193,PRUNED
11,0.8265306122443979,2025-12-25 05:59:20.189081,2025-12-25 06:32:33.029144,0 days 00:33:12.840063,32,0.34892561322835547,2048,0.000507257127570255,1.047387715270483e-05,0.8912788951142407,0.8194503171242357,0.2826484739780426,COMPLETE
12,0.7988115449910109,2025-12-25 06:32:33.029985,2025-12-25 06:39:07.517549,0 days 00:06:34.487564,32,0.3546355706157634,2048,0.0006655109094007858,1.4808699881446913e-05,0.8696049069789311,0.7988115449910109,0.3325285017490387,PRUNED
13,0.802660753879767,2025-12-25 06:39:07.518247,2025-12-25 06:45:50.600378,0 days 00:06:43.082131,32,0.4418185136631343,1024,0.0007083216539638112,1.854710192402398e-06,0.8716361672506922,0.802660753879767,0.4235358238220215,PRUNED
14,0.822742474915888,2025-12-25 06:45:50.601003,2025-12-25 07:22:14.693875,0 days 00:36:24.092872,32,0.3091910948908165,2048,0.0019141605977372122,0.00019695559909444193,0.8909293951903818,0.8213193534289456,0.31930112838745117,COMPLETE
15,0.7698008337188185,2025-12-25 07:22:14.694681,2025-12-25 07:23:57.174728,0 days 00:01:42.480047,64,0.4034328278021686,2048,0.0004163266671697362,7.428049246623809e-05,0.8352066251871282,0.7698008337188185,0.26946982741355896,PRUNED
16,0.7317939609231244,2025-12-25 07:23:57.175315,2025-12-25 07:25:41.064259,0 days 00:01:43.888944,32,0.25978278916324504,1024,3.5738139540479244e-05,1.5025793049792278e-06,0.7884144103811463,0.7317939609231244,0.49620479345321655,PRUNED
17,0.7642205818492613,2025-12-25 07:25:41.064832,2025-12-25 07:27:30.131880,0 days 00:01:49.067048,32,0.31061435835470375,256,0.00031686121491184623,2.202781160621386e-06,0.8274294197385907,0.7642205818492613,0.5775034427642822,PRUNED
18,0.797962648556376,2025-12-25 07:27:30.132465,2025-12-25 07:34:13.412260,0 days 00:06:43.279795,64,0.44469032595779195,1024,0.001079749282220065,3.89590822753486e-07,0.8701932318507603,0.797962648556376,0.4740319550037384,PRUNED
19,0.7821782178212839,2025-12-25 07:34:13.412838,2025-12-25 07:37:36.098507,0 days 00:03:22.685669,16,0.4982627588131127,2048,0.0012589668151034344,0.0001075551850430265,0.8545972138198927,0.7821782178212839,0.4725199043750763,PRUNED
20,0.8030560271641858,2025-12-25 07:37:36.099077,2025-12-25 07:46:37.795522,0 days 00:09:01.696445,32,0.3961102218367727,1024,0.0003575892758441772,6.781890965078438e-06,0.8706975103123281,0.8030560271641858,0.35873615741729736,PRUNED
21,0.8276157804454691,2025-12-25 07:46:37.796133,2025-12-25 08:22:15.668768,0 days 00:35:37.872635,32,0.026317567701890483,2048,0.00024657670479453597,0.0033049351362967393,0.8927018590899521,0.8276157804454691,0.4573717713356018,COMPLETE
22,0.7736699729481041,2025-12-25 08:22:15.669504,2025-12-25 08:23:59.874386,0 days 00:01:44.204882,32,0.1441905195487543,2048,0.00029684050828399967,0.0005414838887630908,0.8353896965758161,0.7736699729481041,0.40128976106643677,PRUNED
