number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.7779226423289223,2025-12-24 14:47:12.409944,2025-12-24 14:47:14.740838,0 days 00:00:02.330894,0.012683238564647325,,,linear,2088,0.008170443352750766,0.8862640988681321,0.8402922651506137,0.48739057779312134,COMPLETE
1,0.7046599496216998,2025-12-24 14:47:14.741099,2025-12-24 14:47:15.141879,0 days 00:00:00.400780,30.38359910721332,balanced,0.016647203848806778,poly,1542,0.0003824138270093849,0.6125797832304422,0.6049286146405518,0.43619799613952637,COMPLETE
2,0.6974814814810272,2025-12-24 14:47:15.142128,2025-12-24 14:47:15.509819,0 days 00:00:00.367691,0.03142732457509403,balanced,0.033365807250876886,sigmoid,1995,0.00016843079585266078,0.5354868061874432,0.5,0.5,COMPLETE
3,0.7018708509349673,2025-12-24 14:47:15.510049,2025-12-24 14:47:15.816296,0 days 00:00:00.306247,0.0015131822411782558,balanced,0.04602122058979334,poly,337,0.00038425228001135483,0.7607482538644663,0.6636079875711169,0.45204293727874756,COMPLETE
4,0.7071899965260883,2025-12-24 14:47:15.816540,2025-12-24 14:47:16.317903,0 days 00:00:00.501363,0.22981406026924567,,0.025093200398832803,poly,4777,0.00015694221308827923,0.7091197314438028,0.6954503431340324,0.42514339089393616,COMPLETE
5,0.6987808504307077,2025-12-24 14:47:16.318145,2025-12-24 14:47:16.608536,0 days 00:00:00.290391,0.11801761180309614,,1.482698617025188,poly,360,3.5555974149238457e-06,0.7320526580908886,0.674066772792596,0.34510260820388794,COMPLETE
6,0.7402597402592453,2025-12-24 14:47:16.608780,2025-12-24 14:47:17.084343,0 days 00:00:00.475563,0.03494575545971523,,,linear,1822,3.8056021947553448e-06,0.7485129480697066,0.7428920452985188,0.3685428202152252,COMPLETE
7,0.7015105740176685,2025-12-24 14:47:17.084583,2025-12-24 14:47:17.377383,0 days 00:00:00.292800,0.062091996109908246,balanced,0.0018209071285709758,rbf,407,9.295166933496162e-06,0.6656335772534175,0.6092615815537268,0.49064335227012634,COMPLETE
8,0.7481949458478774,2025-12-24 14:47:17.377634,2025-12-24 14:47:18.092126,0 days 00:00:00.714492,0.06639088019162008,,0.0039040582245481363,rbf,3982,0.0041615336698925245,0.8699032730143188,0.8050639210396457,0.40948420763015747,COMPLETE
9,0.8016378525927691,2025-12-24 14:47:18.092356,2025-12-24 14:47:18.780316,0 days 00:00:00.687960,0.015461884321352103,,,linear,4248,4.6485854550933345e-05,0.8988921993990673,0.8603897589865167,0.40044093132019043,COMPLETE
10,0.700029788501183,2025-12-24 14:47:18.780562,2025-12-24 14:47:19.152381,0 days 00:00:00.371819,9.342258527219073,,,linear,3296,3.095858703211484e-05,0.7263343675116205,0.6623801610528934,0.34378570318222046,COMPLETE
11,0.7677419354833744,2025-12-24 14:47:19.152626,2025-12-24 14:47:19.827575,0 days 00:00:00.674949,0.0014256898336043513,,,linear,3298,0.00878256511195152,0.8798647957984251,0.8247840381720488,0.3739749789237976,COMPLETE
12,0.6996402877693275,2025-12-24 14:47:19.827827,2025-12-24 14:47:20.172251,0 days 00:00:00.344424,880.1120458098993,,,linear,2577,0.0016457372323382105,0.7345110192772034,0.6687223364569196,0.37452608346939087,COMPLETE
13,0.7960018173552498,2025-12-24 14:47:20.172499,2025-12-24 14:47:20.901450,0 days 00:00:00.728951,0.00775926981682074,,,linear,4955,3.9221243559218274e-05,0.8952482227609203,0.8542027781915377,0.3951971232891083,COMPLETE
14,0.7166666666661671,2025-12-24 14:47:20.901704,2025-12-24 14:47:21.651623,0 days 00:00:00.749919,1.4971379041196446,,1.4144866977178427e-06,sigmoid,4893,2.752764978999008e-05,0.8369892967486177,0.7621798643108153,0.690700888633728,COMPLETE
