number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.8401865197112423,2025-12-25 02:09:55.907596,2025-12-25 02:43:39.625652,0 days 00:33:43.718056,32,256,0.25035188671423986,512,2,4.178979054702241e-05,4,0.0010388743844730848,0.9007486787654664,0.8379746835438038,0.32873257994651794,COMPLETE
1,0.8262871494344101,2025-12-25 02:43:39.626600,2025-12-25 03:16:20.258312,0 days 00:32:40.631712,32,384,0.33260889806240973,512,1,5.366465307930068e-05,4,6.642608010903608e-08,0.8894681526515811,0.8237924865826857,0.6466975808143616,COMPLETE
2,0.8339253996442612,2025-12-25 03:16:20.259121,2025-12-25 03:44:35.590408,0 days 00:28:15.331287,16,128,0.37170192245328115,256,3,0.00024615209172007915,4,1.118288994053363e-08,0.9007778037591214,0.8323404255314149,0.3528030514717102,COMPLETE
3,0.8241563055057176,2025-12-25 03:44:35.591366,2025-12-25 04:16:29.146085,0 days 00:31:53.554719,32,128,0.27245977799632376,256,2,2.5683628795813992e-05,4,5.122903079744958e-05,0.8915168879195351,0.8241563055057176,0.4539659917354584,COMPLETE
4,0.8323998276599912,2025-12-25 04:16:29.146911,2025-12-25 04:44:07.432766,0 days 00:27:38.285855,32,256,0.06392396442388198,1024,2,0.0005452983885676083,8,5.8050523591964675e-05,0.8860655212500115,0.8235804074550701,0.2772182524204254,COMPLETE
5,0.7976490344243531,2025-12-25 04:44:07.433595,2025-12-25 04:47:04.045787,0 days 00:02:56.612192,64,256,0.26207117179214445,1536,4,3.932876647124832e-05,8,2.7711029123613475e-08,0.8682401929905295,0.7976490344243531,0.24005191028118134,PRUNED
6,0.7586529466786445,2025-12-25 04:47:04.046330,2025-12-25 04:48:36.074925,0 days 00:01:32.028595,32,128,0.2997200519092146,512,1,3.86895824432476e-05,8,0.000834889822455534,0.8163436150108553,0.7586529466786445,0.5182081460952759,PRUNED
7,0.8073641670403637,2025-12-25 04:48:36.075503,2025-12-25 04:54:53.639669,0 days 00:06:17.564166,64,384,0.0519564994051715,1024,2,5.2453526549936886e-05,4,2.177358992847453e-07,0.873611673963171,0.8073641670403637,0.2699105441570282,PRUNED
8,0.8449244060470161,2025-12-25 04:54:53.640272,2025-12-25 05:28:59.831813,0 days 00:34:06.191541,16,384,0.13338425433175233,1536,2,2.4609467133906546e-05,8,0.0016212747988196899,0.8966387260894204,0.8329679964922668,0.45788684487342834,COMPLETE
9,0.8028764805409552,2025-12-25 05:28:59.832704,2025-12-25 05:32:04.395846,0 days 00:03:04.563142,64,384,0.47608195794369224,256,4,2.881076757145357e-05,4,1.2334995270673785e-08,0.8653318543384174,0.8028764805409552,0.2819576859474182,PRUNED
10,0.6974814814810272,2025-12-25 05:32:04.396557,2025-12-25 05:33:47.085407,0 days 00:01:42.688850,16,384,0.1435489933053004,1536,3,0.002528300817719098,8,1.8283046915200262e-06,0.5,0.6974814814810272,0.48071348667144775,PRUNED
