number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
0,0.719128329297322,2025-12-24 14:46:44.582895,2025-12-24 14:46:45.772266,0 days 00:00:01.189371,47.93823453409193,0.8482412414776026,156,2.0899944325733646,0.00019478322427967921,0.0015329745088082552,9,320,135,0.5142037797687995,0.8345099171260391,0.7728937012624436,0.47907495498657227,COMPLETE
1,0.8156123822336873,2025-12-24 14:46:45.772533,2025-12-24 14:46:56.981330,0 days 00:00:11.208797,9.761011118599529e-05,0.9885974702200173,91,8.436275226273075,5.810577595282753e-05,0.005294269267473564,13,43,1245,0.7385544694362441,0.9171472304829259,0.8863526104731814,0.4432665705680847,COMPLETE
2,0.7430025445287725,2025-12-24 14:46:56.981769,2025-12-24 14:47:01.531827,0 days 00:00:04.550058,0.00016174655697447112,0.7518553733166211,97,3.9753055830001447,4.446062843368587e-08,0.002149975553459211,14,336,840,0.7853254680081918,0.8655796372019366,0.81050114128368,0.3670402467250824,COMPLETE
3,0.7463662790692778,2025-12-24 14:47:01.533066,2025-12-24 14:47:07.588935,0 days 00:00:06.055869,3.962727967986013,0.5357480130107373,148,1.4417491331730348,0.24924410425914503,0.0017814598371678314,2,127,1358,0.873245523592991,0.872526514292598,0.817004336295484,0.3447900414466858,COMPLETE
4,0.7299484915374045,2025-12-24 14:47:07.589350,2025-12-24 14:47:09.810385,0 days 00:00:02.221035,2.204859259034602e-05,0.43404389045935976,133,7.883780280134846,4.509687997183072,0.0024740611399170533,15,493,440,0.7639217336047077,0.8561070897698434,0.7954435195640903,0.3984144330024719,COMPLETE
5,0.7629499561013442,2025-12-24 14:47:09.810578,2025-12-24 14:47:10.823696,0 days 00:00:01.013118,0.07777595463728361,0.5819088897475492,63,6.431096887789968,0.0047498751036708945,0.001088370967451715,13,86,133,0.5417898882796275,0.8758386042415055,0.8265773056385156,0.48475098609924316,COMPLETE
6,0.7934929959326245,2025-12-24 14:47:10.823898,2025-12-24 14:47:16.205260,0 days 00:00:05.381362,1.81794401428505e-08,0.7083070231574105,123,0.1427038252375068,1.6324656015269562e-06,0.0057778710243022524,7,127,659,0.9707334751654246,0.9012069015225267,0.8608474374582369,0.4607073962688446,COMPLETE
7,0.7480278422268823,2025-12-24 14:47:16.205507,2025-12-24 14:47:17.342490,0 days 00:00:01.136983,1.6371717698831954e-05,0.7759213883125589,177,4.016104303548806,1.0014612830845838e-06,0.04586683988995786,12,434,179,0.6083583051091639,0.8725641639389339,0.8122403194762161,0.45944252610206604,COMPLETE
8,0.813763440859715,2025-12-24 14:47:17.343042,2025-12-24 14:47:20.214610,0 days 00:00:02.871568,0.0032969652424452984,0.5128715212853417,199,5.262653275507169,13.323578031135943,0.10764694423147929,6,299,394,0.9497544965490108,0.9100017952943914,0.8751536343415296,0.4094991385936737,COMPLETE
9,0.8111019055504529,2025-12-24 14:47:20.214867,2025-12-24 14:47:25.015302,0 days 00:00:04.800435,1.1485214077798975,0.5941757103249247,109,4.5732884587569025,2.277186517657448,0.11778348877024099,9,130,765,0.8763512466279306,0.9164430104631778,0.8859431962766608,0.3470472991466522,COMPLETE
10,0.8207630878433341,2025-12-24 14:47:25.015490,2025-12-24 14:47:33.048754,0 days 00:00:08.033264,3.357860840567085e-07,0.9288210868316406,24,9.295265434750672,0.00034812335960772737,0.012677060686798398,11,11,1457,0.6585328221643449,0.9208434628021505,0.8918339342790358,0.4231637120246887,COMPLETE
11,0.8191627104008812,2025-12-24 14:47:33.049159,2025-12-24 14:47:42.275418,0 days 00:00:09.226259,1.3406605004854063e-07,0.9965981762668916,20,9.725236433426026,0.0003094055179335106,0.010960469869771054,11,4,1485,0.6756251894269019,0.9195823919866004,0.8898767347054256,0.38635656237602234,COMPLETE
